kaba	kab'a
kalkulon	kalkul'o'n
kalkulos	kalkul'os
kalkulu	kalkul'u
kalkulus	kalkul'us
kalkulado	kalkul'ad'o
kalkuladoj	kalkul'ad'o'j
kalkuladon	kalkul'ad'o'n
kalkulanta	kalkul'ant'a
kalkulante	kalkul'ant'e
kalkulata	kalkul'at'a
kalkulataj	kalkul'at'a'j
kalkulebla	kalkul'ebl'a
kalkuleblaj	kalkul'ebl'a'j
kalkuleble	kalkul'ebl'e
kalkuliĝas	kalkul'iĝ'as
kalkulilo	kalkul'il'o
kalkuliloj	kalkul'il'o'j
kalkulilojn	kalkul'il'o'j'n
kalkulilon	kalkul'il'o'n
kalkulita	kalkul'it'a
kalkulitaj	kalkul'it'a'j
kalkulitan	kalkul'it'a'n
kalkulite	kalkul'it'e
kalkuloscio	kalkul'o'sci'o
kalkulsubstantivoj	kalkul'substantiv'o'j
kalkultabelo	kalkul'tabel'o
kalkultabeloj	kalkul'tabel'o'j
kalkultabelojn	kalkul'tabel'o'j'n
kalmaro	kalmar'o
kalmaroj	kalmar'o'j
kalmarojn	kalmar'o'j'n
kaloria	kalori'a
kalorio	kalori'o
kalorioj	kalori'o'j
kaloriojn	kalori'o'j'n
kalorimetro	kalori'metr'o
kalorimetrio	kalori'metr'i'o
kaloto	kalot'o
kalsono	kalson'o
kalsonoj	kalson'o'j
kalsonojn	kalson'o'j'n
kalsonon	kalson'o'n
kalsoneto	kalson'et'o
kalsoneton	kalson'et'o'n
kalumnia	kalumni'a
kalumniaj	kalumni'a'j
kalumnias	kalumni'as
kalumnii	kalumni'i
kalumniis	kalumni'is
kalumnio	kalumni'o
kalumnioj	kalumni'o'j
kalumniojn	kalumni'o'j'n
kalumnion	kalumni'o'n
kalumniado	kalumni'ad'o
kalumniante	kalumni'ant'e
kalumniita	kalumni'it'a
kalva	kalv'a
kalvaj	kalv'a'j
kalvan	kalv'a'n
kalveco	kalv'ec'o
kalviĝas	kalv'iĝ'as
kalvulo	kalv'ul'o
kalvaria	kalvari'a
kalvario	kalvari'o
kalvino	kalvin'o
kalvinana	kalvin'an'a
kalvinanoj	kalvin'an'o'j
kalvinisma	kalvin'ism'a
kalvinismo	kalvin'ism'o
kalvinista	kalvin'ist'a
kalvinistaj	kalvin'ist'a'j
kalvinisto	kalvin'ist'o
kalvinistoj	kalvin'ist'o'j
kamarada	kamarad'a
kamarado	kamarad'o
kamaradoj	kamarad'o'j
kamaradojn	kamarad'o'j'n
kamaradon	kamarad'o'n
kamaradeco	kamarad'ec'o
kamaradecon	kamarad'ec'o'n
kamaradino	kamarad'in'o
kamaradinoj	kamarad'in'o'j
kambio	kambi'o
kamboĝa	kamboĝ'a
kamboĝaj	kamboĝ'a'j
kamboĝo	kamboĝ'o
kamboĝon	kamboĝ'o'n
kamboĝanoj	kamboĝ'an'o'j
kambria	kambri'a
kambrio	kambri'o
kameo	kame'o
kameoj	kame'o'j
kamelaj	kamel'a'j
kamelo	kamel'o
kameloj	kamel'o'j
kamelojn	kamel'o'j'n
kamelon	kamel'o'n
kameleono	kameleon'o
kamelio	kameli'o
kamelioj	kameli'o'j
kamena	kamen'a
kameno	kamen'o
kamenoj	kamen'o'j
kamenon	kamen'o'n
kamenbreto	kamen'bret'o
kamentubo	kamen'tub'o
kamentuboj	kamen'tub'o'j
kamentubojn	kamen'tub'o'j'n
kamentubon	kamen'tub'o'n
kamera	kamer'a
kamero	kamer'o
kameroj	kamer'o'j
kamerojn	kamer'o'j'n
kameron	kamer'o'n
kamerai	kamera'i
kamerao	kamera'o
kameraoj	kamera'o'j
kameraojn	kamera'o'j'n
kameraon	kamera'o'n
kameraado	kamera'ad'o
kameraisto	kamera'ist'o
kameruna	kamerun'a
kameruno	kamerun'o
kamerunio	kameruni'o
kamforo	kamfor'o
kamilo	kamil'o
kamiono	kamion'o
kamionoj	kamion'o'j
kamionojn	kamion'o'j'n
kamionon	kamion'o'n
kamioneto	kamion'et'o
kamionetoj	kamion'et'o'j
kamioneton	kamion'et'o'n
kamionisto	kamion'ist'o
kamionistoj	kamion'ist'o'j
kamizolo	kamizol'o
kamizoloj	kamizol'o'j
kamizolon	kamizol'o'n
kamomilo	kamomil'o
kampa	kamp'a
kampaj	kamp'a'j
kampajn	kamp'a'j'n
kampan	kamp'a'n
kampe	kamp'e
kampo	kamp'o
kampoj	kamp'o'j
kampojn	kamp'o'j'n
kampon	kamp'o'n
kampadi	kamp'ad'i
kampadis	kamp'ad'is
kampado	kamp'ad'o
kampadejo	kamp'ad'ej'o
kampadejoj	kamp'ad'ej'o'j
kampadejon	kamp'ad'ej'o'n
kampara	kamp'ar'a
kamparaj	kamp'ar'a'j
kamparajn	kamp'ar'a'j'n
kamparan	kamp'ar'a'n
kampare	kamp'ar'e
kamparo	kamp'ar'o
kamparoj	kamp'ar'o'j
kamparon	kamp'ar'o'n
kamparana	kamp'ar'an'a
kamparanaj	kamp'ar'an'a'j
kamparanajn	kamp'ar'an'a'j'n
kamparanan	kamp'ar'an'a'n
kamparano	kamp'ar'an'o
kamparanoj	kamp'ar'an'o'j
kamparanojn	kamp'ar'an'o'j'n
kamparanon	kamp'ar'an'o'n
kamparanaro	kamp'ar'an'ar'o
kamparanino	kamp'ar'an'in'o
kamparaninoj	kamp'ar'an'in'o'j
kamparanolaboristoj	kamp'ar'an'o'labor'ist'o'j
kampardomo	kamp'ar'dom'o
kampefika	kamp'efik'a
kampefikaj	kamp'efik'a'j
kampeto	kamp'et'o
kampeton	kamp'et'o'n
kamplaboro	kamp'labor'o
kamploĝantoj	kamp'loĝ'ant'o'j
kampoekvacioj	kamp'o'ekvaci'o'j
kampoforto	kamp'o'fort'o
kampoforteco	kamp'o'fort'ec'o
kampokultivado	kamp'o'kultiv'ad'o
kampolaboro	kamp'o'labor'o
kampolinioj	kamp'o'lini'o'j
kampomusoj	kamp'o'mus'o'j
kampopasero	kamp'o'paser'o
kampula	kamp'ul'a
kampulo	kamp'ul'o
kampuloj	kamp'ul'o'j
kampulon	kamp'ul'o'n
kampurbo	kamp'urb'o
kampanilo	kampanil'o
kampanja	kampanj'a
kampanjaj	kampanj'a'j
kampanjas	kampanj'as
kampanji	kampanj'i
kampanjis	kampanj'is
kampanjo	kampanj'o
kampanjoj	kampanj'o'j
kampanjojn	kampanj'o'j'n
kampanjon	kampanj'o'n
kampanjado	kampanj'ad'o
kampanjadon	kampanj'ad'o'n
kampanjante	kampanj'ant'e
kampanjantoj	kampanj'ant'o'j
kampanulo	kampanul'o
kampusa	kampus'a
kampuso	kampus'o
kampusoj	kampus'o'j
kampusojn	kampus'o'j'n
kampuson	kampus'o'n
kamufla	kamufl'a
kamuflas	kamufl'as
kamufli	kamufl'i
kamuflo	kamufl'o
kamuflon	kamufl'o'n
kamuflado	kamufl'ad'o
kamuflaĵo	kamufl'aĵ'o
kamuflaĵon	kamufl'aĵ'o'n
kamuflita	kamufl'it'a
kana	kan'a
kanaj	kan'a'j
kane	kan'e
kano	kan'o
kanoj	kan'o'j
kanojn	kan'o'j'n
kanon	kan'o'n
kanara	kan'ar'a
kanaraj	kan'ar'a'j
kanbirdo	kan'bird'o
kanejoj	kan'ej'o'j
kansukero	kan'suker'o
kanao	kana'o
kanaoj	kana'o'j
kanaana	kanaan'a
kanaanan	kanaan'a'n
kanaano	kanaan'o
kanaananoj	kanaan'an'o'j
kanaanidoj	kanaan'id'o'j
kanaba	kanab'a
kanabo	kanab'o
kanabon	kanab'o'n
kanada	kanad'a
kanadaj	kanad'a'j
kanadajn	kanad'a'j'n
kanadan	kanad'a'n
kanado	kanad'o
kanadon	kanad'o'n
kanadano	kanad'an'o
kanadanoj	kanad'an'o'j
kanadanojn	kanad'an'o'j'n
kanadanino	kanad'an'in'o
kanajla	kanajl'a
kanajlaj	kanajl'a'j
kanajlo	kanajl'o
kanajloj	kanajl'o'j
kanajlojn	kanajl'o'j'n
kanajlon	kanajl'o'n
kanajlaro	kanajl'ar'o
kanala	kanal'a
kanalan	kanal'a'n
kanalo	kanal'o
kanaloj	kanal'o'j
kanalojn	kanal'o'j'n
kanalon	kanal'o'n
kanaleto	kanal'et'o
kanaletoj	kanal'et'o'j
kanaligo	kanal'ig'o
kanaligita	kanal'ig'it'a
kanalinsuloj	kanal'insul'o'j
kanapo	kanap'o
kanapoj	kanap'o'j
kanapon	kanap'o'n
kanaria	kanari'a
kanariaj	kanari'a'j
kanario	kanari'o
kanarioj	kanari'o'j
kanarion	kanari'o'n
kanbero	kanber'o
kancelaria	kancelari'a
kancelario	kancelari'o
kancelarioj	kancelari'o'j
kancelarion	kancelari'o'n
kanceliero	kancelier'o
kancelieroj	kancelier'o'j
kancelieron	kancelier'o'n
kancelierino	kancelier'in'o
kancera	kancer'a
kanceraj	kancer'a'j
kancerajn	kancer'a'j'n
kancero	kancer'o
kanceroj	kancer'o'j
kancerojn	kancer'o'j'n
kanceron	kancer'o'n
kancerĉeloj	kancer'ĉel'o'j
kanceresplorado	kancer'esplor'ad'o
kanceriga	kancer'ig'a
kancerigaj	kancer'ig'a'j
kancerkliniko	kancer'klinik'o
kancerogena	kancer'o'gen'a
kancerogenaj	kancer'o'gen'a'j
kancerogenaĵo	kancer'o'gen'aĵ'o
kancerogenaĵoj	kancer'o'gen'aĵ'o'j
kanceruloj	kancer'ul'o'j
kanda	kand'a
kando	kand'o
kandon	kand'o'n
kandela	kandel'a
kandelo	kandel'o
kandeloj	kandel'o'j
kandelojn	kandel'o'j'n
kandelon	kandel'o'n
kandelingo	kandel'ing'o
kandelingoj	kandel'ing'o'j
kandelingon	kandel'ing'o'n
kandelisto	kandel'ist'o
kandellumo	kandel'lum'o
kandelabro	kandelabr'o
kandelabroj	kandelabr'o'j
kandelabron	kandelabr'o'n
kandidata	kandidat'a
kandidataj	kandidat'a'j
kandidatas	kandidat'as
kandidati	kandidat'i
kandidatis	kandidat'is
kandidato	kandidat'o
kandidatoj	kandidat'o'j
kandidatojn	kandidat'o'j'n
kandidaton	kandidat'o'n
kandidatos	kandidat'os
kandidateco	kandidat'ec'o
kandidatecon	kandidat'ec'o'n
kandidatigi	kandidat'ig'i
kandidatigis	kandidat'ig'is
kandidatigo	kandidat'ig'o
kandidatigon	kandidat'ig'o'n
kandidatigita	kandidat'ig'it'a
kandidatiĝas	kandidat'iĝ'as
kandidatiĝi	kandidat'iĝ'i
kandidatiĝis	kandidat'iĝ'is
kandidatiĝo	kandidat'iĝ'o
kandidatiĝoj	kandidat'iĝ'o'j
kandidatiĝojn	kandidat'iĝ'o'j'n
kandidatiĝon	kandidat'iĝ'o'n
kandidatiĝos	kandidat'iĝ'os
kandidatino	kandidat'in'o
kandidatita	kandidat'it'a
kandidatitaj	kandidat'it'a'j
kandidatlisto	kandidat'list'o
kandidatlistoj	kandidat'list'o'j
kandombleo	kandomble'o
kanelo	kanel'o
kaneloj	kanel'o'j
kanelojn	kanel'o'j'n
kanelon	kanel'o'n
kanelita	kanel'it'a
kanelitaj	kanel'it'a'j
kanguruo	kanguru'o
kanguruoj	kanguru'o'j
kanguruojn	kanguru'o'j'n
kanguruon	kanguru'o'n
kanibalo	kanibal'o
kanibaloj	kanibal'o'j
kanibalismo	kanibal'ism'o
kaninoj	kanin'o'j
kanisedoj	kanis'ed'o'j
kanjono	kanjon'o
kanjonoj	kanjon'o'j
kanjonon	kanjon'o'n
kankro	kankr'o
kankroj	kankr'o'j
kankrojn	kankr'o'j'n
kanona	kanon'a
kanonaj	kanon'a'j
kanonan	kanon'a'n
kanono	kanon'o
kanonoj	kanon'o'j
kanonojn	kanon'o'j'n
kanonon	kanon'o'n
kanonado	kanon'ad'o
kanonigo	kanon'ig'o
kanonistoj	kanon'ist'o'j
kanonpafado	kanon'paf'ad'o
kanonika	kanonik'a
kanonikaj	kanonik'a'j
kanonikan	kanonik'a'n
kanoniko	kanonik'o
kanonikoj	kanonik'o'j
kanonizo	kanoniz'o
kanopeo	kanope'o
kanopeon	kanope'o'n
kanoto	kanot'o
kanotoj	kanot'o'j
kanta	kant'a
kantaj	kant'a'j
kantan	kant'a'n
kantas	kant'as
kante	kant'e
kanti	kant'i
kantis	kant'is
kanto	kant'o
kantoj	kant'o'j
kantojn	kant'o'j'n
kanton	kant'o'n
kantos	kant'os
kantu	kant'u
kantus	kant'us
kantadas	kant'ad'as
kantadis	kant'ad'is
kantado	kant'ad'o
kantadoj	kant'ad'o'j
kantadon	kant'ad'o'n
kantaĵojn	kant'aĵ'o'j'n
kantanta	kant'ant'a
kantantaj	kant'ant'a'j
kantantajn	kant'ant'a'j'n
kantantan	kant'ant'a'n
kantante	kant'ant'e
kantanto	kant'ant'o
kantantoj	kant'ant'o'j
kantaro	kant'ar'o
kantaroj	kant'ar'o'j
kantata	kant'at'a
kantataj	kant'at'a'j
kantatan	kant'at'a'n
kantate	kant'at'e
kantato	kant'at'o
kantatoj	kant'at'o'j
kantatojn	kant'at'o'j'n
kantaŭtoro	kant'aŭtor'o
kantdanca	kant'danc'a
kantebla	kant'ebl'a
kanteblaj	kant'ebl'a'j
kantejo	kant'ej'o
kantema	kant'em'a
kantetas	kant'et'as
kantetis	kant'et'is
kanteto	kant'et'o
kantetoj	kant'et'o'j
kantetojn	kant'et'o'j'n
kanteton	kant'et'o'n
kantgrupo	kant'grup'o
kantisto	kant'ist'o
kantistoj	kant'ist'o'j
kantistojn	kant'ist'o'j'n
kantiston	kant'ist'o'n
kantistino	kant'ist'in'o
kantistinoj	kant'ist'in'o'j
kantistinon	kant'ist'in'o'n
kantita	kant'it'a
kantitaj	kant'it'a'j
kantitajn	kant'it'a'j'n
kantkonkurso	kant'konkurs'o
kantmaniero	kant'manier'o
kantobirdoj	kant'o'bird'o'j
kantokonkurso	kant'o'konkurs'o
kantoteksto	kant'o'tekst'o
kantotekstoj	kant'o'tekst'o'j
kantotekstojn	kant'o'tekst'o'j'n
kantotekston	kant'o'tekst'o'n
kantverkisto	kant'verk'ist'o
kantverkistoj	kant'verk'ist'o'j
kantvoĉo	kant'voĉ'o
kantvoĉoj	kant'voĉ'o'j
kantata	kantat'a
kantataj	kantat'a'j
kantatan	kantat'a'n
kantate	kantat'e
kantato	kantat'o
kantatoj	kantat'o'j
kantatojn	kantat'o'j'n
kantio	kanti'o
kantiana	kanti'an'a
kantiko	kantik'o
kantikoj	kantik'o'j
kantino	kantin'o
kantona	kanton'a
kantonaj	kanton'a'j
kantonan	kanton'a'n
kantono	kanton'o
kantonoj	kanton'o'j
kantonojn	kanton'o'j'n
kantonon	kanton'o'n
kantonanoj	kanton'an'o'j
kantoro	kantor'o
kantoroj	kantor'o'j
kanuo	kanu'o
kanuoj	kanu'o'j
kanuon	kanu'o'n
kanuado	kanu'ad'o
kanulo	kanul'o
kanvaso	kanvas'o
kanvasoj	kanvas'o'j
kanvason	kanvas'o'n
kanzono	kanzon'o
kanzonoj	kanzon'o'j
kanzonojn	kanzon'o'j'n
kanzonon	kanzon'o'n
kanzonisto	kanzon'ist'o
kanzonistoj	kanzon'ist'o'j
kanzonistino	kanzon'ist'in'o
kaolino	kaolin'o
kaosa	kaos'a
kaosaj	kaos'a'j
kaosan	kaos'a'n
kaose	kaos'e
kaoso	kaos'o
kaoson	kaos'o'n
kapa	kap'a
kapaj	kap'a'j
kapan	kap'a'n
kape	kap'e
kapo	kap'o
kapoj	kap'o'j
kapojn	kap'o'j'n
kapon	kap'o'n
kapalkapa	kap'al'kap'a
kapantaŭe	kap'antaŭ'e
kapantaŭen	kap'antaŭ'e'n
kapaŭskultilo	kap'aŭskult'il'o
kapaŭskultiloj	kap'aŭskult'il'o'j
kapbalancis	kap'balanc'is
kapdoloro	kap'dolor'o
kapdoloroj	kap'dolor'o'j
kapdolorojn	kap'dolor'o'j'n
kapdoloron	kap'dolor'o'n
kapeto	kap'et'o
kapetoj	kap'et'o'j
kapeton	kap'et'o'n
kapjesas	kap'jes'as
kapjesis	kap'jes'is
kapjeso	kap'jes'o
kapjesante	kap'jes'ant'e
kapklinis	kap'klin'is
kapkuseno	kap'kusen'o
kapkusenoj	kap'kusen'o'j
kapkusenojn	kap'kusen'o'j'n
kapkusenon	kap'kusen'o'n
kaploko	kap'lok'o
kapmovo	kap'mov'o
kapneis	kap'ne'is
kapneante	kap'ne'ant'e
kapobildo	kap'o'bild'o
kapobildon	kap'o'bild'o'n
kapopieduloj	kap'o'pied'ul'o'j
kapornamaĵoj	kap'ornam'aĵ'o'j
kapornamaĵojn	kap'ornam'aĵ'o'j'n
kaprilato	kap'rilat'o
kapsalutis	kap'salut'is
kapsignis	kap'sign'is
kapskuis	kap'sku'is
kaptuko	kap'tuk'o
kaptukoj	kap'tuk'o'j
kaptukon	kap'tuk'o'n
kapturne	kap'turn'e
kapturno	kap'turn'o
kapturnon	kap'turn'o'n
kapturniĝo	kap'turn'iĝ'o
kapturniĝon	kap'turn'iĝ'o'n
kapvesto	kap'vest'o
kapvestoj	kap'vest'o'j
kapveston	kap'vest'o'n
kapvestaĵo	kap'vest'aĵ'o
kapvorto	kap'vort'o
kapvortoj	kap'vort'o'j
kapvortojn	kap'vort'o'j'n
kapvundo	kap'vund'o
kapabla	kapabl'a
kapablaj	kapabl'a'j
kapablajn	kapabl'a'j'n
kapablan	kapabl'a'n
kapablas	kapabl'as
kapable	kapabl'e
kapabli	kapabl'i
kapablis	kapabl'is
kapablo	kapabl'o
kapabloj	kapabl'o'j
kapablojn	kapabl'o'j'n
kapablon	kapabl'o'n
kapablos	kapabl'os
kapablu	kapabl'u
kapablus	kapabl'us
kapablante	kapabl'ant'e
kapableco	kapabl'ec'o
kapablecoj	kapabl'ec'o'j
kapablecojn	kapabl'ec'o'j'n
kapablecon	kapabl'ec'o'n
kapabligas	kapabl'ig'as
kapabligi	kapabl'ig'i
kapablismo	kapabl'ism'o
kapabluloj	kapabl'ul'o'j
kapacita	kapacit'a
kapacitaj	kapacit'a'j
kapacito	kapacit'o
kapacitoj	kapacit'o'j
kapacitojn	kapacit'o'j'n
kapaciton	kapacit'o'n
kapacitanco	kapacitanc'o
kapacitancon	kapacitanc'o'n
kapelo	kapel'o
kapeloj	kapel'o'j
kapelojn	kapel'o'j'n
kapelon	kapel'o'n
kapelano	kapel'an'o
kapelanoj	kapel'an'o'j
kapelestro	kapel'estr'o
kapeleto	kapel'et'o
kapelmajstro	kapel'majstr'o
kapilara	kapilar'a
kapilaraj	kapilar'a'j
kapilaro	kapilar'o
kapilaroj	kapilar'o'j
kapilarojn	kapilar'o'j'n
kapitala	kapital'a
kapitalaj	kapital'a'j
kapitalan	kapital'a'n
kapitalo	kapital'o
kapitaloj	kapital'o'j
kapitalojn	kapital'o'j'n
kapitalon	kapital'o'n
kapitaligas	kapital'ig'as
kapitaligi	kapital'ig'i
kapitaligis	kapital'ig'is
kapitaligo	kapital'ig'o
kapitaligita	kapital'ig'it'a
kapitaligitaj	kapital'ig'it'a'j
kapitalinvesto	kapital'invest'o
kapitalisma	kapital'ism'a
kapitalismaj	kapital'ism'a'j
kapitalisman	kapital'ism'a'n
kapitalismo	kapital'ism'o
kapitalismon	kapital'ism'o'n
kapitalista	kapital'ist'a
kapitalistaj	kapital'ist'a'j
kapitalisto	kapital'ist'o
kapitalistoj	kapital'ist'o'j
kapitalistojn	kapital'ist'o'j'n
kapitalkostoj	kapital'kost'o'j
kapitalmerkatoj	kapital'merkat'o'j
kapitalurbo	kapital'urb'o
kapitana	kapitan'a
kapitano	kapitan'o
kapitanoj	kapitan'o'j
kapitanon	kapitan'o'n
kapitelo	kapitel'o
kapiteloj	kapitel'o'j
kapitola	kapitol'a
kapitolo	kapitol'o
kapitula	kapitul'a
kapitulo	kapitul'o
kapitulacas	kapitulac'as
kapitulaci	kapitulac'i
kapitulacis	kapitulac'is
kapitulaco	kapitulac'o
kapitulacoj	kapitulac'o'j
kapitulacon	kapitulac'o'n
kapitulacos	kapitulac'os
kapitulacu	kapitulac'u
kapitulacado	kapitulac'ad'o
kapitulacigi	kapitulac'ig'i
kapitulacio	kapitulaci'o
kaporalo	kaporal'o
kapoto	kapot'o
kapoton	kapot'o'n
kapra	kapr'a
kapro	kapr'o
kaproj	kapr'o'j
kaprojn	kapr'o'j'n
kapron	kapr'o'n
