ĵaboton	ĵabot'o'n
ĵeton	ĵet'o'n
ĵetos	ĵet'os
ĵetu	ĵet'u
ĵetus	ĵet'us
ĵetadas	ĵet'ad'as
ĵetadi	ĵet'ad'i
ĵetadis	ĵet'ad'is
ĵetado	ĵet'ad'o
ĵetadon	ĵet'ad'o'n
ĵetadbastonoj	ĵet'ad'baston'o'j
ĵetadbastonojn	ĵet'ad'baston'o'j'n
ĵetaĵa	ĵet'aĵ'a
ĵetaĵo	ĵet'aĵ'o
ĵetaĵoj	ĵet'aĵ'o'j
ĵetaĵojn	ĵet'aĵ'o'j'n
ĵetaĵon	ĵet'aĵ'o'n
ĵetaĵecaj	ĵet'aĵ'ec'a'j
ĵetanta	ĵet'ant'a
ĵetantaj	ĵet'ant'a'j
ĵetantajn	ĵet'ant'a'j'n
ĵetantan	ĵet'ant'a'n
ĵetante	ĵet'ant'e
ĵetanto	ĵet'ant'o
ĵetantoj	ĵet'ant'o'j
ĵetantojn	ĵet'ant'o'j'n
ĵetarmilojn	ĵet'arm'il'o'j'n
ĵetata	ĵet'at'a
ĵetataj	ĵet'at'a'j
ĵetatajn	ĵet'at'a'j'n
ĵetbuloj	ĵet'bul'o'j
ĵetbulojn	ĵet'bul'o'j'n
ĵetdiska	ĵet'disk'a
ĵetdiskaj	ĵet'disk'a'j
ĵetdiskoj	ĵet'disk'o'j
ĵetdiskon	ĵet'disk'o'n
ĵeteblaj	ĵet'ebl'a'j
ĵeteblan	ĵet'ebl'a'n
ĵetegas	ĵet'eg'as
ĵetegi	ĵet'eg'i
ĵetegis	ĵet'eg'is
ĵetetis	ĵet'et'is
ĵetfluo	ĵet'flu'o
ĵetfluoj	ĵet'flu'o'j
ĵetglobludo	ĵet'glob'lud'o
ĵetglobludoj	ĵet'glob'lud'o'j
ĵetglobludojn	ĵet'glob'lud'o'j'n
ĵetglobludon	ĵet'glob'lud'o'n
ĵetgrenado	ĵet'grenad'o
ĵetgrenadoj	ĵet'grenad'o'j
ĵetgrenadojn	ĵet'grenad'o'j'n
ĵetigis	ĵet'ig'is
ĵetiĝas	ĵet'iĝ'as
ĵetiĝi	ĵet'iĝ'i
ĵetiĝis	ĵet'iĝ'is
ĵetiĝos	ĵet'iĝ'os
ĵetiĝu	ĵet'iĝ'u
ĵetiĝadis	ĵet'iĝ'ad'is
ĵetiĝado	ĵet'iĝ'ad'o
ĵetiĝanta	ĵet'iĝ'ant'a
ĵetiĝantaj	ĵet'iĝ'ant'a'j
ĵetiĝantan	ĵet'iĝ'ant'a'n
ĵetiĝante	ĵet'iĝ'ant'e
ĵetiĝinta	ĵet'iĝ'int'a
ĵetiĝinte	ĵet'iĝ'int'e
ĵetilo	ĵet'il'o
ĵetiloj	ĵet'il'o'j
ĵetinta	ĵet'int'a
ĵetintaj	ĵet'int'a'j
ĵetinte	ĵet'int'e
ĵetinto	ĵet'int'o
ĵetisto	ĵet'ist'o
ĵetistoj	ĵet'ist'o'j
ĵetiston	ĵet'ist'o'n
ĵetita	ĵet'it'a
ĵetitaj	ĵet'it'a'j
ĵetitajn	ĵet'it'a'j'n
ĵetitan	ĵet'it'a'n
ĵetite	ĵet'it'e
ĵetkuban	ĵet'kub'a'n
ĵetkubo	ĵet'kub'o
ĵetkuboj	ĵet'kub'o'j
ĵetkubojn	ĵet'kub'o'j'n
ĵetkubon	ĵet'kub'o'n
ĵetkubareon	ĵet'kub'are'o'n
ĵetkubetoj	ĵet'kub'et'o'j
ĵetkubkavaĵoj	ĵet'kub'kav'aĵ'o'j
ĵetkubludadon	ĵet'kub'lud'ad'o'n
ĵetkubludanton	ĵet'kub'lud'ant'o'n
ĵetkubnaĝejoj	ĵet'kub'naĝ'ej'o'j
ĵetkubrolantarajn	ĵet'kub'rol'ant'ar'a'j'n
ĵetlanco	ĵet'lanc'o
ĵetlancoj	ĵet'lanc'o'j
ĵetlancojn	ĵet'lanc'o'j'n
ĵetlancon	ĵet'lanc'o'n
ĵetlancoĵeto	ĵet'lanc'o'ĵet'o
ĵetmalfermis	ĵet'mal'ferm'is
ĵetmaŝinoj	ĵet'maŝin'o'j
ĵetmaŝinojn	ĵet'maŝin'o'j'n
ĵetmotoro	ĵet'motor'o
ĵetonta	ĵet'ont'a
ĵetontaj	ĵet'ont'a'j
ĵetota	ĵet'ot'a
ĵetrompis	ĵet'romp'is
ĵetrompita	ĵet'romp'it'a
ĵetsagetoj	ĵet'sag'et'o'j
ĵetsagetojn	ĵet'sag'et'o'j'n
ĵetstango	ĵet'stang'o
ĵetsupren	ĵet'supr'e'n
ĵetono	ĵeton'o
ĵetonoj	ĵeton'o'j
ĵetonojn	ĵeton'o'j'n
ĵetonon	ĵeton'o'n
ĵetonforto	ĵeton'fort'o
ĵetonigo	ĵeton'ig'o
ĵetonmaŝino	ĵeton'maŝin'o
ĵibo	ĵib'o
ĵiboj	ĵib'o'j
ĵibon	ĵib'o'n
ĵigo	ĵig'o
ĵigon	ĵig'o'n
ĵiguli	ĵig'ul'i
ĵinzo	ĵinz'o
ĵinzŝtofojn	ĵinz'ŝtof'o'j'n
ĵipo	ĵip'o
ĵipoj	ĵip'o'j
ĵipojn	ĵip'o'j'n
ĵipon	ĵip'o'n
ĵipmotoro	ĵip'motor'o
ĵokeo	ĵoke'o
ĵokeoj	ĵoke'o'j
ĵokeon	ĵoke'o'n
ĵokera	ĵoker'a
ĵokero	ĵoker'o
ĵokeroj	ĵoker'o'j
ĵokeron	ĵoker'o'n
ĵonglas	ĵongl'as
ĵongli	ĵongl'i
ĵonglis	ĵongl'is
ĵonglado	ĵongl'ad'o
ĵonglaĵo	ĵongl'aĵ'o
ĵonglaĵoj	ĵongl'aĵ'o'j
ĵonglisto	ĵongl'ist'o
ĵonglistoj	ĵongl'ist'o'j
ĵongliston	ĵongl'ist'o'n
ĵonglistroboto	ĵongl'ist'robot'o
ĵonko	ĵonk'o
ĵuda	ĵud'a
ĵudo	ĵud'o
ĵudon	ĵud'o'n
ĵudisto	ĵud'ist'o
ĵudistoj	ĵud'ist'o'j
ĵulo	ĵul'o
ĵuloj	ĵul'o'j
ĵulhejtado	ĵul'hejt'ad'o
ĵulomolo	ĵul'o'mol'o
ĵulomolekulo	ĵul'o'molekul'o
ĵura	ĵur'a
ĵurajn	ĵur'a'j'n
ĵuras	ĵur'as
ĵure	ĵur'e
ĵuri	ĵur'i
ĵuris	ĵur'is
ĵuro	ĵur'o
ĵuroj	ĵur'o'j
ĵurojn	ĵur'o'j'n
ĵuron	ĵur'o'n
ĵuros	ĵur'os
ĵuru	ĵur'u
ĵurus	ĵur'us
ĵuradis	ĵur'ad'is
ĵurado	ĵur'ad'o
ĵuradon	ĵur'ad'o'n
ĵuranta	ĵur'ant'a
ĵurantaj	ĵur'ant'a'j
ĵurante	ĵur'ant'e
ĵuratesti	ĵur'atest'i
ĵurigas	ĵur'ig'as
ĵurigis	ĵur'ig'is
ĵurinta	ĵur'int'a
ĵurintaj	ĵur'int'a'j
ĵurintoj	ĵur'int'o'j
ĵurintojn	ĵur'int'o'j'n
ĵurintaro	ĵur'int'ar'o
ĵurintarejo	ĵur'int'ar'ej'o
ĵurita	ĵur'it'a
ĵuritaj	ĵur'it'a'j
ĵurkomunumo	ĵur'komun'um'o
ĵurkomunumanoj	ĵur'komun'um'an'o'j
ĵurkonfirmas	ĵur'konfirm'as
ĵurkonfirmi	ĵur'konfirm'i
ĵurkonfirmis	ĵur'konfirm'is
ĵurkonfirmado	ĵur'konfirm'ad'o
ĵurkonfirmante	ĵur'konfirm'ant'e
ĵurkonfirmita	ĵur'konfirm'it'a
ĵurkonfirmitaj	ĵur'konfirm'it'a'j
ĵuropreno	ĵur'o'pren'o
ĵurpromesis	ĵur'promes'is
ĵurpromesos	ĵur'promes'os
ĵurrompis	ĵur'romp'is
ĵurrompo	ĵur'romp'o
ĵurrompinto	ĵur'romp'int'o
ĵurasa	ĵuras'a
ĵurasaj	ĵuras'a'j
ĵuraso	ĵuras'o
ĵurasomontoj	ĵuras'o'mont'o'j
ĵurasia	ĵurasi'a
ĵurasiaj	ĵurasi'a'j
ĵurasio	ĵurasi'o
ĵuria	ĵuri'a
ĵurio	ĵuri'o
ĵurioj	ĵuri'o'j
ĵuriojn	ĵuri'o'j'n
ĵurion	ĵuri'o'n
ĵuriano	ĵuri'an'o
ĵurianoj	ĵuri'an'o'j
ĵurianojn	ĵuri'an'o'j'n
ĵuriapogtraboj	ĵuri'apog'trab'o'j
ĵuriomembroj	ĵuri'o'membr'o'j
ĵuriorezultojn	ĵuri'o'rezult'o'j'n
ĵuriproceso	ĵuri'proces'o
ĵurnala	ĵurnal'a
ĵurnalaj	ĵurnal'a'j
ĵurnalajn	ĵurnal'a'j'n
ĵurnalan	ĵurnal'a'n
ĵurnalo	ĵurnal'o
ĵurnaloj	ĵurnal'o'j
ĵurnalojn	ĵurnal'o'j'n
ĵurnalon	ĵurnal'o'n
ĵurnaladis	ĵurnal'ad'is
ĵurnalaro	ĵurnal'ar'o
ĵurnalartikolo	ĵurnal'artikol'o
ĵurnalartikoloj	ĵurnal'artikol'o'j
ĵurnalartikolon	ĵurnal'artikol'o'n
ĵurnalejo	ĵurnal'ej'o
ĵurnaleltondaĵoj	ĵurnal'el'tond'aĵ'o'j
ĵurnaleto	ĵurnal'et'o
ĵurnalisma	ĵurnal'ism'a
ĵurnalismaj	ĵurnal'ism'a'j
ĵurnalismajn	ĵurnal'ism'a'j'n
ĵurnalisman	ĵurnal'ism'a'n
ĵurnalisme	ĵurnal'ism'e
ĵurnalismo	ĵurnal'ism'o
ĵurnalismon	ĵurnal'ism'o'n
ĵurnalismokarieron	ĵurnal'ism'o'karier'o'n
ĵurnalista	ĵurnal'ist'a
ĵurnalistaj	ĵurnal'ist'a'j
ĵurnalistajn	ĵurnal'ist'a'j'n
ĵurnalistan	ĵurnal'ist'a'n
ĵurnaliste	ĵurnal'ist'e
ĵurnalistis	ĵurnal'ist'is
ĵurnalisto	ĵurnal'ist'o
ĵurnalistoj	ĵurnal'ist'o'j
ĵurnalistojn	ĵurnal'ist'o'j'n
ĵurnaliston	ĵurnal'ist'o'n
ĵurnalistaro	ĵurnal'ist'ar'o
ĵurnalistaron	ĵurnal'ist'ar'o'n
ĵurnalistiko	ĵurnal'ist'ik'o
ĵurnalistino	ĵurnal'ist'in'o
ĵurnalistinoj	ĵurnal'ist'in'o'j
ĵurnalistinon	ĵurnal'ist'in'o'n
ĵurnalkontribuoj	ĵurnal'kontribu'o'j
ĵurnalpapero	ĵurnal'paper'o
ĵurnalvendejoj	ĵurnal'vend'ej'o'j
ĵurnalvendistoj	ĵurnal'vend'ist'o'j
ĵus	ĵus
ĵusa	ĵus'a
ĵusaj	ĵus'a'j
ĵusajn	ĵus'a'j'n
ĵusan	ĵus'a'n
ĵuse	ĵus'e
ĵusalveninta	ĵus'al'ven'int'a
ĵusalvenintaj	ĵus'al'ven'int'a'j
ĵusalvenintajn	ĵus'al'ven'int'a'j'n
ĵusalveninte	ĵus'al'ven'int'e
ĵusalveninto	ĵus'al'ven'int'o
ĵusaperintaj	ĵus'aper'int'a'j
ĵusbakita	ĵus'bak'it'a
ĵusbakitaj	ĵus'bak'it'a'j
ĵusdata	ĵus'dat'a
ĵusdate	ĵus'dat'e
ĵuseco	ĵus'ec'o
ĵusenirita	ĵus'en'ir'it'a
ĵusformita	ĵus'form'it'a
ĵusgeedziĝintoj	ĵus'ge'edz'iĝ'int'o'j
ĵuskomencita	ĵus'komenc'it'a
ĵuskonstruitaj	ĵus'konstru'it'a'j
ĵuskreita	ĵus'kre'it'a
ĵuskreitan	ĵus'kre'it'a'n
ĵuslernitajn	ĵus'lern'it'a'j'n
ĵusmortigitan	ĵus'mort'ig'it'a'n
ĵusnaskiĝinton	ĵus'nask'iĝ'int'o'n
ĵusnaskintaj	ĵus'nask'int'a'j
ĵusnaskita	ĵus'nask'it'a
ĵusnaskitaj	ĵus'nask'it'a'j
ĵusnaskito	ĵus'nask'it'o
ĵusnaskitoj	ĵus'nask'it'o'j
ĵusnaskitojn	ĵus'nask'it'o'j'n
ĵusnovaĵo	ĵus'nov'aĵ'o
ĵusokazinta	ĵus'okaz'int'a
ĵusveninta	ĵus'ven'int'a
ĵusveninto	ĵus'ven'int'o
ĵusvenkita	ĵus'venk'it'a
