ia	i'a
identigeblaj	ident'ig'ebl'a'j
identigeblan	ident'ig'ebl'a'n
identigeblas	ident'ig'ebl'as
identigilo	ident'ig'il'o
identigiloj	ident'ig'il'o'j
identigilojn	ident'ig'il'o'j'n
identigilon	ident'ig'il'o'n
identigita	ident'ig'it'a
identigitaj	ident'ig'it'a'j
identigitajn	ident'ig'it'a'j'n
identigitan	ident'ig'it'a'n
identigite	ident'ig'it'e
identiĝas	ident'iĝ'as
identiĝi	ident'iĝ'i
identiĝis	ident'iĝ'is
identiĝo	ident'iĝ'o
ideografiaĵoj	ideografi'aĵ'o'j
ideografiaĵojn	ideografi'aĵ'o'j'n
ideogramo	ideogram'o
ideogramoj	ideogram'o'j
ideogramojn	ideogram'o'j'n
ideogramon	ideogram'o'n
idilia	idili'a
idiliaj	idili'a'j
idilian	idili'a'n
idilio	idili'o
idilioj	idili'o'j
idilion	idili'o'n
idioma	idiom'a
idiomo	idiom'o
idiomoj	idiom'o'j
idiomojn	idiom'o'j'n
idiomon	idiom'o'n
idiomajho	idiom'aĵ'o
idiomaĵo	idiom'aĵ'o
idiomaĵoj	idiom'aĵ'o'j
idiomaĵojn	idiom'aĵ'o'j'n
idiomaĵon	idiom'aĵ'o'n
idiosinkrazia	idiosinkrazi'a
idiosinkraziaj	idiosinkrazi'a'j
idiosinkrazioj	idiosinkrazi'o'j
idiota	idiot'a
idiotaj	idiot'a'j
idiotajn	idiot'a'j'n
idiote	idiot'e
idioto	idiot'o
idiotoj	idiot'o'j
idiotojn	idiot'o'j'n
idioton	idiot'o'n
idiotaĵo	idiot'aĵ'o
idioteco	idiot'ec'o
idiotismo	idiot'ism'o
idiotismoj	idiot'ism'o'j
idiotismojn	idiot'ism'o'j'n
idolo	idol'o
idoloj	idol'o'j
idolojn	idol'o'j'n
idolon	idol'o'n
idolanoj	idol'an'o'j
idolkulto	idol'kult'o
ie	ie
iea	ie'a
ien	ie'n
ietie	ie'tie
iel	iel
iele	iel'e
ieltiel	iel'tiel
ies	ies
iga	ig'a
igas	ig'as
igi	ig'i
igis	ig'is
igos	ig'os
igu	ig'u
igus	ig'us
igado	ig'ad'o
iganta	ig'ant'a
igantaj	ig'ant'a'j
igantajn	ig'ant'a'j'n
igantan	ig'ant'a'n
igante	ig'ant'e
iginta	ig'int'a
igintus	ig'int'us
igita	ig'it'a
igitaj	ig'it'a'j
igitajn	ig'it'a'j'n
igitan	ig'it'a'n
igite	ig'it'e
igverbo	ig'verb'o
igverboj	ig'verb'o'j
iĝas	iĝ'as
iĝi	iĝ'i
iĝis	iĝ'is
iĝos	iĝ'os
iĝu	iĝ'u
iĝus	iĝ'us
iĝadis	iĝ'ad'is
iĝado	iĝ'ad'o
iĝanta	iĝ'ant'a
iĝantaj	iĝ'ant'a'j
iĝantan	iĝ'ant'a'n
iĝante	iĝ'ant'e
iĝinta	iĝ'int'a
iĝinte	iĝ'int'e
iĝintus	iĝ'int'us
iĝverbo	iĝ'verb'o
iĝverboj	iĝ'verb'o'j
ignacio	ignaci'o
ignamo	ignam'o
ignamoj	ignam'o'j
ignoras	ignor'as
ignori	ignor'i
ignoris	ignor'is
ignoro	ignor'o
ignoron	ignor'o'n
ignoros	ignor'os
ignoru	ignor'u
ignorus	ignor'us
ignorado	ignor'ad'o
ignoranta	ignor'ant'a
ignorante	ignor'ant'e
ignorata	ignor'at'a
ignorataj	ignor'at'a'j
ignorebla	ignor'ebl'a
ignorita	ignor'it'a
ignoritaj	ignor'it'a'j
ikaro	ikar'o
ikario	ikar'i'o
ikebukuro	ikebukur'o
ikono	ikon'o
ikonoj	ikon'o'j
ikonojn	ikon'o'j'n
ikonon	ikon'o'n
ikoneca	ikon'ec'a
ikonecaj	ikon'ec'a'j
ikonografia	ikonografi'a
ikonografio	ikonografi'o
ikonostazo	ikonostaz'o
ikso	iks'o
iksoj	iks'o'j
iksoradia	iks'o'radi'a
iksoradioj	iks'o'radi'o'j
iksosistemon	iks'o'sistem'o'n
iksiono	iksion'o
iksodoj	iksod'o'j
iksodojn	iksod'o'j'n
iktero	ikter'o
ikteroj	ikter'o'j
ila	il'a
ile	il'e
ilo	il'o
iloj	il'o'j
ilojn	il'o'j'n
ilon	il'o'n
ilaro	il'ar'o
ilaroj	il'ar'o'j
ilarojn	il'ar'o'j'n
ilaron	il'ar'o'n
ilarkesto	il'ar'kest'o
ilera	il'er'a
ilei	ilei
ileiuea	ilei'uea
ileikonferenco	ilei'konferenc'o
ileisekcio	ilei'sekci'o
ilekso	ileks'o
ili	ili
ilia	ili'a
iliaj	ili'a'j
iliajn	ili'a'j'n
ilian	ili'a'n
ilin	ili'n
iliado	iliad'o
iliono	ilion'o
ilira	ilir'a
iliro	ilir'o
iliroj	ilir'o'j
illuminati	illumin'at'i
ilona	ilon'a
ilumini	ilumin'i
iluminis	ilumin'is
ilumino	ilumin'o
iluminiĝo	ilumin'iĝ'o
iluminita	ilumin'it'a
iluminito	ilumin'it'o
ilustra	ilustr'a
ilustras	ilustr'as
ilustri	ilustr'i
ilustris	ilustr'is
ilustrado	ilustr'ad'o
ilustraĵo	ilustr'aĵ'o
ilustraĵoj	ilustr'aĵ'o'j
ilustraĵojn	ilustr'aĵ'o'j'n
ilustraĵon	ilustr'aĵ'o'n
ilustrantaj	ilustr'ant'a'j
ilustrante	ilustr'ant'e
ilustristo	ilustr'ist'o
ilustristoj	ilustr'ist'o'j
ilustrita	ilustr'it'a
ilustritaj	ilustr'it'a'j
ilustritajn	ilustr'it'a'j'n
ilustritan	ilustr'it'a'n
ilustrite	ilustr'it'e
iluzia	iluzi'a
iluziaj	iluzi'a'j
iluzian	iluzi'a'n
iluzie	iluzi'e
iluzio	iluzi'o
iluzioj	iluzi'o'j
iluziojn	iluzi'o'j'n
iluzion	iluzi'o'n
iluziaĵo	iluzi'aĵ'o
iluziaĵon	iluzi'aĵ'o'n
iluziisto	iluzi'ist'o
imaga	imag'a
imagaj	imag'a'j
imagajn	imag'a'j'n
imagan	imag'a'n
imagas	imag'as
image	imag'e
imagi	imag'i
imagis	imag'is
imago	imag'o
imagoj	imag'o'j
imagojn	imag'o'j'n
imagon	imag'o'n
imagos	imag'os
imagu	imag'u
imagus	imag'us
imagado	imag'ad'o
imagaĵo	imag'aĵ'o
imagante	imag'ant'e
imagata	imag'at'a
imagataj	imag'at'a'j
imagebla	imag'ebl'a
imageblaj	imag'ebl'a'j
imageblan	imag'ebl'a'n
imageblas	imag'ebl'as
imageble	imag'ebl'e
imagipovo	imag'i'pov'o
imagipovon	imag'i'pov'o'n
imaginta	imag'int'a
imagintus	imag'int'us
imagita	imag'it'a
imagitaj	imag'it'a'j
imagitajn	imag'it'a'j'n
imagitan	imag'it'a'n
imagopovo	imag'o'pov'o
imagopovon	imag'o'pov'o'n
imagpovo	imag'pov'o
imagpovon	imag'pov'o'n
imaginara	imaginar'a
imamo	imam'o
imamoj	imam'o'j
imanenta	imanent'a
imanentaj	imanent'a'j
imanentan	imanent'a'n
imita	imit'a
imitas	imit'as
imite	imit'e
imiti	imit'i
imitis	imit'is
imito	imit'o
imitoj	imit'o'j
imiton	imit'o'n
imitos	imit'os
imitu	imit'u
imitus	imit'us
imitado	imit'ad'o
imitadon	imit'ad'o'n
imitaĵo	imit'aĵ'o
imitaĵoj	imit'aĵ'o'j
imitaĵojn	imit'aĵ'o'j'n
imitaĵon	imit'aĵ'o'n
imitanta	imit'ant'a
imitantaj	imit'ant'a'j
imitante	imit'ant'e
imitanto	imit'ant'o
imitantoj	imit'ant'o'j
imitata	imit'at'a
imiteco	imit'ec'o
imitinda	imit'ind'a
imitindan	imit'ind'a'n
imitisto	imit'ist'o
imitistoj	imit'ist'o'j
imitistreĝo	imit'ist'reĝ'o
imitita	imit'it'a
imititaj	imit'it'a'j
imititajn	imit'it'a'j'n
imituloj	imit'ul'o'j
impedanco	impedanc'o
impedancon	impedanc'o'n
imperativo	imperativ'o
imperativoj	imperativ'o'j
imperativon	imperativ'o'n
imperfekto	imperfekt'o
imperfektive	imperfektiv'e
imperia	imperi'a
imperiaj	imperi'a'j
imperiajn	imperi'a'j'n
imperian	imperi'a'n
imperio	imperi'o
imperioj	imperi'o'j
imperiojn	imperi'o'j'n
imperion	imperi'o'n
imperiestra	imperi'estr'a
imperiestraj	imperi'estr'a'j
imperiestran	imperi'estr'a'n
imperiestro	imperi'estr'o
imperiestroj	imperi'estr'o'j
imperiestrojn	imperi'estr'o'j'n
imperiestron	imperi'estr'o'n
imperiestrino	imperi'estr'in'o
imperiestrinoj	imperi'estr'in'o'j
imperiestrinon	imperi'estr'in'o'n
imperiisma	imperi'ism'a
imperiismaj	imperi'ism'a'j
imperiisman	imperi'ism'a'n
imperiismo	imperi'ism'o
imperiismoj	imperi'ism'o'j
imperiismon	imperi'ism'o'n
imperiistoj	imperi'ist'o'j
imperialismo	imperial'ism'o
imperialisto	imperial'ist'o
imperialistoj	imperial'ist'o'j
imperiumo	imperium'o
imperiumon	imperium'o'n
impertinenta	impertinent'a
impertinentaj	impertinent'a'j
impertinentan	impertinent'a'n
impertinente	impertinent'e
impertinenteco	impertinent'ec'o
impeta	impet'a
impetaj	impet'a'j
impetan	impet'a'n
impetas	impet'as
impete	impet'e
impeti	impet'i
impetis	impet'is
impeto	impet'o
impeton	impet'o'n
implica	implic'a
implicaj	implic'a'j
implicajn	implic'a'j'n
implican	implic'a'n
implicas	implic'as
implice	implic'e
implici	implic'i
implicis	implic'is
implico	implic'o
implicoj	implic'o'j
implicojn	implic'o'j'n
implicon	implic'o'n
implicos	implic'os
implicus	implic'us
implicado	implic'ad'o
implicante	implic'ant'e
implicita	implic'it'a
implicitaj	implic'it'a'j
implicitan	implic'it'a'n
implicite	implic'it'e
implikas	implik'as
impliki	implik'i
implikis	implik'is
impliko	implik'o
implikos	implik'os
impliku	implik'u
implikus	implik'us
implikado	implik'ad'o
implikaĵo	implik'aĵ'o
implikaĵoj	implik'aĵ'o'j
implikanta	implik'ant'a
implikantaj	implik'ant'a'j
implikantajn	implik'ant'a'j'n
implikantan	implik'ant'a'n
implikante	implik'ant'e
implikata	implik'at'a
implikiĝas	implik'iĝ'as
implikiĝi	implik'iĝ'i
implikiĝis	implik'iĝ'is
implikiĝo	implik'iĝ'o
implikiĝon	implik'iĝ'o'n
implikita	implik'it'a
implikitaj	implik'it'a'j
implikitajn	implik'it'a'j'n
implikitan	implik'it'a'n
implikite	implik'it'e
impona	impon'a
imponaj	impon'a'j
imponajn	impon'a'j'n
imponan	impon'a'n
imponas	impon'as
impone	impon'e
imponi	impon'i
imponis	impon'is
imponeco	impon'ec'o
imponecon	impon'ec'o'n
imponega	impon'eg'a
imponita	impon'it'a
imponitaj	impon'it'a'j
importa	import'a
importas	import'as
importi	import'i
importis	import'is
importo	import'o
importoj	import'o'j
importon	import'o'n
importado	import'ad'o
importadoj	import'ad'o'j
importadon	import'ad'o'n
importaĵo	import'aĵ'o
importaĵoj	import'aĵ'o'j
importante	import'ant'e
importisto	import'ist'o
importistoj	import'ist'o'j
importita	import'it'a
importitaj	import'it'a'j
importitajn	import'it'a'j'n
importitan	import'it'a'n
imposta	impost'a
impostaj	impost'a'j
impostajn	impost'a'j'n
impostan	impost'a'n
impostas	impost'as
imposte	impost'e
imposti	impost'i
imposto	impost'o
impostoj	impost'o'j
impostojn	impost'o'j'n
imposton	impost'o'n
impostado	impost'ad'o
impostadon	impost'ad'o'n
impostdeklaroj	impost'deklar'o'j
impostisto	impost'ist'o
impostistoj	impost'ist'o'j
impostita	impost'it'a
impostitaj	impost'it'a'j
impostkolektado	impost'kolekt'ad'o
impostmono	impost'mon'o
impostodeva	impost'o'dev'a
impostodevaj	impost'o'dev'a'j
impostoficejo	impost'ofic'ej'o
impostpaganto	impost'pag'ant'o
impostpagantoj	impost'pag'ant'o'j
impostpagantojn	impost'pag'ant'o'j'n
impostpremo	impost'prem'o
impostrabatoj	impost'rabat'o'j
impostreduktoj	impost'redukt'o'j
impostsistemo	impost'sistem'o
impostsistemoj	impost'sistem'o'j
imposttarifo	impost'tarif'o
imposttarifoj	impost'tarif'o'j
imposttarifojn	impost'tarif'o'j'n
impotenta	impotent'a
impotentaj	impotent'a'j
impotenteco	impotent'ec'o
impresa	impres'a
impresaj	impres'a'j
impresajn	impres'a'j'n
impresan	impres'a'n
impresas	impres'as
imprese	impres'e
impresi	impres'i
impresis	impres'is
impreso	impres'o
impresoj	impres'o'j
impresojn	impres'o'j'n
impreson	impres'o'n
impresos	impres'os
impresu	impres'u
impresus	impres'us
impresanta	impres'ant'a
impresebla	impres'ebl'a
impresiĝis	impres'iĝ'is
impresiĝema	impres'iĝ'em'a
impresita	impres'it'a
impresitaj	impres'it'a'j
impresite	impres'it'e
impresario	impresari'o
impresionisma	impresionism'a
impresionismaj	impresionism'a'j
impresionismo	impresionism'o
impresionistoj	impresionist'o'j
improviza	improviz'a
improvizaj	improviz'a'j
improvizan	improviz'a'n
improvizas	improviz'as
improvize	improviz'e
improvizi	improviz'i
improvizis	improviz'is
improvizo	improviz'o
improvizon	improviz'o'n
improvizado	improviz'ad'o
improvizadoj	improviz'ad'o'j
improvizadon	improviz'ad'o'n
improvizaĵo	improviz'aĵ'o
improvizata	improviz'at'a
improvizita	improviz'it'a
improvizitaj	improviz'it'a'j
improvizitan	improviz'it'a'n
impulsa	impuls'a
impulsan	impuls'a'n
impulse	impuls'e
impulsi	impuls'i
impulsis	impuls'is
impulso	impuls'o
impulsoj	impuls'o'j
impulsojn	impuls'o'j'n
impulson	impuls'o'n
impulsema	impuls'em'a
impulspotencialo	impuls'potencial'o
impulspotencialoj	impuls'potencial'o'j
impulspotencialojn	impuls'potencial'o'j'n
impulspotencialon	impuls'potencial'o'n
imputas	imput'as
imputi	imput'i
imputis	imput'is
imputita	imput'it'a
imputitaj	imput'it'a'j
imuna	imun'a
imunaj	imun'a'j
imunan	imun'a'n
imunĉeloj	imun'ĉel'o'j
imuneco	imun'ec'o
imunecon	imun'ec'o'n
imunigo	imun'ig'o
imunologio	imun'olog'i'o
imunreago	imun're'ag'o
imunreagon	imun're'ag'o'n
imunsistemo	imun'sistem'o
imunsistemon	imun'sistem'o'n
ina	in'a
inaj	in'a'j
inajn	in'a'j'n
inan	in'a'n
ine	in'e
ino	in'o
inoj	in'o'j
inojn	in'o'j'n
inon	in'o'n
ineco	in'ec'o
inaĥo	inaĥ'o
inano	inan'o
inaŭgura	inaŭgur'a
inaŭguran	inaŭgur'a'n
inaŭguras	inaŭgur'as
inaŭguri	inaŭgur'i
inaŭguris	inaŭgur'is
inaŭguro	inaŭgur'o
inaŭguron	inaŭgur'o'n
inaŭguriĝis	inaŭgur'iĝ'is
inaŭgurita	inaŭgur'it'a
incendiis	incendi'is
incendio	incendi'o
incendioj	incendi'o'j
incendiojn	incendi'o'j'n
incendion	incendi'o'n
incensa	incens'a
incenso	incens'o
incensoj	incens'o'j
incensojn	incens'o'j'n
incenson	incens'o'n
incensilon	incens'il'o'n
incensujo	incens'uj'o
incesta	incest'a
incesto	incest'o
incida	incid'a
incidento	incident'o
incidentoj	incident'o'j
incidenton	incident'o'n
incita	incit'a
incitas	incit'as
inciti	incit'i
incitis	incit'is
incito	incit'o
incitu	incit'u
incitus	incit'us
incitado	incit'ad'o
incitante	incit'ant'e
incitetas	incit'et'as
inciteti	incit'et'i
incitetis	incit'et'is
incitiĝis	incit'iĝ'is
incitiĝo	incit'iĝ'o
incitiĝema	incit'iĝ'em'a
incitita	incit'it'a
incititaj	incit'it'a'j
incitite	incit'it'e
incizivoj	inciziv'o'j
inda	ind'a
indaj	ind'a'j
indajn	ind'a'j'n
indan	ind'a'n
indas	ind'as
inde	ind'e
indis	ind'is
indo	ind'o
indon	ind'o'n
indos	ind'os
indus	ind'us
indeco	ind'ec'o
indecon	ind'ec'o'n
indeksa	indeks'a
indeksas	indeks'as
indeksi	indeks'i
indekso	indeks'o
indeksoj	indeks'o'j
indeksojn	indeks'o'j'n
indekson	indeks'o'n
indeksado	indeks'ad'o
indeksita	indeks'it'a
indeksitaj	indeks'it'a'j
india	indi'a
indiaj	indi'a'j
indian	indi'a'n
indie	indi'e
indio	indi'o
indioj	indi'o'j
indiana	indi'an'a
indianaj	indi'an'a'j
indianajn	indi'an'a'j'n
indianan	indi'an'a'n
indiano	indi'an'o
indianoj	indi'an'o'j
indianojn	indi'an'o'j'n
indianino	indi'an'in'o
indianvilaĝo	indi'an'vilaĝ'o
indianio	indiani'o
indica	indic'a
indico	indic'o
indicoj	indic'o'j
indicojn	indic'o'j'n
indicon	indic'o'n
indicigo	indic'ig'o
indicita	indic'it'a
indicitaj	indic'it'a'j
indicite	indic'it'e
indiferenta	indiferent'a
indiferentaj	indiferent'a'j
indiferentan	indiferent'a'n
indiferentas	indiferent'as
indiferente	indiferent'e
indiferento	indiferent'o
indiferenton	indiferent'o'n
indiferenteco	indiferent'ec'o
indiferentecon	indiferent'ec'o'n
indiferentismo	indiferent'ism'o
indiga	indig'a
indigo	indig'o
indiĝena	indiĝen'a
indiĝenaj	indiĝen'a'j
indighenaj	indiĝen'a'j
indiĝenajn	indiĝen'a'j'n
indiĝenan	indiĝen'a'n
indiĝene	indiĝen'e
indiĝeno	indiĝen'o
indiĝenoj	indiĝen'o'j
indighenoj	indiĝen'o'j
indiĝenojn	indiĝen'o'j'n
indiĝenon	indiĝen'o'n
indigna	indign'a
indignaj	indign'a'j
indignas	indign'as
indigne	indign'e
indigni	indign'i
indignis	indign'is
indigno	indign'o
indignon	indign'o'n
indigniga	indign'ig'a
indignigas	indign'ig'as
indignigi	indign'ig'i
indignigis	indign'ig'is
indignigita	indign'ig'it'a
indignigitaj	indign'ig'it'a'j
indigniĝis	indign'iĝ'is
indignita	indign'it'a
indika	indik'a
indikaj	indik'a'j
indikas	indik'as
indiki	indik'i
indikis	indik'is
indiko	indik'o
indikoj	indik'o'j
indikojn	indik'o'j'n
indikon	indik'o'n
indikos	indik'os
indiku	indik'u
indikus	indik'us
indikado	indik'ad'o
indikaĵo	indik'aĵ'o
indikaĵoj	indik'aĵ'o'j
indikaĵojn	indik'aĵ'o'j'n
indikanta	indik'ant'a
indikantaj	indik'ant'a'j
indikantajn	indik'ant'a'j'n
indikantan	indik'ant'a'n
indikante	indik'ant'e
indikata	indik'at'a
indikataj	indik'at'a'j
indikebla	indik'ebl'a
indikeblaj	indik'ebl'a'j
indikeble	indik'ebl'e
indikilo	indik'il'o
indikiloj	indik'il'o'j
indikilojn	indik'il'o'j'n
indikilon	indik'il'o'n
indikita	indik'it'a
indikitaj	indik'it'a'j
indikitajn	indik'it'a'j'n
indikitan	indik'it'a'n
indikite	indik'it'e
indikativo	indikativ'o
individua	individu'a
individuaj	individu'a'j
individuajn	individu'a'j'n
individuan	individu'a'n
individue	individu'e
individuo	individu'o
individuoj	individu'o'j
individuojn	individu'o'j'n
individuon	individu'o'n
individuaĵoj	individu'aĵ'o'j
individueca	individu'ec'a
individueco	individu'ec'o
individuecon	individu'ec'o'n
individuigo	individu'ig'o
individuigita	individu'ig'it'a
individuigitaj	individu'ig'it'a'j
individuisma	individu'ism'a
individuismo	individu'ism'o
individuismon	individu'ism'o'n
individualismo	individualism'o
indra	indr'a
indukta	indukt'a
induktaj	indukt'a'j
induktan	indukt'a'n
induktas	indukt'as
indukte	indukt'e
indukti	indukt'i
induktis	indukt'is
indukto	indukt'o
indukton	indukt'o'n
induktado	indukt'ad'o
induktante	indukt'ant'e
induktiloj	indukt'il'o'j
induktita	indukt'it'a
induktitaj	indukt'it'a'j
induktitan	indukt'it'a'n
induktanco	induktanc'o
induktancon	induktanc'o'n
induktoro	induktor'o
induktoroj	induktor'o'j
indulga	indulg'a
indulgaj	indulg'a'j
indulgas	indulg'as
indulge	indulg'e
indulgi	indulg'i
indulgis	indulg'is
indulgo	indulg'o
indulgoj	indulg'o'j
indulgon	indulg'o'n
indulgos	indulg'os
indulgu	indulg'u
indulgema	indulg'em'a
indulgemaj	indulg'em'a'j
indulgemo	indulg'em'o
indulgenco	indulgenc'o
indusa	indus'a
indusaj	indus'a'j
induso	indus'o
indusocivilizacio	indus'o'civilizaci'o
industria	industri'a
industriaj	industri'a'j
industriajn	industri'a'j'n
industrian	industri'a'n
industrie	industri'e
industrio	industri'o
industrioj	industri'o'j
industriojn	industri'o'j'n
industrion	industri'o'n
industribranĉo	industri'branĉ'o
industribranĉoj	industri'branĉ'o'j
industriiga	industri'ig'a
industriigi	industri'ig'i
industriigis	industri'ig'is
industriigo	industri'ig'o
industriigon	industri'ig'o'n
industriigita	industri'ig'it'a
industriigitaj	industri'ig'it'a'j
industriiĝo	industri'iĝ'o
industriisto	industri'ist'o
industriistoj	industri'ist'o'j
industrikulturo	industri'kultur'o
industrilando	industri'land'o
industrilandoj	industri'land'o'j
industrinormo	industri'norm'o
industriproduktoj	industri'produkt'o'j
industriregionoj	industri'region'o'j
industriulo	industri'ul'o
industriuloj	industri'ul'o'j
industrivaroj	industri'var'o'j
inercia	inerci'a
inercio	inerci'o
inercion	inerci'o'n
inercikadro	inerci'kadr'o
inercirado	inerci'rad'o
inerciradoj	inerci'rad'o'j
inerciradon	inerci'rad'o'n
inerta	inert'a
inertaj	inert'a'j
inertan	inert'a'n
inerte	inert'e
inerteco	inert'ec'o
infana	infan'a
infanaj	infan'a'j
infanajn	infan'a'j'n
infanan	infan'a'n
infane	infan'e
infano	infan'o
infanoj	infan'o'j
infanojn	infan'o'j'n
infanon	infan'o'n
infanaĝa	infan'aĝ'a
infanaĝaj	infan'aĝ'a'j
infanaĝe	infan'aĝ'e
infanagho	infan'aĝ'o
infanaĝo	infan'aĝ'o
infanaĝon	infan'aĝ'o'n
infanaĵo	infan'aĵ'o
infanaro	infan'ar'o
infaneca	infan'ec'a
infanecaj	infan'ec'a'j
infanecan	infan'ec'a'n
infanece	infan'ec'e
infaneco	infan'ec'o
infanecon	infan'ec'o'n
infanedukado	infan'eduk'ad'o
infanejo	infan'ej'o
infaneto	infan'et'o
infanetoj	infan'et'o'j
infanetojn	infan'et'o'j'n
infaneton	infan'et'o'n
infanĝardeno	infan'ĝarden'o
infanĝardenoj	infan'ĝarden'o'j
infanĝardenon	infan'ĝarden'o'n
infanino	infan'in'o
infaninoj	infan'in'o'j
infaninon	infan'in'o'n
infanjaroj	infan'jar'o'j
infanlaboro	infan'labor'o
infanlaboron	infan'labor'o'n
infanlibro	infan'libr'o
infanlibroj	infan'libr'o'j
infanludo	infan'lud'o
infanmurdo	infan'murd'o
infanpornografio	infan'pornograf'i'o
infantempa	infan'temp'a
infantempaj	infan'temp'a'j
infantempan	infan'temp'a'n
infanvartejo	infan'vart'ej'o
infanvartejoj	infan'vart'ej'o'j
infanvartejon	infan'vart'ej'o'n
infanzorgado	infan'zorg'ad'o
infanto	infant'o
infanteria	infanteri'a
infanteriaj	infanteri'a'j
infanterio	infanteri'o
infanterion	infanteri'o'n
infanterianoj	infanteri'an'o'j
infanteriistoj	infanteri'ist'o'j
infanteriodivizioj	infanteri'o'divizi'o'j
infanterisoldatoj	infanteri'soldat'o'j
infanteritrupoj	infanteri'trup'o'j
infekta	infekt'a
infektaj	infekt'a'j
infektajn	infekt'a'j'n
infektan	infekt'a'n
infektas	infekt'as
infekti	infekt'i
infektis	infekt'is
infekto	infekt'o
infektoj	infekt'o'j
infektojn	infekt'o'j'n
infekton	infekt'o'n
infektado	infekt'ad'o
infektiĝas	infekt'iĝ'as
infektiĝi	infekt'iĝ'i
infektiĝis	infekt'iĝ'is
infektiĝo	infekt'iĝ'o
infektiĝoj	infekt'iĝ'o'j
infektiĝon	infekt'iĝ'o'n
infektita	infekt'it'a
infektitaj	infekt'it'a'j
infektitan	infekt'it'a'n
infektitoj	infekt'it'o'j
infera	infer'a
inferaj	infer'a'j
inferan	infer'a'n
infere	infer'e
inferen	infer'e'n
infero	infer'o
inferoj	infer'o'j
inferon	infer'o'n
infereco	infer'ec'o
infestiĝo	infest'iĝ'o
infestita	infest'it'a
infiltras	infiltr'as
infiltri	infiltr'i
infiltris	infiltr'is
infinita	infinit'a
infinite	infinit'e
infinito	infinit'o
infinitezima	infinitezim'a
infinitiva	infinitiv'a
infinitivo	infinitiv'o
infinitivoj	infinitiv'o'j
infinitivon	infinitiv'o'n
inflacia	inflaci'a
