fabo	fab'o
famulojn	fam'ul'o'j'n
famulon	fam'ul'o'n
familia	famili'a
familiaj	famili'a'j
familiajn	famili'a'j'n
familian	famili'a'n
familie	famili'e
familio	famili'o
familioj	famili'o'j
familiojn	famili'o'j'n
familion	famili'o'n
familiano	famili'an'o
familianoj	famili'an'o'j
familianojn	famili'an'o'j'n
familianon	famili'an'o'n
familieca	famili'ec'a
familiestro	famili'estr'o
familigrupoj	famili'grup'o'j
familinomo	famili'nom'o
familinomoj	famili'nom'o'j
familinomojn	famili'nom'o'j'n
familinomon	famili'nom'o'n
familiomedicino	famili'o'medicin'o
familiplanado	famili'plan'ad'o
familiara	familiar'a
familiaraj	familiar'a'j
familiarajn	familiar'a'j'n
familiaran	familiar'a'n
familiare	familiar'e
familiaro	familiar'o
familiareco	familiar'ec'o
familiariĝis	familiar'iĝ'is
fanatika	fanatik'a
fanatikaj	fanatik'a'j
fanatikan	fanatik'a'n
fanatike	fanatik'e
fanatikeco	fanatik'ec'o
fanatikecon	fanatik'ec'o'n
fanatikismo	fanatik'ism'o
fanatikulo	fanatik'ul'o
fanatikuloj	fanatik'ul'o'j
fanatikulojn	fanatik'ul'o'j'n
fanda	fand'a
fandas	fand'as
fandi	fand'i
fandis	fand'is
fando	fand'o
fandu	fand'u
fandado	fand'ad'o
fandadoj	fand'ad'o'j
fandadon	fand'ad'o'n
fandaĵo	fand'aĵ'o
fandakvo	fand'akv'o
fandejo	fand'ej'o
fandiĝas	fand'iĝ'as
fandiĝi	fand'iĝ'i
fandiĝis	fand'iĝ'is
fandiĝo	fand'iĝ'o
fandiĝos	fand'iĝ'os
fandita	fand'it'a
fanditaj	fand'it'a'j
fanditan	fand'it'a'n
fandopoto	fand'o'pot'o
fandopunkto	fand'o'punkt'o
fandujo	fand'uj'o
fanfaro	fanfar'o
fanfarona	fanfaron'a
fanfaronaj	fanfaron'a'j
fanfaronas	fanfaron'as
fanfarone	fanfaron'e
fanfaroni	fanfaron'i
fanfaronis	fanfaron'is
fanfaronu	fanfaron'u
fanfaronado	fanfaron'ad'o
fanfaronadon	fanfaron'ad'o'n
fanfaronante	fanfaron'ant'e
fanfaronulo	fanfaron'ul'o
fanto	fant'o
fanton	fant'o'n
fantasta	fantast'a
fantastaj	fantast'a'j
fantastajn	fantast'a'j'n
fantastan	fantast'a'n
fantasto	fantast'o
fantazia	fantazi'a
fantaziaj	fantazi'a'j
fantaziajn	fantazi'a'j'n
fantazian	fantazi'a'n
fantazias	fantazi'as
fantazie	fantazi'e
fantazii	fantazi'i
fantaziis	fantazi'is
fantazio	fantazi'o
fantazioj	fantazi'o'j
fantaziojn	fantazi'o'j'n
fantazion	fantazi'o'n
fantaziaĵo	fantazi'aĵ'o
fantaziaĵoj	fantazi'aĵ'o'j
fantaziaĵojn	fantazi'aĵ'o'j'n
fantaziuloj	fantazi'ul'o'j
fantoma	fantom'a
fantomaj	fantom'a'j
fantoman	fantom'a'n
fantomas	fantom'as
fantome	fantom'e
fantomo	fantom'o
fantomoj	fantom'o'j
fantomojn	fantom'o'j'n
fantomon	fantom'o'n
fantomplena	fantom'plen'a
fantomvizitata	fantom'vizit'at'a
fara	far'a
faras	far'as
fare	far'e
fari	far'i
faris	far'is
faro	far'o
faroj	far'o'j
farojn	far'o'j'n
faron	far'o'n
faros	far'os
faru	far'u
farus	far'us
faraĉas	far'aĉ'as
faradas	far'ad'as
faradi	far'ad'i
faradis	far'ad'is
farado	far'ad'o
faradoj	far'ad'o'j
faradon	far'ad'o'n
farados	far'ad'os
faraĵo	far'aĵ'o
faraĵoj	far'aĵ'o'j
faranta	far'ant'a
farantaj	far'ant'a'j
farantajn	far'ant'a'j'n
farantan	far'ant'a'n
farantas	far'ant'as
farante	far'ant'e
faranto	far'ant'o
farantoj	far'ant'o'j
faranton	far'ant'o'n
farata	far'at'a
farataj	far'at'a'j
faratajn	far'at'a'j'n
faratan	far'at'a'n
faratas	far'at'as
farate	far'at'e
farebla	far'ebl'a
fareblaj	far'ebl'a'j
fareblan	far'ebl'a'n
fareblas	far'ebl'as
farebleco	far'ebl'ec'o
fareblecon	far'ebl'ec'o'n
farenda	far'end'a
farendaj	far'end'a'j
farendajn	far'end'a'j'n
farendan	far'end'a'n
farendas	far'end'as
farendaĵo	far'end'aĵ'o
farendaĵoj	far'end'aĵ'o'j
farendaĵojn	far'end'aĵ'o'j'n
farendaĵon	far'end'aĵ'o'n
farigas	far'ig'as
farigi	far'ig'i
farigis	far'ig'is
farigita	far'ig'it'a
fariĝas	far'iĝ'as
fariĝi	far'iĝ'i
fariĝis	far'iĝ'is
fariĝo	far'iĝ'o
fariĝos	far'iĝ'os
fariĝu	far'iĝ'u
fariĝus	far'iĝ'us
fariĝadis	far'iĝ'ad'is
fariĝanta	far'iĝ'ant'a
fariĝante	far'iĝ'ant'e
fariĝinta	far'iĝ'int'a
fariĝintaj	far'iĝ'int'a'j
fariĝinte	far'iĝ'int'e
fariĝinti	far'iĝ'int'i
fariĝintus	far'iĝ'int'us
farinda	far'ind'a
farindas	far'ind'as
farinta	far'int'a
farintaj	far'int'a'j
farinte	far'int'e
farinto	far'int'o
farintoj	far'int'o'j
farintus	far'int'us
faristo	far'ist'o
farita	far'it'a
faritaj	far'it'a'j
faritajn	far'it'a'j'n
faritan	far'it'a'n
faritas	far'it'as
farite	far'it'e
faritis	far'it'is
faritaĵo	far'it'aĵ'o
faritaĵoj	far'it'aĵ'o'j
farmaniero	far'manier'o
faronta	far'ont'a
farontaj	far'ont'a'j
farota	far'ot'a
farotaj	far'ot'a'j
farotan	far'ot'a'n
farado	farad'o
faradoj	farad'o'j
faradon	farad'o'n
faraona	faraon'a
faraono	faraon'o
faraonoj	faraon'o'j
faraonon	faraon'o'n
farbas	farb'as
farbi	farb'i
farbis	farb'is
farbo	farb'o
farboj	farb'o'j
farbojn	farb'o'j'n
farbon	farb'o'n
farbos	farb'os
farbu	farb'u
farbado	farb'ad'o
farbadon	farb'ad'o'n
farbata	farb'at'a
farbisto	farb'ist'o
farbistoj	farb'ist'o'j
farbistojn	farb'ist'o'j'n
farbiston	farb'ist'o'n
farbita	farb'it'a
farbitaj	farb'it'a'j
farbopulvoro	farb'o'pulvor'o
farĉo	farĉ'o
farĉon	farĉ'o'n
farĉaĵo	farĉ'aĵ'o
farĉita	farĉ'it'a
farĉitaj	farĉ'it'a'j
farĉitajn	farĉ'it'a'j'n
faringo	faring'o
fariseo	farise'o
fariseoj	farise'o'j
farma	farm'a
farmaj	farm'a'j
farmo	farm'o
farmoj	farm'o'j
farmojn	farm'o'j'n
farmon	farm'o'n
farmado	farm'ad'o
farmantoj	farm'ant'o'j
farmbestoj	farm'best'o'j
farmbieno	farm'bien'o
farmbienoj	farm'bien'o'j
farmbienon	farm'bien'o'n
farmdomo	farm'dom'o
farmejo	farm'ej'o
farmista	farm'ist'a
farmisto	farm'ist'o
farmistoj	farm'ist'o'j
farmistojn	farm'ist'o'j'n
farmiston	farm'ist'o'n
farmita	farm'it'a
farmitaj	farm'it'a'j
farmlaboro	farm'labor'o
farmobieno	farm'o'bien'o
farmobienoj	farm'o'bien'o'j
farmodomo	farm'o'dom'o
farmacia	farmaci'a
farmaciaj	farmaci'a'j
farmaciajn	farmaci'a'j'n
farmacian	farmaci'a'n
farmacio	farmaci'o
farmaciaĵo	farmaci'aĵ'o
farmaciaĵoj	farmaci'aĵ'o'j
farmaciaĵojn	farmaci'aĵ'o'j'n
farmaciaĵon	farmaci'aĵ'o'n
farmaciisto	farmaci'ist'o
farmakologia	farmakolog'i'a
farmakologiaj	farmakolog'i'a'j
farmakologiajn	farmakolog'i'a'j'n
farmakologio	farmakolog'i'o
farso	fars'o
farson	fars'o'n
fartas	fart'as
farti	fart'i
fartis	fart'is
farto	fart'o
farton	fart'o'n
fartos	fart'os
fartu	fart'u
fartus	fart'us
faruna	farun'a
farunaj	farun'a'j
farunan	farun'a'n
faruno	farun'o
farunon	farun'o'n
farunaĵo	farun'aĵ'o
farunaĵoj	farun'aĵ'o'j
fasada	fasad'a
fasado	fasad'o
fasadoj	fasad'o'j
fasadojn	fasad'o'j'n
fasadon	fasad'o'n
fascio	fasci'o
fascina	fascin'a
fascinaj	fascin'a'j
fascinajn	fascin'a'j'n
fascinan	fascin'a'n
fascinas	fascin'as
fascine	fascin'e
fascinis	fascin'is
fascino	fascin'o
fascinon	fascin'o'n
fascinita	fascin'it'a
fascinitaj	fascin'it'a'j
fasciolo	fasciol'o
fasciolozo	fasciol'oz'o
fasko	fask'o
faskoj	fask'o'j
faskojn	fask'o'j'n
faskon	fask'o'n
faskigita	fask'ig'it'a
faskigitaj	fask'ig'it'a'j
faskokolonoj	fask'o'kolon'o'j
fasono	fason'o
fasonoj	fason'o'j
fasonon	fason'o'n
fasonado	fason'ad'o
fasonadon	fason'ad'o'n
fasonita	fason'it'a
fasta	fast'a
fastas	fast'as
fasti	fast'i
fastis	fast'is
fasto	fast'o
fastoj	fast'o'j
faston	fast'o'n
fastado	fast'ad'o
fastuma	fast'um'a
faŝisma	faŝism'a
faŝismaj	faŝism'a'j
faŝisman	faŝism'a'n
faŝismo	faŝism'o
faŝismon	faŝism'o'n
faŝista	faŝist'a
faŝisto	faŝist'o
faŝistoj	faŝist'o'j
faŝistojn	faŝist'o'j'n
fato	fat'o
faton	fat'o'n
fatala	fatal'a
fatalaj	fatal'a'j
fatalajn	fatal'a'j'n
fatalan	fatal'a'n
fatale	fatal'e
fatalo	fatal'o
fatalon	fatal'o'n
fatalismo	fatal'ism'o
fatraso	fatras'o
fatrason	fatras'o'n
fatvo	fatv'o
faŭkis	faŭk'is
faŭko	faŭk'o
faŭkon	faŭk'o'n
faŭna	faŭn'a
faŭno	faŭn'o
faŭnon	faŭn'o'n
favelo	favel'o
faveloj	favel'o'j
favora	favor'a
favoraj	favor'a'j
favorajn	favor'a'j'n
favoran	favor'a'n
favoras	favor'as
favore	favor'e
favori	favor'i
favoris	favor'is
favoro	favor'o
favoroj	favor'o'j
favorojn	favor'o'j'n
favoron	favor'o'n
favoros	favor'os
favoru	favor'u
favorus	favor'us
favorado	favor'ad'o
favoranta	favor'ant'a
favorantaj	favor'ant'a'j
favorante	favor'ant'e
favoranto	favor'ant'o
favorantoj	favor'ant'o'j
favorata	favor'at'a
favorataj	favor'at'a'j
favoratan	favor'at'a'n
favorate	favor'at'e
favorato	favor'at'o
favoratoj	favor'at'o'j
favorigas	favor'ig'as
favorigi	favor'ig'i
favorigis	favor'ig'is
favorita	favor'it'a
favoritaj	favor'it'a'j
favorito	favor'it'o
favorkora	favor'kor'a
favorkoreco	favor'kor'ec'o
favorpreze	favor'prez'e
faza	faz'a
fazaj	faz'a'j
fazas	faz'as
fazo	faz'o
fazoj	faz'o'j
fazojn	faz'o'j'n
fazon	faz'o'n
fazado	faz'ad'o
fazodiagramo	faz'o'diagram'o
fazoŝanĝo	faz'o'ŝanĝ'o
faztransiro	faz'trans'ir'o
faztransiroj	faz'trans'ir'o'j
fazano	fazan'o
fazanoj	fazan'o'j
fazanedoj	fazan'ed'o'j
fazeolo	fazeol'o
fazeoloj	fazeol'o'j
fazeolojn	fazeol'o'j'n
fazeolon	fazeol'o'n
fea	fe'a
feo	fe'o
feoj	fe'o'j
feon	fe'o'n
feina	fe'in'a
feino	fe'in'o
feinoj	fe'in'o'j
feinojn	fe'in'o'j'n
feinon	fe'in'o'n
felando	fe'land'o
ferakonto	fe'rakont'o
febla	febl'a
feblaj	febl'a'j
feblan	febl'a'n
feble	febl'e
febleco	febl'ec'o
febra	febr'a
febraj	febr'a'j
febran	febr'a'n
febras	febr'as
febre	febr'e
febris	febr'is
febro	febr'o
febroj	febr'o'j
febron	febr'o'n
februara	februar'a
februaran	februar'a'n
februare	februar'e
februaro	februar'o
februaron	februar'o'n
feĉo	feĉ'o
feĉoj	feĉ'o'j
feĉon	feĉ'o'n
federa	feder'a
federisma	feder'ism'a
federismo	feder'ism'o
federitaj	feder'it'a'j
federacia	federaci'a
federaciaj	federaci'a'j
federaciajn	federaci'a'j'n
federacian	federaci'a'n
federacie	federaci'e
federacio	federaci'o
federacioj	federaci'o'j
federacion	federaci'o'n
federaciero	federaci'er'o
federaciismo	federaci'ism'o
federala	federal'a
federalaj	federal'a'j
federalan	federal'a'n
federalistoj	federal'ist'o'j
facebook	fejsbuk'o
facebookpaĝo	fejsbuk'paĝ'o
feka	fek'a
fekaj	fek'a'j
fekas	fek'as
feke	fek'e
feki	fek'i
fekis	fek'is
feko	fek'o
fekon	fek'o'n
fekado	fek'ad'o
fekaĵo	fek'aĵ'o
fekaĵoj	fek'aĵ'o'j
fekaĵojn	fek'aĵ'o'j'n
fekaĵon	fek'aĵ'o'n
fekete	fek'et'e
fekulo	fek'ul'o
fekulo	fekul'o
fekunda	fekund'a
fekundaj	fekund'a'j
fekundajn	fekund'a'j'n
fekundan	fekund'a'n
fekunde	fekund'e
fekundeco	fekund'ec'o
fekundecon	fekund'ec'o'n
fekundecoprocento	fekund'ec'o'procent'o
fekundigas	fekund'ig'as
fekundigo	fekund'ig'o
fekundigon	fekund'ig'o'n
fekundigita	fekund'ig'it'a
fekundiĝas	fekund'iĝ'as
fekundiĝo	fekund'iĝ'o
fela	fel'a
felo	fel'o
feloj	fel'o'j
felojn	fel'o'j'n
felon	fel'o'n
feldmarŝalo	feldmarŝal'o
feldspato	feldspat'o
felicha	feliĉ'a
feliĉa	feliĉ'a
feliĉaj	feliĉ'a'j
feliĉajn	feliĉ'a'j'n
feliĉan	feliĉ'a'n
feliĉas	feliĉ'as
feliche	feliĉ'e
feliĉe	feliĉ'e
feliĉi	feliĉ'i
feliĉis	feliĉ'is
felicho	feliĉ'o
feliĉo	feliĉ'o
feliĉon	feliĉ'o'n
feliĉos	feliĉ'os
feliĉu	feliĉ'u
feliĉus	feliĉ'us
feliĉaĵo	feliĉ'aĵ'o
feliĉeco	feliĉ'ec'o
feliĉecon	feliĉ'ec'o'n
feliĉega	feliĉ'eg'a
feliĉego	feliĉ'eg'o
feliĉiga	feliĉ'ig'a
feliĉigaj	feliĉ'ig'a'j
feliĉigan	feliĉ'ig'a'n
feliĉigas	feliĉ'ig'as
feliĉige	feliĉ'ig'e
feliĉigi	feliĉ'ig'i
feliĉigis	feliĉ'ig'is
feliĉigos	feliĉ'ig'os
feliĉigu	feliĉ'ig'u
feliĉigus	feliĉ'ig'us
feliĉiĝi	feliĉ'iĝ'i
feliĉiĝis	feliĉ'iĝ'is
feliĉulo	feliĉ'ul'o
feliĉuloj	feliĉ'ul'o'j
felietone	felieton'e
felietono	felieton'o
felietonoj	felieton'o'j
felikso	feliks'o
felisedoj	felis'ed'o'j
felta	felt'a
feltaj	felt'a'j
felto	felt'o
felton	felt'o'n
femala	femal'a
femalaj	femal'a'j
female	femal'e
femalo	femal'o
femaloj	femal'o'j
femalon	femal'o'n
femina	femin'a
feminaj	femin'a'j
feminisma	femin'ism'a
feminismaj	femin'ism'a'j
feminismajn	femin'ism'a'j'n
feminisman	femin'ism'a'n
feminismo	femin'ism'o
feminismon	femin'ism'o'n
feminista	femin'ist'a
feministo	femin'ist'o
feministoj	femin'ist'o'j
feministino	femin'ist'in'o
feministinoj	femin'ist'in'o'j
femuro	femur'o
femuroj	femur'o'j
femurojn	femur'o'j'n
femuron	femur'o'n
fenola	fen'ol'a
fenolaj	fen'ol'a'j
fenolo	fen'ol'o
fenoloj	fen'ol'o'j
fenda	fend'a
fendas	fend'as
fendi	fend'i
fendis	fend'is
fendo	fend'o
fendoj	fend'o'j
