vada	vad'a
valabioj	valabi'o'j
valadolido	valadolid'o
valaĥia	valaĥi'a
valaĥio	valaĥi'o
valaĥion	valaĥi'o'n
valanginiano	valanginian'o
valara	valar'a
valaro	valar'o
valaroj	valar'o'j
valarojn	valar'o'j'n
valburgo	valburg'o
valdo	vald'o
valdana	vald'an'a
valdanoj	vald'an'o'j
valdemaro	valdemar'o
valdragone	valdragon'e
valencia	valenci'a
valenciaj	valenci'a'j
valenciajn	valenci'a'j'n
valencian	valenci'a'n
valencio	valenci'o
valencion	valenci'o'n
valenciana	valenci'an'a
valenciano	valenci'an'o
valencianoj	valenci'an'o'j
valencilando	valenci'land'o
valenlago	valenlag'o
valenta	valent'a
valentaj	valent'a'j
valentajn	valent'a'j'n
valentan	valent'a'n
valente	valent'e
valento	valent'o
valentoj	valent'o'j
valentojn	valent'o'j'n
valenton	valent'o'n
valentecon	valent'ec'o'n
valentelektronoj	valent'elektron'o'j
valentelektronojn	valent'elektron'o'j'n
valentliga	valent'lig'a
valentligoj	valent'lig'o'j
valentogrupo	valent'o'grup'o
valentogrupoj	valent'o'grup'o'j
valentoliga	valent'o'lig'a
valentoligaj	valent'o'lig'a'j
valentoŝelo	valent'o'ŝel'o
valentena	valenten'a
valenteno	valenten'o
valentenon	valenten'o'n
valentina	valentin'a
valentinan	valentin'a'n
valentine	valentin'e
valentino	valentin'o
valentinanoj	valentin'an'o'j
valentinkarto	valentin'kart'o
valentiniano	valentinian'o
valenurbo	valenurb'o
valera	valer'a
valerata	valer'at'a
valerato	valer'at'o
valeria	valeri'a
valerio	valeri'o
valida	valid'a
validaj	valid'a'j
validajn	valid'a'j'n
validan	valid'a'n
validas	valid'as
valide	valid'e
validi	valid'i
validis	valid'is
valido	valid'o
validon	valid'o'n
validos	valid'os
validu	valid'u
validus	valid'us
validante	valid'ant'e
valideco	valid'ec'o
validecon	valid'ec'o'n
validigi	valid'ig'i
validigis	valid'ig'is
validigo	valid'ig'o
validumado	valid'um'ad'o
validumadon	valid'um'ad'o'n
valizo	valiz'o
valizoj	valiz'o'j
valizojn	valiz'o'j'n
valizon	valiz'o'n
valizeton	valiz'et'o'n
valmikio	valmiki'o
valona	valon'a
valonaj	valon'a'j
valonoj	valon'o'j
valonio	valon'i'o
valora	valor'a
valoraj	valor'a'j
valorajn	valor'a'j'n
valoran	valor'a'n
valoras	valor'as
valore	valor'e
valori	valor'i
valoris	valor'is
valoro	valor'o
valoroj	valor'o'j
valorojn	valor'o'j'n
valoron	valor'o'n
valoros	valor'os
valorus	valor'us
valoraĵo	valor'aĵ'o
valoraĵoj	valor'aĵ'o'j
valoraĵojn	valor'aĵ'o'j'n
valoraĵon	valor'aĵ'o'n
valorĉeno	valor'ĉen'o
valorega	valor'eg'a
valoregaj	valor'eg'a'j
valoregajn	valor'eg'a'j'n
valoregan	valor'eg'a'n
valorigas	valor'ig'as
valorigi	valor'ig'i
valorigo	valor'ig'o
valorjuĝoj	valor'juĝ'o'j
valormetalo	valor'metal'o
valormetaloj	valor'metal'o'j
valorpapera	valor'paper'a
valorpaperoj	valor'paper'o'j
valorpaperojn	valor'paper'o'j'n
valorsistemo	valor'sistem'o
valortakso	valor'taks'o
valortakson	valor'taks'o'n
valorizo	valoriz'o
valso	vals'o
valson	vals'o'n
valsita	vals'it'a
valuta	valut'a
valutaj	valut'a'j
valuto	valut'o
valutoj	valut'o'j
valutojn	valut'o'j'n
valuton	valut'o'n
valve	valv'e
valvo	valv'o
valvoj	valv'o'j
valvojn	valv'o'j'n
valvon	valv'o'n
vampiro	vampir'o
vampiroj	vampir'o'j
vana	van'a
vanaj	van'a'j
vanajn	van'a'j'n
vanan	van'a'n
vanas	van'as
vane	van'e
vanis	van'is
vanado	van'ad'o
vaneco	van'ec'o
vanecon	van'ec'o'n
vanigis	van'ig'is
vanado	vanad'o
vanda	vand'a
vando	vand'o
vandoj	vand'o'j
vandojn	vand'o'j'n
vandon	vand'o'n
vandalo	vandal'o
vandaloj	vandal'o'j
vandalaĵoj	vandal'aĵ'o'j
vandaligita	vandal'ig'it'a
vandalismo	vandal'ism'o
vandalismon	vandal'ism'o'n
vanga	vang'a
vango	vang'o
vangoj	vang'o'j
vangojn	vang'o'j'n
vangon	vang'o'n
vangharoj	vang'har'o'j
vangofrapas	vang'o'frap'as
vangofrapis	vang'o'frap'is
vangofrapo	vang'o'frap'o
vangofrapon	vang'o'frap'o'n
vangostoj	vang'ost'o'j
vanila	vanil'a
vanilan	vanil'a'n
vanilo	vanil'o
vanilino	vanilin'o
vankuvera	vankuver'a
vankuvero	vankuver'o
vanta	vant'a
vantaj	vant'a'j
vantajn	vant'a'j'n
vantan	vant'a'n
vantas	vant'as
vante	vant'e
vanto	vant'o
vantaĵo	vant'aĵ'o
vantaĵoj	vant'aĵ'o'j
vanteco	vant'ec'o
vantecon	vant'ec'o'n
vantemo	vant'em'o
vanuis	vanu'is
vanuatuo	vanuatu'o
vapora	vapor'a
vaporaj	vapor'a'j
vaporas	vapor'as
vapori	vapor'i
vaporis	vapor'is
vaporo	vapor'o
vaporoj	vapor'o'j
vaporojn	vapor'o'j'n
vaporon	vapor'o'n
vaporado	vapor'ad'o
vaporanta	vapor'ant'a
vapordemetado	vapor'de'met'ad'o
vaporforto	vapor'fort'o
vaporigas	vapor'ig'as
vaporigi	vapor'ig'i
vaporigo	vapor'ig'o
vaporigilo	vapor'ig'il'o
vaporigita	vapor'ig'it'a
vaporigitaj	vapor'ig'it'a'j
vaporiĝas	vapor'iĝ'as
vaporiĝi	vapor'iĝ'i
vaporiĝis	vapor'iĝ'is
vaporiĝo	vapor'iĝ'o
vaporiĝon	vapor'iĝ'o'n
vaporiĝema	vapor'iĝ'em'a
vaporiĝemaj	vapor'iĝ'em'a'j
vaporita	vapor'it'a
vaporitaj	vapor'it'a'j
vaporkaldrono	vapor'kaldron'o
vaporkaldronoj	vapor'kaldron'o'j
vaporlokomotivo	vapor'lokomotiv'o
vaporlokomotivoj	vapor'lokomotiv'o'j
vapormaŝino	vapor'maŝin'o
vapormaŝinoj	vapor'maŝin'o'j
vaporpremo	vapor'prem'o
vaporpremon	vapor'prem'o'n
vaporŝipo	vapor'ŝip'o
vaporŝipoj	vapor'ŝip'o'j
vaporŝipon	vapor'ŝip'o'n
vaporturbino	vapor'turbin'o
vaporturbinoj	vapor'turbin'o'j
vaporumas	vapor'um'as
vaporumita	vapor'um'it'a
vara	var'a
varo	var'o
varoj	var'o'j
varojn	var'o'j'n
varon	var'o'n
varmarko	var'mark'o
varmarkoj	var'mark'o'j
varmarkon	var'mark'o'n
varmarkita	var'mark'it'a
varomarko	var'o'mark'o
varprezoj	var'prez'o'j
varano	varan'o
varanasio	varanasi'o
varba	varb'a
varbaj	varb'a'j
varbajn	varb'a'j'n
varban	varb'a'n
varbas	varb'as
varbi	varb'i
varbis	varb'is
varbo	varb'o
varbu	varb'u
varbado	varb'ad'o
varbadon	varb'ad'o'n
varbante	varb'ant'e
varbilo	varb'il'o
varbiloj	varb'il'o'j
varbistoj	varb'ist'o'j
varbita	varb'it'a
varbitaj	varb'it'a'j
varbitoj	varb'it'o'j
varfo	varf'o
varfon	varf'o'n
varia	vari'a
variaj	vari'a'j
variajn	vari'a'j'n
varian	vari'a'n
varias	vari'as
varie	vari'e
varii	vari'i
variis	vari'is
vario	vari'o
varioj	vari'o'j
variojn	vari'o'j'n
varion	vari'o'n
varios	vari'os
varius	vari'us
variadas	vari'ad'as
variadi	vari'ad'i
variadis	vari'ad'is
variado	vari'ad'o
variadoj	vari'ad'o'j
variadojn	vari'ad'o'j'n
variadon	vari'ad'o'n
variaĵo	vari'aĵ'o
variaĵoj	vari'aĵ'o'j
variaĵojn	vari'aĵ'o'j'n
variaĵon	vari'aĵ'o'n
varieco	vari'ec'o
variecon	vari'ec'o'n
variema	vari'em'a
variigas	vari'ig'as
variigi	vari'ig'i
variigis	vari'ig'is
variigado	vari'ig'ad'o
variigante	vari'ig'ant'e
variigita	vari'ig'it'a
variigitaj	vari'ig'it'a'j
variablo	variabl'o
variabloj	variabl'o'j
variablojn	variabl'o'j'n
variablon	variabl'o'n
varianco	varianc'o
variancoj	varianc'o'j
variancon	varianc'o'n
varianta	variant'a
variantaj	variant'a'j
variantajn	variant'a'j'n
variante	variant'e
varianto	variant'o
variantoj	variant'o'j
variantojn	variant'o'j'n
varianton	variant'o'n
varicelo	varicel'o
varieteo	variete'o
variolo	variol'o
variolon	variol'o'n
varleto	varlet'o
varma	varm'a
varmaj	varm'a'j
varmajn	varm'a'j'n
varman	varm'a'n
varmas	varm'as
varme	varm'e
varmis	varm'is
varmo	varm'o
varmoj	varm'o'j
varmon	varm'o'n
varmos	varm'os
varmaerbalonoj	varm'aer'balon'o'j
varmakva	varm'akv'a
varmeca	varm'ec'a
varmeco	varm'ec'o
varmecon	varm'ec'o'n
varmeckapacito	varm'ec'kapacit'o
varmeclavujo	varm'ec'lav'uj'o
varmecotraktado	varm'ec'o'trakt'ad'o
varmega	varm'eg'a
varmegaj	varm'eg'a'j
varmegajn	varm'eg'a'j'n
varmegan	varm'eg'a'n
varmegas	varm'eg'as
varmege	varm'eg'e
varmegis	varm'eg'is
varmego	varm'eg'o
varmegon	varm'eg'o'n
varmenergio	varm'energi'o
varmenergion	varm'energi'o'n
varmeta	varm'et'a
varmetaj	varm'et'a'j
varmetan	varm'et'a'n
varmete	varm'et'e
varmiga	varm'ig'a
varmigaj	varm'ig'a'j
varmigan	varm'ig'a'n
varmigas	varm'ig'as
varmigi	varm'ig'i
varmigis	varm'ig'is
varmigo	varm'ig'o
varmigos	varm'ig'os
varmigu	varm'ig'u
varmigado	varm'ig'ad'o
varmiganta	varm'ig'ant'a
varmigante	varm'ig'ant'e
varmigata	varm'ig'at'a
varmigataj	varm'ig'at'a'j
varmigilo	varm'ig'il'o
varmigita	varm'ig'it'a
varmigitaj	varm'ig'it'a'j
varmigitan	varm'ig'it'a'n
varmigite	varm'ig'it'e
varmiĝas	varm'iĝ'as
varmiĝi	varm'iĝ'i
varmiĝis	varm'iĝ'is
varmiĝo	varm'iĝ'o
varmiĝon	varm'iĝ'o'n
varmiĝos	varm'iĝ'os
varmkora	varm'kor'a
varmofluo	varm'o'flu'o
varmofluon	varm'o'flu'o'n
varmofonto	varm'o'font'o
varmointerŝanĝilo	varm'o'inter'ŝanĝ'il'o
varmointerŝanĝiloj	varm'o'inter'ŝanĝ'il'o'j
varmointerŝanĝilon	varm'o'inter'ŝanĝ'il'o'n
varmokondukteco	varm'o'kondukt'ec'o
varmokonduktecon	varm'o'kondukt'ec'o'n
varmoperdo	varm'o'perd'o
varmoperdon	varm'o'perd'o'n
varmoproduktado	varm'o'produkt'ad'o
varmopumpilo	varm'o'pump'il'o
varmopumpiloj	varm'o'pump'il'o'j
varmotransigo	varm'o'trans'ig'o
varmotransigon	varm'o'trans'ig'o'n
varmondoj	varm'ond'o'j
varmsangaj	varm'sang'a'j
varpo	varp'o
varpoj	varp'o'j
varsovia	varsovi'a
varsoviaj	varsovi'a'j
varsovian	varsovi'a'n
varsovio	varsovi'o
varsovion	varsovi'o'n
varsovianoj	varsovi'an'o'j
vartas	vart'as
varti	vart'i
vartis	vart'is
vartos	vart'os
vartu	vart'u
vartado	vart'ad'o
vartadon	vart'ad'o'n
vartejo	vart'ej'o
vartisto	vart'ist'o
vartistino	vart'ist'in'o
vartistinoj	vart'ist'in'o'j
vartistinon	vart'ist'in'o'n
vasalo	vasal'o
vasaloj	vasal'o'j
vasalojn	vasal'o'j'n
vasaleco	vasal'ec'o
vaŝintono	vaŝinton'o
vaska	vask'a
vaskaj	vask'a'j
vasko	vask'o
vaskula	vaskul'a
vaskulaj	vaskul'a'j
vaskulo	vaskul'o
vaskuloj	vaskul'o'j
vaskulojn	vaskul'o'j'n
vasta	vast'a
vastaj	vast'a'j
vastajn	vast'a'j'n
vastan	vast'a'n
vastas	vast'as
vaste	vast'e
vasto	vast'o
vastaĵo	vast'aĵ'o
vastaĵoj	vast'aĵ'o'j
vastaĵon	vast'aĵ'o'n
vasteco	vast'ec'o
vastecon	vast'ec'o'n
vastega	vast'eg'a
vastegaj	vast'eg'a'j
vastegan	vast'eg'a'n
vastiga	vast'ig'a
vastigaj	vast'ig'a'j
vastigas	vast'ig'as
vastigi	vast'ig'i
vastigis	vast'ig'is
vastigo	vast'ig'o
vastigon	vast'ig'o'n
vastigos	vast'ig'os
vastigu	vast'ig'u
vastigado	vast'ig'ad'o
vastigaĵo	vast'ig'aĵ'o
vastiganta	vast'ig'ant'a
vastigante	vast'ig'ant'e
vastigita	vast'ig'it'a
vastigitaj	vast'ig'it'a'j
vastigitan	vast'ig'it'a'n
vastigite	vast'ig'it'e
vastiĝas	vast'iĝ'as
vastiĝis	vast'iĝ'is
vastiĝo	vast'iĝ'o
vastiĝoj	vast'iĝ'o'j
vastiĝon	vast'iĝ'o'n
vastiĝos	vast'iĝ'os
vastiĝanta	vast'iĝ'ant'a
vata	vat'a
vato	vat'o
vatoj	vat'o'j
vaton	vat'o'n
vatita	vat'it'a
vatitaj	vat'it'a'j
vatitan	vat'it'a'n
vatikana	vatikan'a
vatikanaj	vatikan'a'j
vatikanan	vatikan'a'n
vatikano	vatikan'o
vatikanon	vatikan'o'n
vatikanurbo	vatikan'urb'o
vazo	vaz'o
vazoj	vaz'o'j
vazojn	vaz'o'j'n
vazon	vaz'o'n
vazaro	vaz'ar'o
vazaron	vaz'ar'o'n
vazlavilo	vaz'lav'il'o
vazlaviloj	vaz'lav'il'o'j
ve	ve
vea	ve'a
veas	ve'as
vee	ve'e
vei	ve'i
veis	ve'is
veo	ve'o
veoj	ve'o'j
veado	ve'ad'o
veante	ve'ant'e
vekriado	ve'kri'ad'o
vespiris	ve'spir'is
vebero	veber'o
veda	ved'a
vedaj	ved'a'j
vedajn	ved'a'j'n
vedan	ved'a'n
vedoj	ved'o'j
vedanto	vedant'o
vefto	veft'o
veftoj	veft'o'j
vegana	vegan'a
veganaj	vegan'a'j
vegano	vegan'o
veganoj	vegan'o'j
veganismo	vegan'ism'o
veganistoj	vegan'ist'o'j
vegeta	veget'a
vegetas	veget'as
vegeti	veget'i
vegetado	veget'ad'o
vegetaĵa	veget'aĵ'a
vegetaĵaj	veget'aĵ'a'j
vegetaĵo	veget'aĵ'o
vegetaĵoj	veget'aĵ'o'j
vegetaĵojn	veget'aĵ'o'j'n
vegetaĵaraj	veget'aĵ'ar'a'j
vegetaĵaro	veget'aĵ'ar'o
vegetaĵaron	veget'aĵ'ar'o'n
vegetala	vegetal'a
vegetalaj	vegetal'a'j
vegetalajn	vegetal'a'j'n
vegetalan	vegetal'a'n
vegetalo	vegetal'o
vegetaloj	vegetal'o'j
vegetalojn	vegetal'o'j'n
vegetalaro	vegetal'ar'o
vegetara	vegetar'a
vegetaraj	vegetar'a'j
vegetarajn	vegetar'a'j'n
vegetaran	vegetar'a'n
vegetarana	vegetar'an'a
vegetarano	vegetar'an'o
vegetaranoj	vegetar'an'o'j
vegetaranojn	vegetar'an'o'j'n
vegetarismo	vegetar'ism'o
vegetarismon	vegetar'ism'o'n
vejna	vejn'a
vejnaj	vejn'a'j
vejnan	vejn'a'n
vejno	vejn'o
vejnoj	vejn'o'j
vejnojn	vejn'o'j'n
vejnon	vejn'o'n
vejnetoj	vejn'et'o'j
vejnpordetoj	vejn'pord'et'o'j
veka	vek'a
vekaj	vek'a'j
vekas	vek'as
veki	vek'i
vekis	vek'is
veko	vek'o
vekos	vek'os
veku	vek'u
vekus	vek'us
vekado	vek'ad'o
vekanta	vek'ant'a
vekante	vek'ant'e
vekhorloĝo	vek'horloĝ'o
vekhorloĝon	vek'horloĝ'o'n
vekigi	vek'ig'i
vekigis	vek'ig'is
vekiĝas	vek'iĝ'as
vekiĝi	vek'iĝ'i
vekiĝis	vek'iĝ'is
vekiĝo	vek'iĝ'o
vekiĝon	vek'iĝ'o'n
vekiĝos	vek'iĝ'os
vekiĝu	vek'iĝ'u
vekiĝus	vek'iĝ'us
vekiĝanta	vek'iĝ'ant'a
vekiĝante	vek'iĝ'ant'e
vekiĝinta	vek'iĝ'int'a
vekiĝinte	vek'iĝ'int'e
vekilo	vek'il'o
vekita	vek'it'a
vekitaj	vek'it'a'j
veksignalo	vek'signal'o
vekto	vekt'o
vektora	vektor'a
vektoraj	vektor'a'j
vektoran	vektor'a'n
vektoro	vektor'o
vektoroj	vektor'o'j
vektorojn	vektor'o'j'n
vektoron	vektor'o'n
vela	vel'a
velas	vel'as
veli	vel'i
velis	vel'is
velo	vel'o
veloj	vel'o'j
velojn	vel'o'j'n
velon	vel'o'n
velado	vel'ad'o
velara	vel'ar'a
velaraj	vel'ar'a'j
velaro	vel'ar'o
velaroj	vel'ar'o'j
velboato	vel'boat'o
velboatoj	vel'boat'o'j
velisto	vel'ist'o
velŝipo	vel'ŝip'o
velŝipoj	vel'ŝip'o'j
velstango	vel'stang'o
velda	veld'a
veldas	veld'as
veldi	veld'i
veldis	veld'is
veldo	veld'o
veldado	veld'ad'o
veldisto	veld'ist'o
veldistoj	veld'ist'o'j
veldita	veld'it'a
velditaj	veld'it'a'j
velka	velk'a
velkaj	velk'a'j
velkas	velk'as
velke	velk'e
velki	velk'i
velkis	velk'is
velko	velk'o
velkos	velk'os
velkanta	velk'ant'a
velkinta	velk'int'a
velkintaj	velk'int'a'j
velura	velur'a
veluraj	velur'a'j
veluran	velur'a'n
veluro	velur'o
vena	ven'a
venas	ven'as
veni	ven'i
venis	ven'is
veno	ven'o
venon	ven'o'n
venos	ven'os
venu	ven'u
venadas	ven'ad'as
venadi	ven'ad'i
venadis	ven'ad'is
