ebena	eben'a
edziniĝon	edz'in'iĝ'o'n
edziniĝos	edz'in'iĝ'os
edziniĝu	edz'in'iĝ'u
edziniĝus	edz'in'iĝ'us
edziniĝinta	edz'in'iĝ'int'a
edziniĝintaj	edz'in'iĝ'int'a'j
edziniĝonta	edz'in'iĝ'ont'a
edzviroj	edz'vir'o'j
efekta	efekt'a
efektas	efekt'as
efektis	efekt'is
efekto	efekt'o
efektoj	efekt'o'j
efektojn	efekt'o'j'n
efekton	efekt'o'n
efektiva	efektiv'a
efektivaj	efektiv'a'j
efektivajn	efektiv'a'j'n
efektivan	efektiv'a'n
efektive	efektiv'e
efektivo	efektiv'o
efektiveco	efektiv'ec'o
efektiviga	efektiv'ig'a
efektivigas	efektiv'ig'as
efektivigi	efektiv'ig'i
efektivigis	efektiv'ig'is
efektivigo	efektiv'ig'o
efektivigoj	efektiv'ig'o'j
efektivigojn	efektiv'ig'o'j'n
efektivigon	efektiv'ig'o'n
efektivigos	efektiv'ig'os
efektivigu	efektiv'ig'u
efektivigus	efektiv'ig'us
efektivigado	efektiv'ig'ad'o
efektiviganta	efektiv'ig'ant'a
efektivigantaj	efektiv'ig'ant'a'j
efektivigante	efektiv'ig'ant'e
efektivigata	efektiv'ig'at'a
efektivigebla	efektiv'ig'ebl'a
efektivigeblaj	efektiv'ig'ebl'a'j
efektivigeblan	efektiv'ig'ebl'a'n
efektivigita	efektiv'ig'it'a
efektivigitaj	efektiv'ig'it'a'j
efektivigitajn	efektiv'ig'it'a'j'n
efektivigitan	efektiv'ig'it'a'n
efektivigite	efektiv'ig'it'e
efektiviĝas	efektiv'iĝ'as
efektiviĝi	efektiv'iĝ'i
efektiviĝis	efektiv'iĝ'is
efektiviĝo	efektiv'iĝ'o
efektiviĝon	efektiv'iĝ'o'n
efektiviĝos	efektiv'iĝ'os
efektiviĝu	efektiv'iĝ'u
efektiviĝus	efektiv'iĝ'us
efemera	efemer'a
efemeraj	efemer'a'j
efemeran	efemer'a'n
efemero	efemer'o
efezo	efez'o
efika	efik'a
efikaj	efik'a'j
efikajn	efik'a'j'n
efikan	efik'a'n
efikas	efik'as
efike	efik'e
efiki	efik'i
efikis	efik'is
efiko	efik'o
efikoj	efik'o'j
efikojn	efik'o'j'n
efikon	efik'o'n
efikos	efik'os
efiku	efik'u
efikus	efik'us
efikanta	efik'ant'a
efikeco	efik'ec'o
efikecoj	efik'ec'o'j
efikecojn	efik'ec'o'j'n
efikecon	efik'ec'o'n
efikigi	efik'ig'i
efikograndeco	efik'o'grand'ec'o
ega	eg'a
egaj	eg'a'j
egajn	eg'a'j'n
egan	eg'a'n
ege	eg'e
ego	eg'o
egon	eg'o'n
eĝaj	eĝ'a'j
eĝo	eĝ'o
eĝoj	eĝ'o'j
eĝojn	eĝ'o'j'n
eĝon	eĝ'o'n
egala	egal'a
egalaj	egal'a'j
egalajn	egal'a'j'n
egalan	egal'a'n
egalas	egal'as
egale	egal'e
egali	egal'i
egalis	egal'is
egalos	egal'os
egalu	egal'u
egalus	egal'us
egalado	egal'ad'o
egalanima	egal'anim'a
egalanta	egal'ant'a
egalante	egal'ant'e
egaleca	egal'ec'a
egalecaj	egal'ec'a'j
egalecan	egal'ec'a'n
egalece	egal'ec'e
egaleco	egal'ec'o
egalecon	egal'ec'o'n
egaligas	egal'ig'as
egaligi	egal'ig'i
egaligis	egal'ig'is
egaligo	egal'ig'o
egaligita	egal'ig'it'a
egaligitaj	egal'ig'it'a'j
egaliĝi	egal'iĝ'i
egalisma	egal'ism'a
egalita	egal'it'a
egalitaj	egal'it'a'j
egallatera	egal'later'a
egalmezura	egal'mezur'a
egalmezure	egal'mezur'e
egalpezo	egal'pez'o
egalrajta	egal'rajt'a
egalrajtaj	egal'rajt'a'j
egalrajtan	egal'rajt'a'n
egalrajte	egal'rajt'e
egalrajteca	egal'rajt'ec'a
egalrajtecaj	egal'rajt'ec'a'j
egalrajteco	egal'rajt'ec'o
egalrajtecon	egal'rajt'ec'o'n
egalrajtigojn	egal'rajt'ig'o'j'n
egalrilatas	egal'rilat'as
egalrilati	egal'rilat'i
egalrilatis	egal'rilat'is
egalrilatanta	egal'rilat'ant'a
egalrilatantaj	egal'rilat'ant'a'j
egalrilatantajn	egal'rilat'ant'a'j'n
egalrilatante	egal'rilat'ant'e
egalulo	egal'ul'o
egaluloj	egal'ul'o'j
egalulojn	egal'ul'o'j'n
egalulon	egal'ul'o'n
egalvalora	egal'valor'a
egalvaloraj	egal'valor'a'j
egalvaloras	egal'valor'as
egea	ege'a
egeaj	ege'a'j
egeo	ege'o
egido	egid'o
egipta	egipt'a
egiptaj	egipt'a'j
egiptajn	egipt'a'j'n
egiptan	egipt'a'n
egipto	egipt'o
egiptoj	egipt'o'j
egiptojn	egipt'o'j'n
egipton	egipt'o'n
egiptanoj	egipt'an'o'j
egiptia	egipt'i'a
egiptiaj	egipt'i'a'j
egiptio	egipt'i'o
egiption	egipt'i'o'n
egiptologoj	egipt'olog'o'j
egiptologio	egipt'olog'i'o
egiptujo	egipt'uj'o
egiptujon	egipt'uj'o'n
egisto	egist'o
egoo	ego'o
egoon	ego'o'n
egocentra	ego'centr'a
egoisma	ego'ism'a
egoismaj	ego'ism'a'j
egoismajn	ego'ism'a'j'n
egoisme	ego'ism'e
egoismo	ego'ism'o
egoismon	ego'ism'o'n
egoista	ego'ist'a
egoistaj	ego'ist'a'j
egoisto	ego'ist'o
egoistoj	ego'ist'o'j
egreto	egret'o
eĥas	eĥ'as
eĥi	eĥ'i
eĥis	eĥ'is
eĥo	eĥ'o
eĥoj	eĥ'o'j
eĥojn	eĥ'o'j'n
eĥon	eĥ'o'n
eĥigas	eĥ'ig'as
eĥolokigo	eĥ'o'lok'ig'o
eĥino	eĥin'o
eĥinoj	eĥin'o'j
ejo	ej'o
ejoj	ej'o'j
ejojn	ej'o'j'n
ejon	ej'o'n
ejakulas	ejakul'as
ejakuli	ejakul'i
ejakulo	ejakul'o
ejakuloj	ejakul'o'j
ejakulado	ejakul'ad'o
ejfelo	ejfel'o
ejfelturo	ejfel'tur'o
ejnŝtejno	ejnŝtejn'o
eka	ek'a
ekas	ek'as
ekde	ek'de
eke	ek'e
eki	ek'i
ekis	ek'is
eko	ek'o
ekon	ek'o'n
ekos	ek'os
eku	ek'u
ekagas	ek'ag'as
ekagi	ek'ag'i
ekagis	ek'ag'is
ekagos	ek'ag'os
ekagu	ek'ag'u
ekaktivis	ek'aktiv'is
ekamas	ek'am'as
ekami	ek'am'i
ekamis	ek'am'is
ekamos	ek'am'os
ekamu	ek'am'u
ekaperas	ek'aper'as
ekaperi	ek'aper'i
ekaperis	ek'aper'is
ekapero	ek'aper'o
ekaperoj	ek'aper'o'j
ekaperojn	ek'aper'o'j'n
ekaperon	ek'aper'o'n
ekaperos	ek'aper'os
ekaperu	ek'aper'u
ekaperus	ek'aper'us
ekaperado	ek'aper'ad'o
ekaperanta	ek'aper'ant'a
ekaperantaj	ek'aper'ant'a'j
ekaperante	ek'aper'ant'e
ekaplaŭdis	ek'aplaŭd'is
ekardis	ek'ard'is
ekaspektis	ek'aspekt'is
ekatakis	ek'atak'is
ekatentis	ek'atent'is
ekaŭdas	ek'aŭd'as
ekaŭdi	ek'aŭd'i
ekaŭdis	ek'aŭd'is
ekaŭdos	ek'aŭd'os
ekaŭdiĝis	ek'aŭd'iĝ'is
ekbabilis	ek'babil'is
ekbalancis	ek'balanc'is
ekbati	ek'bat'i
ekbatis	ek'bat'is
ekbatali	ek'batal'i
ekbatalis	ek'batal'is
ekblekis	ek'blek'is
ekblovis	ek'blov'is
ekblovo	ek'blov'o
ekbojis	ek'boj'is
ekbolis	ek'bol'is
ekbrilas	ek'bril'as
ekbrilis	ek'bril'is
ekbrilo	ek'bril'o
ekbriloj	ek'bril'o'j
ekbrilojn	ek'bril'o'j'n
ekbrilon	ek'bril'o'n
ekbrilos	ek'bril'os
ekbruis	ek'bru'is
ekbrulas	ek'brul'as
ekbruli	ek'brul'i
ekbrulis	ek'brul'is
ekbrulo	ek'brul'o
ekbruligas	ek'brul'ig'as
ekbruligi	ek'brul'ig'i
ekbruligis	ek'brul'ig'is
ekbruligo	ek'brul'ig'o
ekbruligos	ek'brul'ig'os
ekbruligu	ek'brul'ig'u
ekbruligante	ek'brul'ig'ant'e
ekbruligita	ek'brul'ig'it'a
ekbruligitaj	ek'brul'ig'it'a'j
ekbruligite	ek'brul'ig'it'e
ekcelis	ek'cel'is
ekĉesis	ek'ĉes'is
ekdancas	ek'danc'as
ekdancis	ek'danc'is
ekdemandis	ek'demand'is
ekdeziris	ek'dezir'is
ekdeziros	ek'dezir'os
ekdiris	ek'dir'is
ekdisputis	ek'disput'is
ekdoloris	ek'dolor'is
ekdormas	ek'dorm'as
ekdormi	ek'dorm'i
ekdormis	ek'dorm'is
ekdormos	ek'dorm'os
ekdormu	ek'dorm'u
ekdormetis	ek'dorm'et'is
ekdubas	ek'dub'as
ekdubis	ek'dub'is
ekekzistis	ek'ekzist'is
ekemis	ek'em'is
ekenuis	ek'enu'is
ekepizodo	ek'epizod'o
ekestas	ek'est'as
ekesti	ek'est'i
ekestis	ek'est'is
ekesto	ek'est'o
ekestoj	ek'est'o'j
ekestojn	ek'est'o'j'n
ekeston	ek'est'o'n
ekestos	ek'est'os
ekestu	ek'est'u
ekestus	ek'est'us
ekestanta	ek'est'ant'a
ekestantaj	ek'est'ant'a'j
ekestantajn	ek'est'ant'a'j'n
ekestante	ek'est'ant'e
ekestiĝas	ek'est'iĝ'as
ekestiĝi	ek'est'iĝ'i
ekestiĝis	ek'est'iĝ'is
ekestiĝanta	ek'est'iĝ'ant'a
ekestiĝantaj	ek'est'iĝ'ant'a'j
ekestiĝante	ek'est'iĝ'ant'e
ekestinta	ek'est'int'a
ekestintaj	ek'est'int'a'j
ekfajfis	ek'fajf'is
ekfalis	ek'fal'is
ekfaras	ek'far'as
ekfari	ek'far'i
ekfaris	ek'far'is
ekfirmaoj	ek'firma'o'j
ekflagris	ek'flagr'is
ekflama	ek'flam'a
ekflamas	ek'flam'as
ekflami	ek'flam'i
ekflamis	ek'flam'is
ekflamigas	ek'flam'ig'as
ekflamigi	ek'flam'ig'i
ekflamigis	ek'flam'ig'is
ekflamigos	ek'flam'ig'os
ekflamiĝis	ek'flam'iĝ'is
ekflaras	ek'flar'as
ekflaris	ek'flar'is
ekfloras	ek'flor'as
ekflori	ek'flor'i
ekfloris	ek'flor'is
ekfloro	ek'flor'o
ekfloros	ek'flor'os
ekflorado	ek'flor'ad'o
ekfluas	ek'flu'as
ekfluis	ek'flu'is
ekflugas	ek'flug'as
ekflugi	ek'flug'i
ekflugis	ek'flug'is
ekflugo	ek'flug'o
ekflugon	ek'flug'o'n
ekflugos	ek'flug'os
ekflustris	ek'flustr'is
ekforiris	ek'for'ir'is
ekfrapas	ek'frap'as
ekfrapis	ek'frap'is
ekfrapo	ek'frap'o
ekfrotis	ek'frot'is
ekfuĝis	ek'fuĝ'is
ekfulmis	ek'fulm'is
ekfumis	ek'fum'is
ekfunkcias	ek'funkci'as
ekfunkcii	ek'funkci'i
ekfunkciis	ek'funkci'is
ekfunkcios	ek'funkci'os
ekfunkciigas	ek'funkci'ig'as
ekfunkciigi	ek'funkci'ig'i
ekfunkciigis	ek'funkci'ig'is
ekfunkciigo	ek'funkci'ig'o
ekfunkciigita	ek'funkci'ig'it'a
ekfuriozis	ek'furioz'is
ekgalopis	ek'galop'is
ekĝemis	ek'ĝem'is
ekgenuis	ek'genu'is
ekĝermas	ek'ĝerm'as
ekĝermis	ek'ĝerm'is
ekglitis	ek'glit'is
ekĝojis	ek'ĝoj'is
ekĝuis	ek'ĝu'is
ekgvidis	ek'gvid'is
ekhaltas	ek'halt'as
ekhalti	ek'halt'i
ekhaltis	ek'halt'is
ekhaltita	ek'halt'it'a
ekhastis	ek'hast'is
ekhavas	ek'hav'as
ekhavi	ek'hav'i
ekhavis	ek'hav'is
ekhavo	ek'hav'o
ekhavos	ek'hav'os
ekhavu	ek'hav'u
ekhavus	ek'hav'us
ekhavado	ek'hav'ad'o
ekhavante	ek'hav'ant'e
ekhavita	ek'hav'it'a
ekhavitaj	ek'hav'it'a'j
ekhontis	ek'hont'is
ekhurlis	ek'hurl'is
ekigas	ek'ig'as
ekigi	ek'ig'i
ekigis	ek'ig'is
ekigo	ek'ig'o
ekigos	ek'ig'os
ekigado	ek'ig'ad'o
ekiganta	ek'ig'ant'a
ekigante	ek'ig'ant'e
ekigita	ek'ig'it'a
ekigitaj	ek'ig'it'a'j
ekiĝas	ek'iĝ'as
ekiĝis	ek'iĝ'is
ekiĝo	ek'iĝ'o
ekinstruis	ek'instru'is
ekinsultis	ek'insult'is
ekinteresis	ek'interes'is
ekinteresiĝas	ek'interes'iĝ'as
ekinteresiĝis	ek'interes'iĝ'is
ekiras	ek'ir'as
ekiri	ek'ir'i
ekiris	ek'ir'is
ekiro	ek'ir'o
ekiron	ek'ir'o'n
ekiros	ek'ir'os
ekiru	ek'ir'u
ekirante	ek'ir'ant'e
ekironta	ek'ir'ont'a
ekkantas	ek'kant'as
ekkantis	ek'kant'is
ekkaptas	ek'kapt'as
ekkapti	ek'kapt'i
ekkaptis	ek'kapt'is
ekkaptu	ek'kapt'u
ekkaptita	ek'kapt'it'a
ekkarieris	ek'karier'is
ekkaŭris	ek'kaŭr'is
ekkaŭzis	ek'kaŭz'is
ekkisis	ek'kis'is
ekknaris	ek'knar'is
ekkoleras	ek'koler'as
ekkoleris	ek'koler'is
ekkolerema	ek'koler'em'a
ekkomencas	ek'komenc'as
ekkomencis	ek'komenc'is
ekkomenciĝis	ek'komenc'iĝ'is
ekkompatis	ek'kompat'is
ekkomprenas	ek'kompren'as
ekkompreni	ek'kompren'i
ekkomprenis	ek'kompren'is
ekkompreno	ek'kompren'o
ekkomprenos	ek'kompren'os
ekkomprenus	ek'kompren'us
ekkomprenado	ek'kompren'ad'o
ekkomprenante	ek'kompren'ant'e
ekkomprenite	ek'kompren'it'e
ekkonas	ek'kon'as
ekkoni	ek'kon'i
ekkonis	ek'kon'is
ekkono	ek'kon'o
ekkonoj	ek'kon'o'j
ekkonojn	ek'kon'o'j'n
ekkonon	ek'kon'o'n
ekkonos	ek'kon'os
ekkonu	ek'kon'u
ekkonus	ek'kon'us
ekkonatiĝis	ek'kon'at'iĝ'is
ekkonebla	ek'kon'ebl'a
ekkoninta	ek'kon'int'a
ekkoninte	ek'kon'int'e
ekkondukis	ek'konduk'is
ekkonscias	ek'konsci'as
ekkonscii	ek'konsci'i
ekkonsciis	ek'konsci'is
ekkonscios	ek'konsci'os
ekkonsentis	ek'konsent'is
ekkonsideris	ek'konsider'is
ekkonstrui	ek'konstru'i
ekkonstruis	ek'konstru'is
ekkontaktis	ek'kontakt'is
ekkontrolis	ek'kontrol'is
ekkrakis	ek'krak'is
ekkredas	ek'kred'as
ekkredi	ek'kred'i
ekkredis	ek'kred'is
ekkreskas	ek'kresk'as
ekkreskis	ek'kresk'is
ekkria	ek'kri'a
ekkriaj	ek'kri'a'j
ekkrias	ek'kri'as
ekkrii	ek'kri'i
ekkriis	ek'kri'is
ekkrio	ek'kri'o
ekkrioj	ek'kri'o'j
ekkriojn	ek'kri'o'j'n
ekkrion	ek'kri'o'n
ekkrios	ek'kri'os
ekkriante	ek'kri'ant'e
ekkriegis	ek'kri'eg'is
ekkunlaboris	ek'kun'labor'is
ekkuras	ek'kur'as
ekkuris	ek'kur'is
ekkuregis	ek'kur'eg'is
ekkuŝas	ek'kuŝ'as
ekkuŝi	ek'kuŝ'i
ekkuŝis	ek'kuŝ'is
ekkuŝu	ek'kuŝ'u
ekkverelis	ek'kverel'is
eklaboras	ek'labor'as
eklabori	ek'labor'i
eklaboris	ek'labor'is
eklaboro	ek'labor'o
eklaboros	ek'labor'os
eklaboru	ek'labor'u
eklarmis	ek'larm'is
eklegi	ek'leg'i
eklegis	ek'leg'is
eklernas	ek'lern'as
eklerni	ek'lern'i
eklernis	ek'lern'is
eklernos	ek'lern'os
eklevis	ek'lev'is
ekleviĝis	ek'lev'iĝ'is
ekloĝas	ek'loĝ'as
ekloĝi	ek'loĝ'i
ekloĝis	ek'loĝ'is
ekloĝo	ek'loĝ'o
ekloĝos	ek'loĝ'os
ekloĝado	ek'loĝ'ad'o
ekludas	ek'lud'as
ekludis	ek'lud'is
eklumas	ek'lum'as
eklumis	ek'lum'is
eklumigis	ek'lum'ig'is
ekmalamis	ek'mal'am'is
ekmalaperis	ek'mal'aper'is
ekmalfermiĝis	ek'mal'ferm'iĝ'is
ekmaljuniĝo	ek'mal'jun'iĝ'o
ekmalsanis	ek'mal'san'is
ekmalsaniĝis	ek'mal'san'iĝ'is
ekmanĝi	ek'manĝ'i
ekmanĝis	ek'manĝ'is
ekmankas	ek'mank'as
ekmankis	ek'mank'is
ekmarŝis	ek'marŝ'is
ekmeditis	ek'medit'is
ekmemoras	ek'memor'as
ekmemori	ek'memor'i
ekmemoris	ek'memor'is
ekmigris	ek'migr'is
ekmiliti	ek'milit'i
ekmilitis	ek'milit'is
ekmiris	ek'mir'is
ekmiro	ek'mir'o
ekmiregis	ek'mir'eg'is
ekmontris	ek'montr'is
ekmordis	ek'mord'is
ekmovi	ek'mov'i
ekmovis	ek'mov'is
ekmovo	ek'mov'o
ekmoviĝas	ek'mov'iĝ'as
ekmoviĝis	ek'mov'iĝ'is
ekmuĝis	ek'muĝ'is
ekmultiĝo	ek'mult'iĝ'o
ekmurmuris	ek'murmur'is
eknaĝis	ek'naĝ'is
eknavigis	ek'navig'is
ekneĝis	ek'neĝ'is
eknomis	ek'nom'is
eknomiĝis	ek'nom'iĝ'is
ekoficis	ek'ofic'is
ekokupis	ek'okup'is
ekokupiĝi	ek'okup'iĝ'i
ekokupiĝis	ek'okup'iĝ'is
ekpafas	ek'paf'as
ekpafi	ek'paf'i
ekpafis	ek'paf'is
ekpanikis	ek'panik'is
ekparolas	ek'parol'as
ekparoli	ek'parol'i
ekparolis	ek'parol'is
ekparolos	ek'parol'os
ekparolu	ek'parol'u
ekpartoprenis	ek'part'o'pren'is
ekpaŝi	ek'paŝ'i
ekpaŝis	ek'paŝ'is
ekpendis	ek'pend'is
ekpensas	ek'pens'as
ekpensi	ek'pens'i
ekpensis	ek'pens'is
ekpenso	ek'pens'o
ekpensu	ek'pens'u
ekpensante	ek'pens'ant'e
ekperdis	ek'perd'is
ekplaĉis	ek'plaĉ'is
ekploras	ek'plor'as
ekplori	ek'plor'i
ekploris	ek'plor'is
ekploros	ek'plor'os
ekploregis	ek'plor'eg'is
ekpluvas	ek'pluv'as
ekpluvis	ek'pluv'is
ekpluvo	ek'pluv'o
ekpluvos	ek'pluv'os
ekpluvegis	ek'pluv'eg'is
ekportis	ek'port'is
ekposedas	ek'posed'as
ekposedi	ek'posed'i
ekposedis	ek'posed'is
ekposedo	ek'posed'o
ekpovis	ek'pov'is
ekpraktikis	ek'praktik'is
ekpremis	ek'prem'is
ekprenas	ek'pren'as
ekpreni	ek'pren'i
ekprenis	ek'pren'is
ekprenos	ek'pren'os
ekpreparis	ek'prepar'is
ekpromenis	ek'promen'is
ekprospero	ek'prosper'o
ekprosperon	ek'prosper'o'n
ekprotestis	ek'protest'is
ekprovas	ek'prov'as
ekprovis	ek'prov'is
ekpuŝo	ek'puŝ'o
ekpuŝulo	ek'puŝ'ul'o
ekrajdis	ek'rajd'is
ekrakontis	ek'rakont'is
ekrampis	ek'ramp'is
ekrapidis	ek'rapid'is
ekreproduktiĝas	ek're'produkt'iĝ'as
ekregas	ek'reg'as
ekregi	ek'reg'i
ekregis	ek'reg'is
ekrego	ek'reg'o
ekregos	ek'reg'os
ekribelas	ek'ribel'as
ekribelis	ek'ribel'is
ekridas	ek'rid'as
ekridis	ek'rid'is
ekridegis	ek'rid'eg'is
ekridetis	ek'rid'et'is
ekrigardas	ek'rigard'as
ekrigardi	ek'rigard'i
ekrigardis	ek'rigard'is
ekrigardo	ek'rigard'o
ekrigardon	ek'rigard'o'n
ekrigardu	ek'rigard'u
ekrigardinte	ek'rigard'int'e
ekrilati	ek'rilat'i
ekrimarkis	ek'rimark'is
ekruliĝis	ek'rul'iĝ'is
ekŝajnis	ek'ŝajn'is
eksaltas	ek'salt'as
eksalti	ek'salt'i
eksaltis	ek'salt'is
ekŝanceliĝis	ek'ŝancel'iĝ'is
eksangis	ek'sang'is
ekŝatas	ek'ŝat'as
ekŝatis	ek'ŝat'is
ekscias	ek'sci'as
ekscii	ek'sci'i
eksciis	ek'sci'is
ekscio	ek'sci'o
ekscion	ek'sci'o'n
ekscios	ek'sci'os
eksciu	ek'sci'u
ekscius	ek'sci'us
eksciante	ek'sci'ant'e
eksciinte	ek'sci'int'e
eksentas	ek'sent'as
eksenti	ek'sent'i
eksentis	ek'sent'is
eksentos	ek'sent'os
eksentinte	ek'sent'int'e
ekserĉas	ek'serĉ'as
ekserĉis	ek'serĉ'is
ekservis	ek'serv'is
eksiblis	ek'sibl'is
eksidas	ek'sid'as
eksidi	ek'sid'i
