gabona	gabon'a
geamantojn	ge'am'ant'o'j'n
geamikoj	ge'amik'o'j
geamikojn	ge'amik'o'j'n
geamikiĝo	ge'amik'iĝ'o
geastronomoj	ge'astronom'o'j
geaŭskultantoj	ge'aŭskult'ant'o'j
geavoj	ge'av'o'j
geavojn	ge'av'o'j'n
gecivitanoj	ge'civit'an'o'j
gedioj	ge'di'o'j
geedza	ge'edz'a
geedzaj	ge'edz'a'j
geedzajn	ge'edz'a'j'n
geedzan	ge'edz'a'n
geedzo	ge'edz'o
geedzoj	ge'edz'o'j
geedzojn	ge'edz'o'j'n
geedzon	ge'edz'o'n
geedzeca	ge'edz'ec'a
geedzeco	ge'edz'ec'o
geedzecoj	ge'edz'ec'o'j
geedzecon	ge'edz'ec'o'n
geedzeckontrakto	ge'edz'ec'kontrakt'o
geedzigo	ge'edz'ig'o
geedzigha	ge'edz'iĝ'a
geedziĝa	ge'edz'iĝ'a
geedziĝaj	ge'edz'iĝ'a'j
geedziĝan	ge'edz'iĝ'a'n
geedziĝas	ge'edz'iĝ'as
geedziĝi	ge'edz'iĝ'i
geedziĝis	ge'edz'iĝ'is
geedzigho	ge'edz'iĝ'o
geedziĝo	ge'edz'iĝ'o
geedziĝoj	ge'edz'iĝ'o'j
geedziĝojn	ge'edz'iĝ'o'j'n
geedziĝon	ge'edz'iĝ'o'n
geedziĝos	ge'edz'iĝ'os
geedziĝu	ge'edz'iĝ'u
geedziĝus	ge'edz'iĝ'us
geedziĝado	ge'edz'iĝ'ad'o
geedziĝante	ge'edz'iĝ'ant'e
geedziĝfesto	ge'edz'iĝ'fest'o
geedziĝinta	ge'edz'iĝ'int'a
geedziĝintaj	ge'edz'iĝ'int'a'j
geedzita	ge'edz'it'a
geedzitaj	ge'edz'it'a'j
geesperantistoj	ge'esperant'ist'o'j
geesperantistojn	ge'esperant'ist'o'j'n
gefamilianoj	ge'famili'an'o'j
gefianĉoj	ge'fianĉ'o'j
gefianĉiĝo	ge'fianĉ'iĝ'o
gefianĉiĝon	ge'fianĉ'iĝ'o'n
gefilo	ge'fil'o
gefiloj	ge'fil'o'j
gefilojn	ge'fil'o'j'n
gefilon	ge'fil'o'n
gefrata	ge'frat'a
gefrato	ge'frat'o
gefratoj	ge'frat'o'j
gefratojn	ge'frat'o'j'n
gefraŭloj	ge'fraŭl'o'j
gegejoj	ge'gej'o'j
gehomoj	ge'hom'o'j
geinfanoj	ge'infan'o'j
geinfanojn	ge'infan'o'j'n
geinstruistoj	ge'instru'ist'o'j
gejunuloj	ge'jun'ul'o'j
gejunulojn	ge'jun'ul'o'j'n
gekamaradoj	ge'kamarad'o'j
gekantistoj	ge'kant'ist'o'j
geknaba	ge'knab'a
geknaboj	ge'knab'o'j
geknabojn	ge'knab'o'j'n
gekokoj	ge'kok'o'j
gekolegoj	ge'koleg'o'j
gekongresanoj	ge'kongres'an'o'j
gekursanoj	ge'kurs'an'o'j
gekuzoj	ge'kuz'o'j
gelegantoj	ge'leg'ant'o'j
gelernantoj	ge'lern'ant'o'j
gelernantojn	ge'lern'ant'o'j'n
gemaljunuloj	ge'mal'jun'ul'o'j
gemastroj	ge'mastr'o'j
genepoj	ge'nep'o'j
genepojn	ge'nep'o'j'n
genevoj	ge'nev'o'j
geonkloj	ge'onkl'o'j
georfoj	ge'orf'o'j
geparencoj	ge'parenc'o'j
gepatra	ge'patr'a
gepatraj	ge'patr'a'j
gepatrajn	ge'patr'a'j'n
gepatran	ge'patr'a'n
gepatro	ge'patr'o
gepatroj	ge'patr'o'j
gepatrojn	ge'patr'o'j'n
gepatron	ge'patr'o'n
gepatralingva	ge'patr'a'lingv'a
gepatralingve	ge'patr'a'lingv'e
gepatreco	ge'patr'ec'o
gepatrorajto	ge'patr'o'rajt'o
gepatrorajton	ge'patr'o'rajt'o'n
gereĝoj	ge'reĝ'o'j
gereligiuloj	ge'religi'ul'o'j
gesamideanoj	ge'sam'ide'an'o'j
geservistoj	ge'serv'ist'o'j
gesinjoroj	ge'sinjor'o'j
gesinjorojn	ge'sinjor'o'j'n
geskoltoj	ge'skolt'o'j
geskoltojn	ge'skolt'o'j'n
gestudentoj	ge'student'o'j
gestudentojn	ge'student'o'j'n
geviroj	ge'vir'o'j
geja	gej'a
gejaj	gej'a'j
gejajn	gej'a'j'n
gejan	gej'a'n
gejas	gej'as
gejo	gej'o
gejoj	gej'o'j
gejojn	gej'o'j'n
gejon	gej'o'n
gejeco	gej'ec'o
gejerotiko	gej'erotik'o
gejseroj	gejser'o'j
gekoj	gek'o'j
gelateno	gelaten'o
gemo	gem'o
gemoj	gem'o'j
gemojn	gem'o'j'n
gemon	gem'o'n
gena	gen'a
genaj	gen'a'j
genan	gen'a'n
gene	gen'e
geni	gen'i
geno	gen'o
genoj	gen'o'j
genojn	gen'o'j'n
genon	gen'o'n
genaro	gen'ar'o
genaroj	gen'ar'o'j
genarojn	gen'ar'o'j'n
genaron	gen'ar'o'n
genfluo	gen'flu'o
genlinio	gen'lini'o
genlinioj	gen'lini'o'j
genliniojn	gen'lini'o'j'n
genlinion	gen'lini'o'n
genprovizo	gen'proviz'o
gentekniko	gen'teknik'o
genterapio	gen'terapi'o
gentestado	gen'test'ad'o
gentipo	gen'tip'o
gentipoj	gen'tip'o'j
gentransdono	gen'trans'don'o
gentransigo	gen'trans'ig'o
genealogoj	genealog'o'j
genealogia	genealog'i'a
genealogiaj	genealog'i'a'j
genealogian	genealog'i'a'n
genealogio	genealog'i'o
genealogioj	genealog'i'o'j
genealogiojn	genealog'i'o'j'n
genealogion	genealog'i'o'n
genera	gener'a
generaj	gener'a'j
generajn	gener'a'j'n
generan	gener'a'n
generas	gener'as
genere	gener'e
generi	gener'i
generis	gener'is
genero	gener'o
generos	gener'os
generus	gener'us
generado	gener'ad'o
generadon	gener'ad'o'n
generanta	gener'ant'a
generantaj	gener'ant'a'j
generante	gener'ant'e
generanto	gener'ant'o
generata	gener'at'a
generilo	gener'il'o
generiloj	gener'il'o'j
generinto	gener'int'o
generita	gener'it'a
generitaj	gener'it'a'j
generitajn	gener'it'a'j'n
generitan	gener'it'a'n
generite	gener'it'e
generacia	generaci'a
generaciaj	generaci'a'j
generacian	generaci'a'n
generacio	generaci'o
generacioj	generaci'o'j
generaciojn	generaci'o'j'n
generacion	generaci'o'n
generala	general'a
generalan	general'a'n
generale	general'e
generalo	general'o
generaloj	general'o'j
generalojn	general'o'j'n
generalon	general'o'n
generaldirektoro	general'direktor'o
generalinspektoro	general'inspektor'o
generalleŭtenanto	general'leŭtenant'o
generalmajoro	general'major'o
generalsekretario	general'sekretari'o
generaluzo	general'uz'o
generatoro	generator'o
generatoroj	generator'o'j
generatorojn	generator'o'j'n
generatoron	generator'o'n
genetika	genetik'a
genetikaj	genetik'a'j
genetikajn	genetik'a'j'n
genetikan	genetik'a'n
genetike	genetik'e
genetiko	genetik'o
genetikon	genetik'o'n
genetikistoj	genetik'ist'o'j
genetikuloj	genetik'ul'o'j
genezo	genez'o
genezon	genez'o'n
genia	geni'a
geniaj	geni'a'j
geniajn	geni'a'j'n
genian	geni'a'n
genie	geni'e
genio	geni'o
genioj	geni'o'j
genion	geni'o'n
genieco	geni'ec'o
geniecon	geni'ec'o'n
geniulo	geni'ul'o
geniuloj	geni'ul'o'j
geniulon	geni'ul'o'n
genitala	genital'a
genitalan	genital'a'n
genitaloj	genital'o'j
genitalojn	genital'o'j'n
genitiva	genitiv'a
genitivo	genitiv'o
genitivon	genitiv'o'n
genitivkazo	genitiv'kaz'o
genocida	genocid'a
genocide	genocid'e
genocido	genocid'o
genocidoj	genocid'o'j
genocidon	genocid'o'n
genoma	genom'a
genomo	genom'o
genra	genr'a
genraj	genr'a'j
genran	genr'a'n
genro	genr'o
genroj	genr'o'j
genrojn	genr'o'j'n
genron	genr'o'n
genronomo	genr'o'nom'o
genta	gent'a
gentaj	gent'a'j
gentan	gent'a'n
gento	gent'o
gentoj	gent'o'j
gentojn	gent'o'j'n
genton	gent'o'n
gentnomo	gent'nom'o
genua	genu'a
genuas	genu'as
genue	genu'e
genuis	genu'is
genuo	genu'o
genuoj	genu'o'j
genuojn	genu'o'j'n
genuon	genu'o'n
genuanta	genu'ant'a
genuante	genu'ant'e
genufleksis	genu'fleks'is
genuiĝi	genu'iĝ'i
genuiĝis	genu'iĝ'is
geodezia	geodezi'a
geodeziaj	geodezi'a'j
geodezio	geodezi'o
geodeziisto	geodezi'ist'o
geodeziistoj	geodezi'ist'o'j
geofiksa	geofiks'a
geofizika	geofizik'a
geofizikaj	geofizik'a'j
geofiziko	geofizik'o
geografo	geograf'o
geografoj	geograf'o'j
geografia	geograf'i'a
geografiaj	geograf'i'a'j
geografiajn	geograf'i'a'j'n
geografian	geograf'i'a'n
geografie	geograf'i'e
geografio	geograf'i'o
geografion	geograf'i'o'n
geografiaĵoj	geograf'i'aĵ'o'j
geografiisto	geograf'i'ist'o
geografiistoj	geograf'i'ist'o'j
geografioloko	geograf'i'o'lok'o
geologo	geolog'o
geologoj	geolog'o'j
geologon	geolog'o'n
geologia	geolog'i'a
geologiaj	geolog'i'a'j
geologiajn	geolog'i'a'j'n
geologian	geolog'i'a'n
geologie	geolog'i'e
geologio	geolog'i'o
geologion	geolog'i'o'n
geomagneta	geomagnet'a
geomagnetaj	geomagnet'a'j
geomagnetiko	geomagnet'ik'o
geometria	geometr'i'a
geometriaj	geometr'i'a'j
geometriajn	geometr'i'a'j'n
geometrian	geometr'i'a'n
geometrie	geometr'i'e
geometrio	geometr'i'o
geometrioj	geometr'i'o'j
geometriojn	geometr'i'o'j'n
geometrion	geometr'i'o'n
geomorfologia	geomorfologi'a
geopolitika	geopolitik'a
geopolitikaj	geopolitik'a'j
geopolitikajn	geopolitik'a'j'n
geopolitikan	geopolitik'a'n
geopolitike	geopolitik'e
geopolitiko	geopolitik'o
georga	georg'a
georgo	georg'o
georgon	georg'o'n
georgia	georgi'a
georgio	georgi'o
geosinkrona	geosinkron'a
geoterma	geoterm'a
geotermaj	geoterm'a'j
geoterman	geoterm'a'n
gepardo	gepard'o
gepardoj	gepard'o'j
gerardo	gerard'o
gerilaj	geril'a'j
gerilo	geril'o
geriloj	geril'o'j
gerilano	geril'an'o
gerilanoj	geril'an'o'j
germana	german'a
germanaj	german'a'j
germanajn	german'a'j'n
germanan	german'a'n
germane	german'e
germano	german'o
germanoj	german'o'j
germanojn	german'o'j'n
germanon	german'o'n
germandevena	german'de'ven'a
germania	german'i'a
germaniaj	german'i'a'j
germanio	german'i'o
germanion	german'i'o'n
germanigo	german'ig'o
germanino	german'in'o
germanistiko	german'ist'ik'o
germanlando	german'land'o
germanlingva	german'lingv'a
germanlingvaj	german'lingv'a'j
germanlingvajn	german'lingv'a'j'n
germanlingvan	german'lingv'a'n
germanlingve	german'lingv'e
germanlingvanoj	german'lingv'an'o'j
germanparolantoj	german'parol'ant'o'j
germanujo	german'uj'o
germanujon	german'uj'o'n
germaniumo	germanium'o
gerundio	gerundi'o
gerundioj	gerundi'o'j
gesta	gest'a
gestaj	gest'a'j
gestas	gest'as
geste	gest'e
gestis	gest'is
gesto	gest'o
gestoj	gest'o'j
gestojn	gest'o'j'n
geston	gest'o'n
gestadis	gest'ad'is
gestado	gest'ad'o
gestante	gest'ant'e
gestlingvo	gest'lingv'o
gestolingvo	gest'o'lingv'o
gestolingvon	gest'o'lingv'o'n
gestapo	gestap'o
getae	geta'e
getaoj	geta'o'j
gibono	gibon'o
gibonoj	gibon'o'j
giĉeto	giĉet'o
giĉetoj	giĉet'o'j
giganta	gigant'a
gigantaj	gigant'a'j
gigantajn	gigant'a'j'n
gigantan	gigant'a'n
gigante	gigant'e
giganto	gigant'o
gigantoj	gigant'o'j
gigantojn	gigant'o'j'n
giganton	gigant'o'n
gigantino	gigant'in'o
gilda	gild'a
gildo	gild'o
gildoj	gild'o'j
gildojn	gild'o'j'n
gilotino	gilotin'o
gimnastoj	gimnast'o'j
gimnastejo	gimnast'ej'o
gimnastika	gimnast'ik'a
gimnastikaj	gimnast'ik'a'j
gimnastikan	gimnast'ik'a'n
gimnastikas	gimnast'ik'as
gimnastiki	gimnast'ik'i
gimnastiko	gimnast'ik'o
gimnastikon	gimnast'ik'o'n
gimnastikado	gimnast'ik'ad'o
gimnastikejo	gimnast'ik'ej'o
gimnastikejoj	gimnast'ik'ej'o'j
gimnastikejon	gimnast'ik'ej'o'n
gimnazia	gimnazi'a
gimnaziaj	gimnazi'a'j
gimnazio	gimnazi'o
gimnazioj	gimnazi'o'j
gimnazion	gimnazi'o'n
gimnaziano	gimnazi'an'o
gimnazianoj	gimnazi'an'o'j
gimnospermoj	gimnosperm'o'j
gineceo	ginece'o
ginekologo	ginekolog'o
ginekologio	ginekolog'i'o
ginevra	ginevr'a
gingivoj	gingiv'o'j
ginsenga	ginseng'a
ginsengo	ginseng'o
ginsengon	ginseng'o'n
gipsa	gips'a
gipsaj	gips'a'j
gipso	gips'o
gipson	gips'o'n
gipsita	gips'it'a
girlando	girland'o
girlandoj	girland'o'j
girlandojn	girland'o'j'n
girlandon	girland'o'n
giroskopo	giroskop'o
giroskopoj	giroskop'o'j
gisa	gis'a
gisas	gis'as
gisi	gis'i
gisis	gis'is
gisado	gis'ad'o
gisanta	gis'ant'a
gisante	gis'ant'e
gisfera	gis'fer'a
gisfero	gis'fer'o
gisita	gis'it'a
gisitaj	gis'it'a'j
gisto	gist'o
gistoj	gist'o'j
giston	gist'o'n
gitara	gitar'a
gitaras	gitar'as
gitari	gitar'i
gitaris	gitar'is
gitaro	gitar'o
gitaroj	gitar'o'j
gitarojn	gitar'o'j'n
gitaron	gitar'o'n
gitaristo	gitar'ist'o
gitaristoj	gitar'ist'o'j
gitarludon	gitar'lud'o'n
gitarludado	gitar'lud'ad'o
glaco	glac'o
glacoj	glac'o'j
glacojn	glac'o'j'n
glacon	glac'o'n
glacea	glace'a
glacia	glaci'a
glaciaj	glaci'a'j
glaciajn	glaci'a'j'n
glacian	glaci'a'n
glacie	glaci'e
glacio	glaci'o
glacioj	glaci'o'j
glacion	glaci'o'n
glaciaĵo	glaci'aĵ'o
glaciaĵoj	glaci'aĵ'o'j
glaciaĵojn	glaci'aĵ'o'j'n
glaciaĵon	glaci'aĵ'o'n
glaciaĵbovlo	glaci'aĵ'bovl'o
glacieja	glaci'ej'a
glaciejaj	glaci'ej'a'j
glaciejo	glaci'ej'o
glaciejoj	glaci'ej'o'j
glaciejiĝo	glaci'ej'iĝ'o
glaciepoka	glaci'epok'a
glaciepoko	glaci'epok'o
glaciepokoj	glaci'epok'o'j
glacihokeo	glaci'hoke'o
glaciigis	glaci'ig'is
glaciigita	glaci'ig'it'a
glaciiĝas	glaci'iĝ'as
glaciiĝis	glaci'iĝ'is
glaciiĝo	glaci'iĝ'o
glaciiĝinta	glaci'iĝ'int'a
glacikovrita	glaci'kovr'it'a
glacikovritaj	glaci'kovr'it'a'j
glacikristaloj	glaci'kristal'o'j
glacimonto	glaci'mont'o
glacimontoj	glaci'mont'o'j
glaciriveroj	glaci'river'o'j
glacitavolo	glaci'tavol'o
glacitavoloj	glaci'tavol'o'j
glaĉera	glaĉer'a
glaĉeraj	glaĉer'a'j
glaĉero	glaĉer'o
glaĉeroj	glaĉer'o'j
glaĉerojn	glaĉer'o'j'n
gladas	glad'as
gladi	glad'i
gladis	glad'is
glados	glad'os
gladado	glad'ad'o
gladilo	glad'il'o
gladilon	glad'il'o'n
gladiatoro	gladiator'o
gladiatoroj	gladiator'o'j
glano	glan'o
glanoj	glan'o'j
glanojn	glan'o'j'n
glanon	glan'o'n
glandaj	gland'a'j
glando	gland'o
glandoj	gland'o'j
glandojn	gland'o'j'n
glandon	gland'o'n
glaso	glas'o
glasoj	glas'o'j
glasojn	glas'o'j'n
glason	glas'o'n
glaseto	glas'et'o
glasetoj	glas'et'o'j
glasetojn	glas'et'o'j'n
glaseton	glas'et'o'n
glata	glat'a
glataj	glat'a'j
glatajn	glat'a'j'n
glatan	glat'a'n
glatas	glat'as
glate	glat'e
glatis	glat'is
glateco	glat'ec'o
glatecon	glat'ec'o'n
glatigas	glat'ig'as
glatigi	glat'ig'i
glatigis	glat'ig'is
glatigante	glat'ig'ant'e
glatigita	glat'ig'it'a
glatigitaj	glat'ig'it'a'j
glatmuskolaj	glat'muskol'a'j
glatrandaj	glat'rand'a'j
glaŭka	glaŭk'a
glaŭko	glaŭk'o
glava	glav'a
glavo	glav'o
glavoj	glav'o'j
glavojn	glav'o'j'n
glavon	glav'o'n
glavingo	glav'ing'o
glavtenilo	glav'ten'il'o
glazuro	glazur'o
glazuroj	glazur'o'j
glazurita	glazur'it'a
glazuritaj	glazur'it'a'j
glicerino	glicerin'o
glicino	glicin'o
glicirizaj	gliciriz'a'j
glicirizan	gliciriz'a'n
glicirizo	gliciriz'o
