avorta	a'vort'a
acidecon	acid'ec'o'n
acidigita	acid'ig'it'a
acidiĝo	acid'iĝ'o
aĉa	aĉ'a
aĉaj	aĉ'a'j
aĉajn	aĉ'a'j'n
aĉan	aĉ'a'n
aĉas	aĉ'as
aĉe	aĉ'e
aĉaĵo	aĉ'aĵ'o
aĉaĵojn	aĉ'aĵ'o'j'n
aĉaĵon	aĉ'aĵ'o'n
aĉega	aĉ'eg'a
aĉulo	aĉ'ul'o
aĉuloj	aĉ'ul'o'j
aĉeta	aĉet'a
aĉetas	aĉet'as
aĉeti	aĉet'i
aĉetis	aĉet'is
aĉeto	aĉet'o
aĉetoj	aĉet'o'j
aĉetojn	aĉet'o'j'n
aĉeton	aĉet'o'n
aĉetos	aĉet'os
aĉetu	aĉet'u
aĉetus	aĉet'us
aĉetadas	aĉet'ad'as
aĉetadi	aĉet'ad'i
aĉetadis	aĉet'ad'is
aĉetado	aĉet'ad'o
aĉetadon	aĉet'ad'o'n
aĉetaĵojn	aĉet'aĵ'o'j'n
aĉetanta	aĉet'ant'a
aĉetantaj	aĉet'ant'a'j
aĉetante	aĉet'ant'e
aĉetanto	aĉet'ant'o
aĉetantoj	aĉet'ant'o'j
aĉetantojn	aĉet'ant'o'j'n
aĉetanton	aĉet'ant'o'n
aĉetata	aĉet'at'a
aĉetataj	aĉet'at'a'j
aĉetcentro	aĉet'centr'o
aĉetebla	aĉet'ebl'a
aĉeteblaj	aĉet'ebl'a'j
aĉeteblas	aĉet'ebl'as
aĉetinta	aĉet'int'a
aĉetinte	aĉet'int'e
aĉetintus	aĉet'int'us
aĉetita	aĉet'it'a
aĉetitaj	aĉet'it'a'j
aĉetitajn	aĉet'it'a'j'n
aĉetitan	aĉet'it'a'n
aĉetite	aĉet'it'e
aĉetontoj	aĉet'ont'o'j
aĉetpovo	aĉet'pov'o
aĉetpovon	aĉet'pov'o'n
aĉetumi	aĉet'um'i
adama	adam'a
adamo	adam'o
adamon	adam'o'n
adapta	adapt'a
adaptaj	adapt'a'j
adaptajn	adapt'a'j'n
adaptan	adapt'a'n
adaptas	adapt'as
adapti	adapt'i
adaptis	adapt'is
adapto	adapt'o
adaptoj	adapt'o'j
adaptojn	adapt'o'j'n
adapton	adapt'o'n
adaptos	adapt'os
adaptu	adapt'u
adaptado	adapt'ad'o
adaptadon	adapt'ad'o'n
adaptaĵo	adapt'aĵ'o
adaptaĵoj	adapt'aĵ'o'j
adaptanta	adapt'ant'a
adaptante	adapt'ant'e
adaptata	adapt'at'a
adaptataj	adapt'at'a'j
adaptebla	adapt'ebl'a
adapteblaj	adapt'ebl'a'j
adaptigi	adapt'ig'i
adaptiĝas	adapt'iĝ'as
adaptiĝi	adapt'iĝ'i
adaptiĝis	adapt'iĝ'is
adaptiĝo	adapt'iĝ'o
adaptiĝoj	adapt'iĝ'o'j
adaptiĝojn	adapt'iĝ'o'j'n
adaptiĝon	adapt'iĝ'o'n
adaptiĝos	adapt'iĝ'os
adaptiĝu	adapt'iĝ'u
adaptiĝus	adapt'iĝ'us
adaptiĝado	adapt'iĝ'ad'o
adaptiĝema	adapt'iĝ'em'a
adaptiĝkapableco	adapt'iĝ'kapabl'ec'o
adaptilo	adapt'il'o
adaptiloj	adapt'il'o'j
adaptita	adapt'it'a
adaptitaj	adapt'it'a'j
adaptitajn	adapt'it'a'j'n
adaptitan	adapt'it'a'n
adaptite	adapt'it'e
adekvata	adekvat'a
adekvataj	adekvat'a'j
adekvatajn	adekvat'a'j'n
adekvatan	adekvat'a'n
adekvate	adekvat'e
adena	aden'a
adeno	aden'o
adepto	adept'o
adeptoj	adept'o'j
adeptojn	adept'o'j'n
adheras	adher'as
adheri	adher'i
adheris	adher'is
adhero	adher'o
adheron	adher'o'n
adherado	adher'ad'o
adherante	adher'ant'e
adiaŭ	adiaŭ
adiaŭa	adiaŭ'a
adiaŭan	adiaŭ'a'n
adiaŭas	adiaŭ'as
adiaŭe	adiaŭ'e
adiaui	adiaŭ'i
adiaŭi	adiaŭ'i
adiauis	adiaŭ'is
adiaŭis	adiaŭ'is
adiauo	adiaŭ'o
adiaŭo	adiaŭ'o
adiaŭoj	adiaŭ'o'j
adiaŭon	adiaŭ'o'n
adiaŭos	adiaŭ'os
adiaŭu	adiaŭ'u
adiaŭante	adiaŭ'ant'e
adiaŭinte	adiaŭ'int'e
adicias	adici'as
adicii	adici'i
adiciis	adici'is
adicio	adici'o
adicion	adici'o'n
adiciu	adici'u
adiciado	adici'ad'o
adjekto	adjekt'o
adjektiva	adjektiv'a
adjektivaj	adjektiv'a'j
adjektivan	adjektiv'a'n
adjektive	adjektiv'e
adjektivo	adjektiv'o
adjektivoj	adjektiv'o'j
adjektivojn	adjektiv'o'j'n
adjektivon	adjektiv'o'n
adjudikado	adjudik'ad'o
adjunkta	adjunkt'a
adjutanto	adjutant'o
administra	administr'a
administraj	administr'a'j
administrajn	administr'a'j'n
administran	administr'a'n
administras	administr'as
administre	administr'e
administri	administr'i
administris	administr'is
administro	administr'o
administron	administr'o'n
administros	administr'os
administru	administr'u
administrada	administr'ad'a
administrado	administr'ad'o
administradoj	administr'ad'o'j
administradon	administr'ad'o'n
administranta	administr'ant'a
administrante	administr'ant'e
administranto	administr'ant'o
administrantoj	administr'ant'o'j
administrantojn	administr'ant'o'j'n
administranton	administr'ant'o'n
administrantaro	administr'ant'ar'o
administrata	administr'at'a
administrataj	administr'at'a'j
administrejo	administr'ej'o
administrejoj	administr'ej'o'j
administristo	administr'ist'o
administristoj	administr'ist'o'j
administrita	administr'it'a
administritaj	administr'it'a'j
administritajn	administr'it'a'j'n
administritan	administr'it'a'n
administrokutimoj	administr'o'kutim'o'j
administracia	administraci'a
administraciaj	administraci'a'j
administraciajn	administraci'a'j'n
administracian	administraci'a'n
administracie	administraci'e
administracio	administraci'o
administracioj	administraci'o'j
administraciojn	administraci'o'j'n
administracion	administraci'o'n
admira	admir'a
admiras	admir'as
admire	admir'e
admiri	admir'i
admiris	admir'is
admiro	admir'o
admiron	admir'o'n
admiros	admir'os
admiru	admir'u
admirado	admir'ad'o
admirante	admir'ant'e
admiranto	admir'ant'o
admirantoj	admir'ant'o'j
admirantojn	admir'ant'o'j'n
admirantaron	admir'ant'ar'o'n
admirata	admir'at'a
admirataj	admir'at'a'j
admirinda	admir'ind'a
admirindaj	admir'ind'a'j
admirindajn	admir'ind'a'j'n
admirindan	admir'ind'a'n
admirinde	admir'ind'e
admirita	admir'it'a
admiritaj	admir'it'a'j
admiralo	admiral'o
admiraloj	admiral'o'j
admiraleco	admiral'ec'o
admona	admon'a
admonaj	admon'a'j
admonas	admon'as
admoni	admon'i
admonis	admon'is
admono	admon'o
admonoj	admon'o'j
admonojn	admon'o'j'n
admonon	admon'o'n
admonu	admon'u
admonante	admon'ant'e
adobe	adob'e
adobo	adob'o
adoboj	adob'o'j
adoleska	adolesk'a
adoleskaj	adolesk'a'j
adolesko	adolesk'o
adoleskanto	adolesk'ant'o
adoleskantoj	adolesk'ant'o'j
adoleskantojn	adolesk'ant'o'j'n
adoleskanteco	adolesk'ant'ec'o
adoleskantino	adolesk'ant'in'o
adoleskantinoj	adolesk'ant'in'o'j
adoleskeco	adolesk'ec'o
adoleskojaroj	adolesk'ojar'o'j
adoleskulo	adolesk'ul'o
adoleskuloj	adolesk'ul'o'j
adolfo	adolf'o
adolta	adolt'a
adoltaj	adolt'a'j
adolto	adolt'o
adoltoj	adolt'o'j
adopta	adopt'a
adoptaj	adopt'a'j
adoptas	adopt'as
adopte	adopt'e
adopti	adopt'i
adoptis	adopt'is
adopto	adopt'o
adoptoj	adopt'o'j
adopton	adopt'o'n
adoptos	adopt'os
adoptu	adopt'u
adoptus	adopt'us
adoptado	adopt'ad'o
adoptanta	adopt'ant'a
adoptante	adopt'ant'e
adoptanto	adopt'ant'o
adoptantoj	adopt'ant'o'j
adoptita	adopt'it'a
adoptitaj	adopt'it'a'j
adoptitajn	adopt'it'a'j'n
adoptitan	adopt'it'a'n
adoptite	adopt'it'e
adoras	ador'as
adori	ador'i
adoris	ador'is
adoro	ador'o
adoron	ador'o'n
adoros	ador'os
adoru	ador'u
adorado	ador'ad'o
adoradon	ador'ad'o'n
adorante	ador'ant'e
adoranto	ador'ant'o
adorantoj	ador'ant'o'j
adorantojn	ador'ant'o'j'n
adoranton	ador'ant'o'n
adorata	ador'at'a
adorataj	ador'at'a'j
adorejo	ador'ej'o
adorinda	ador'ind'a
adorita	ador'it'a
adoritaj	ador'it'a'j
adrenalino	adrenalin'o
adresas	adres'as
adresi	adres'i
adresis	adres'is
adreso	adres'o
adresoj	adres'o'j
adresojn	adres'o'j'n
adreson	adres'o'n
adresu	adres'u
adresado	adres'ad'o
adresaro	adres'ar'o
adresaroj	adres'ar'o'j
adresarojn	adres'ar'o'j'n
adresaron	adres'ar'o'n
adresato	adres'at'o
adresatoj	adres'at'o'j
adresebla	adres'ebl'a
adresiĝas	adres'iĝ'as
adresita	adres'it'a
adresitaj	adres'it'a'j
adresitan	adres'it'a'n
adresito	adres'it'o
adresspaco	adres'spac'o
adsorbi	adsorb'i
adsorbado	adsorb'ad'o
adsorbitaj	adsorb'it'a'j
adstringa	adstring'a
adultis	adult'is
adulto	adult'o
adultoj	adult'o'j
adultado	adult'ad'o
adventa	advent'a
advento	advent'o
adventistoj	advent'ist'o'j
adverba	adverb'a
adverbaj	adverb'a'j
adverban	adverb'a'n
adverbo	adverb'o
adverboj	adverb'o'j
adverbojn	adverb'o'j'n
adverbon	adverb'o'n
adversaj	advers'a'j
advokata	advokat'a
advokato	advokat'o
advokatoj	advokat'o'j
advokatojn	advokat'o'j'n
advokaton	advokat'o'n
advokatejo	advokat'ej'o
advokatfirmaoj	advokat'firma'o'j
advokatino	advokat'in'o
aera	aer'a
aeraj	aer'a'j
aerajn	aer'a'j'n
aeran	aer'a'n
aere	aer'e
aeren	aer'e'n
aero	aer'o
aeroj	aer'o'j
aeron	aer'o'n
aeramaso	aer'amas'o
aeramasoj	aer'amas'o'j
aerarmea	aer'arme'a
aerarmeo	aer'arme'o
aerarmeoj	aer'arme'o'j
aerarmeon	aer'arme'o'n
afrika	afrik'a
afrikaj	afrik'a'j
afrikajn	afrik'a'j'n
afrikan	afrik'a'n
afriko	afrik'o
afrikon	afrik'o'n
afrikano	afrik'an'o
afrikanoj	afrik'an'o'j
afrikanojn	afrik'an'o'j'n
afrikanon	afrik'an'o'n
afrikazia	afrik'azi'a
afrikdevena	afrik'de'ven'a
afrikdevenaj	afrik'de'ven'a'j
afrikobrazila	afrik'o'brazil'a
afrikobrazilaj	afrik'o'brazil'a'j
afrikusona	afrik'uson'a
afrikusonanoj	afrik'uson'an'o'j
afrikansa	afrikans'a
afrikansan	afrikans'a'n
afrikato	afrikat'o
afrikatoj	afrikat'o'j
afrodita	afrodit'a
afrodito	afrodit'o
afroditon	afrodit'o'n
aga	ag'a
agaj	ag'a'j
agan	ag'a'n
agas	ag'as
age	ag'e
agi	ag'i
agis	ag'is
ago	ag'o
agoj	ag'o'j
agojn	ag'o'j'n
agon	ag'o'n
agos	ag'os
agu	ag'u
agus	ag'us
agada	ag'ad'a
agadan	ag'ad'a'n
agadas	ag'ad'as
agadi	ag'ad'i
agadis	ag'ad'is
agado	ag'ad'o
agadoj	ag'ad'o'j
agadojn	ag'ad'o'j'n
agadon	ag'ad'o'n
agados	ag'ad'os
agadu	ag'ad'u
agadkampo	ag'ad'kamp'o
agadkampoj	ag'ad'kamp'o'j
agadkampojn	ag'ad'kamp'o'j'n
agadkampon	ag'ad'kamp'o'n
agadmaniero	ag'ad'manier'o
agadplano	ag'ad'plan'o
agadplanon	ag'ad'plan'o'n
agadprogramo	ag'ad'program'o
agadraporton	ag'ad'raport'o'n
aganta	ag'ant'a
agantaj	ag'ant'a'j
agantan	ag'ant'a'n
agante	ag'ant'e
aganto	ag'ant'o
agantoj	ag'ant'o'j
agantojn	ag'ant'o'j'n
aganton	ag'ant'o'n
agema	ag'em'a
agemaj	ag'em'a'j
ageme	ag'em'e
agemo	ag'em'o
agemon	ag'em'o'n
aginta	ag'int'a
agintus	ag'int'us
agmaniero	ag'manier'o
agmanieroj	ag'manier'o'j
agmanieron	ag'manier'o'n
agaca	agac'a
agacas	agac'as
agaci	agac'i
agacis	agac'is
agaciĝema	agac'iĝ'em'a
agacitaj	agac'it'a'j
agapo	agap'o
agaragaro	agaragar'o
agata	agat'a
agato	agat'o
agavo	agav'o
agendo	agend'o
agendon	agend'o'n
agento	agent'o
agentoj	agent'o'j
agentojn	agent'o'j'n
agenton	agent'o'n
agentbazita	agent'baz'it'a
agentbazitaj	agent'baz'it'a'j
agentejo	agent'ej'o
agentejoj	agent'ej'o'j
agentejojn	agent'ej'o'j'n
agentejon	agent'ej'o'n
agita	agit'a
agitaj	agit'a'j
agitas	agit'as
agiti	agit'i
agitis	agit'is
agitado	agit'ad'o
agitadon	agit'ad'o'n
agitanto	agit'ant'o
agitantoj	agit'ant'o'j
agitiĝas	agit'iĝ'as
agitiĝis	agit'iĝ'is
agitiĝo	agit'iĝ'o
agitiĝon	agit'iĝ'o'n
agitita	agit'it'a
agititaj	agit'it'a'j
agla	agl'a
aglaj	agl'a'j
aglo	agl'o
agloj	agl'o'j
aglojn	agl'o'j'n
aglon	agl'o'n
aglomera	aglomer'a
aglomerado	aglomer'ad'o
aglomeraĵo	aglomer'aĵ'o
aglomeraĵoj	aglomer'aĵ'o'j
aglomerita	aglomer'it'a
aglomeritaj	aglomer'it'a'j
aglutina	aglutin'a
aglutinaj	aglutin'a'j
agnoskas	agnosk'as
agnoski	agnosk'i
agnoskis	agnosk'is
agnosko	agnosk'o
agnoskoj	agnosk'o'j
agnoskojn	agnosk'o'j'n
agnoskon	agnosk'o'n
agnoskos	agnosk'os
agnosku	agnosk'u
agnoskus	agnosk'us
agnoskado	agnosk'ad'o
agnoskante	agnosk'ant'e
agnoskata	agnosk'at'a
agnoskataj	agnosk'at'a'j
agnoskigi	agnosk'ig'i
agnoskita	agnosk'it'a
agnoskitaj	agnosk'it'a'j
agnoskitajn	agnosk'it'a'j'n
agnoskitan	agnosk'it'a'n
agnoskite	agnosk'it'e
agnostika	agnostik'a
agnostikismo	agnostik'ism'o
agnozio	agnozi'o
agonias	agoni'as
agoniis	agoni'is
agonio	agoni'o
agonion	agoni'o'n
agonianta	agoni'ant'a
agoro	agor'o
agordas	agord'as
agordi	agord'i
agordis	agord'is
agordo	agord'o
agordoj	agord'o'j
agordojn	agord'o'j'n
agordon	agord'o'n
agordu	agord'u
agordado	agord'ad'o
agordadoj	agord'ad'o'j
agordadon	agord'ad'o'n
agordanta	agord'ant'a
agordante	agord'ant'e
agordata	agord'at'a
agordataj	agord'at'a'j
agordebla	agord'ebl'a
agordeblaj	agord'ebl'a'j
agordita	agord'it'a
agorditaj	agord'it'a'j
agra	agr'a
agro	agr'o
agroj	agr'o'j
agrojn	agr'o'j'n
agron	agr'o'n
agrego	agr'eg'o
agregon	agr'eg'o'n
agregado	agr'eg'ad'o
agregaĵo	agr'eg'aĵ'o
agregaĵoj	agr'eg'aĵ'o'j
agregaĵojn	agr'eg'aĵ'o'j'n
agregaĵon	agr'eg'aĵ'o'n
agrabla	agrabl'a
agrablaj	agrabl'a'j
agrablajn	agrabl'a'j'n
agrablan	agrabl'a'n
agrablas	agrabl'as
agrable	agrabl'e
agrablis	agrabl'is
agrablo	agrabl'o
agrablon	agrabl'o'n
agrablaĵo	agrabl'aĵ'o
agrablaĵoj	agrabl'aĵ'o'j
agrablaĵojn	agrabl'aĵ'o'j'n
agrableco	agrabl'ec'o
agrablecon	agrabl'ec'o'n
agrablega	agrabl'eg'a
agrabligi	agrabl'ig'i
agrafo	agraf'o
agrafoj	agraf'o'j
agregas	agreg'as
agregi	agreg'i
agresa	agres'a
agresaj	agres'a'j
agresis	agres'is
agreso	agres'o
agresoj	agres'o'j
agreson	agres'o'n
agresanto	agres'ant'o
agresantoj	agres'ant'o'j
agresema	agres'em'a
agresemaj	agres'em'a'j
agresemajn	agres'em'a'j'n
agreseman	agres'em'a'n
agreseme	agres'em'e
agresemo	agres'em'o
agresemon	agres'em'o'n
agresemulo	agres'em'ul'o
agresita	agres'it'a
agrikultura	agrikultur'a
agrikulturaj	agrikultur'a'j
agrikulturajn	agrikultur'a'j'n
agrikulturan	agrikultur'a'n
agrikulture	agrikultur'e
agrikulturo	agrikultur'o
agrikulturoj	agrikultur'o'j
agrikulturon	agrikultur'o'n
agrikulturado	agrikultur'ad'o
agrikulturaĵoj	agrikultur'aĵ'o'j
agrikulturisto	agrikultur'ist'o
agrikulturistoj	agrikultur'ist'o'j
agronomo	agronom'o
agronomiaj	agronom'i'a'j
agronomio	agronom'i'o
agha	aĝ'a
aĝa	aĝ'a
aĝaj	aĝ'a'j
aĝajn	aĝ'a'j'n
aĝan	aĝ'a'n
aĝas	aĝ'as
aĝe	aĝ'e
aĝis	aĝ'is
agho	aĝ'o
aĝo	aĝ'o
aĝoj	aĝ'o'j
aĝojn	aĝ'o'j'n
aĝon	aĝ'o'n
aĝos	aĝ'os
aha	aha
ahura	ahura
aĥila	aĥil'a
aĥilo	aĥil'o
aĥilon	aĥil'o'n
aidosa	aidos'a
aidosaj	aidos'a'j
aidoso	aidos'o
aidoson	aidos'o'n
akacia	akaci'a
akacio	akaci'o
akacioj	akaci'o'j
akada	akad'a
akadaj	akad'a'j
akademia	akademi'a
akademiaj	akademi'a'j
akademiajn	akademi'a'j'n
akademian	akademi'a'n
akademie	akademi'e
akademio	akademi'o
akademioj	akademi'o'j
akademion	akademi'o'n
akademiano	akademi'an'o
akademianoj	akademi'an'o'j
akademiulo	akademi'ul'o
akademiuloj	akademi'ul'o'j
akademiulojn	akademi'ul'o'j'n
akademiulon	akademi'ul'o'n
akademiularo	akademi'ul'ar'o
akaparas	akapar'as
akapari	akapar'i
akaparis	akapar'is
akaparo	akapar'o
akaroj	akar'o'j
akcela	akcel'a
akcelan	akcel'a'n
akcelas	akcel'as
akceli	akcel'i
akcelis	akcel'is
akcelo	akcel'o
akceloj	akcel'o'j
akcelojn	akcel'o'j'n
akcelon	akcel'o'n
akcelos	akcel'os
akcelu	akcel'u
akcelus	akcel'us
akcelado	akcel'ad'o
akceladoj	akcel'ad'o'j
akceladojn	akcel'ad'o'j'n
akceladon	akcel'ad'o'n
akcelanta	akcel'ant'a
akcelante	akcel'ant'e
akcelata	akcel'at'a
akceliĝas	akcel'iĝ'as
akcelilo	akcel'il'o
akceliloj	akcel'il'o'j
akcelilojn	akcel'il'o'j'n
akcelilon	akcel'il'o'n
akcelita	akcel'it'a
akcelitaj	akcel'it'a'j
akcelitan	akcel'it'a'n
akcenta	akcent'a
akcentaj	akcent'a'j
akcentas	akcent'as
akcente	akcent'e
akcenti	akcent'i
akcentis	akcent'is
akcento	akcent'o
akcentoj	akcent'o'j
akcentojn	akcent'o'j'n
akcenton	akcent'o'n
akcentado	akcent'ad'o
akcentadon	akcent'ad'o'n
akcentante	akcent'ant'e
akcentata	akcent'at'a
akcentita	akcent'it'a
akcentitaj	akcent'it'a'j
akcentsilabo	akcent'silab'o
akcentsilaboj	akcent'silab'o'j
akcepta	akcept'a
akceptas	akcept'as
akcepti	akcept'i
akceptis	akcept'is
akcepto	akcept'o
akceptoj	akcept'o'j
akcepton	akcept'o'n
akceptos	akcept'os
akceptu	akcept'u
akceptus	akcept'us
akceptadis	akcept'ad'is
akceptado	akcept'ad'o
akceptadon	akcept'ad'o'n
akceptanta	akcept'ant'a
akceptantaj	akcept'ant'a'j
akceptante	akcept'ant'e
akceptanto	akcept'ant'o
akceptantoj	akcept'ant'o'j
akceptata	akcept'at'a
akceptataj	akcept'at'a'j
akceptebla	akcept'ebl'a
akcepteblaj	akcept'ebl'a'j
akcepteblajn	akcept'ebl'a'j'n
akcepteblan	akcept'ebl'a'n
akcepteblas	akcept'ebl'as
akcepteble	akcept'ebl'e
akcepteblo	akcept'ebl'o
akcepteblon	akcept'ebl'o'n
akceptebleco	akcept'ebl'ec'o
akceptejo	akcept'ej'o
akceptejon	akcept'ej'o'n
akceptema	akcept'em'a
akceptemaj	akcept'em'a'j
akcepteman	akcept'em'a'n
akceptemo	akcept'em'o
akceptigi	akcept'ig'i
akceptiĝas	akcept'iĝ'as
akceptiĝi	akcept'iĝ'i
akceptiĝis	akcept'iĝ'is
akceptinda	akcept'ind'a
akceptinta	akcept'int'a
akceptinte	akcept'int'e
akceptisto	akcept'ist'o
akceptita	akcept'it'a
akceptitaj	akcept'it'a'j
akceptitajn	akcept'it'a'j'n
akceptitan	akcept'it'a'n
akceptite	akcept'it'e
akceptota	akcept'ot'a
akcesora	akcesor'a
akcesoraj	akcesor'a'j
akcesorajn	akcesor'a'j'n
akcesoran	akcesor'a'n
akcesoraĵo	akcesor'aĵ'o
akcesoraĵoj	akcesor'aĵ'o'j
akcesoraĵojn	akcesor'aĵ'o'j'n
akcia	akci'a
akciaj	akci'a'j
akcian	akci'a'n
akcio	akci'o
akcioj	akci'o'j
