paca	pac'a
pakistanon	pakistan'o'n
pakistanano	pakistan'an'o
pakistananoj	pakistan'an'o'j
pakto	pakt'o
paktoj	pakt'o'j
pakton	pakt'o'n
paktinta	pakt'int'a
paktintaj	pakt'int'a'j
paktintoj	pakt'int'o'j
pala	pal'a
palaj	pal'a'j
palajn	pal'a'j'n
palan	pal'a'n
palas	pal'as
pale	pal'e
palo	pal'o
palos	pal'os
palblua	pal'blu'a
paleco	pal'ec'o
palecon	pal'ec'o'n
palflava	pal'flav'a
palflavaj	pal'flav'a'j
palgriza	pal'griz'a
palgrizaj	pal'griz'a'j
paligas	pal'ig'as
paligis	pal'ig'is
paliĝas	pal'iĝ'as
paliĝis	pal'iĝ'is
paliĝinta	pal'iĝ'int'a
paliĝinte	pal'iĝ'int'e
palruĝa	pal'ruĝ'a
palruĝan	pal'ruĝ'a'n
palaca	palac'a
palacaj	palac'a'j
palacan	palac'a'n
palace	palac'e
palaco	palac'o
palacoj	palac'o'j
palacojn	palac'o'j'n
palacon	palac'o'n
palaceto	palac'et'o
palackomplekso	palac'kompleks'o
paladio	paladi'o
palankeno	palanken'o
palankenon	palanken'o'n
palasa	palas'a
palaso	palas'o
palata	palat'a
palataj	palat'a'j
palatan	palat'a'n
palato	palat'o
palaton	palat'o'n
palatigita	palat'ig'it'a
palatigitaj	palat'ig'it'a'j
palataligo	palatal'ig'o
palataligon	palatal'ig'o'n
palatina	palatin'a
palatino	palatin'o
palatinata	palatinat'a
palatinato	palatinat'o
palaŭo	palaŭ'o
palavano	palavan'o
paleo	pale'o
paledoj	paled'o'j
paleoceno	paleocen'o
paleolitika	paleolitik'a
paleolitikaj	paleolitik'a'j
paleolitiko	paleolitik'o
paleontologo	paleontolog'o
paleontologoj	paleontolog'o'j
paleontologiaj	paleontolog'i'a'j
paleontologio	paleontolog'i'o
paleozoiko	paleozoik'o
palestina	palestin'a
palestinaj	palestin'a'j
palestinajn	palestin'a'j'n
palestinan	palestin'a'n
palestine	palestin'e
palestino	palestin'o
palestinon	palestin'o'n
palestinano	palestin'an'o
palestinanoj	palestin'an'o'j
palestinanojn	palestin'an'o'j'n
paletro	paletr'o
paletron	paletr'o'n
palia	pali'a
paliativa	paliativ'a
palindromo	palindrom'o
paliso	palis'o
palisoj	palis'o'j
palisojn	palis'o'j'n
palison	palis'o'n
palisaro	palis'ar'o
palisaron	palis'ar'o'n
paliseto	palis'et'o
palisandro	palisandr'o
paliumo	palium'o
palma	palm'a
palmaj	palm'a'j
palmo	palm'o
palmoj	palm'o'j
palmojn	palm'o'j'n
palmon	palm'o'n
palmarbo	palm'arb'o
palmarboj	palm'arb'o'j
palmfolioj	palm'foli'o'j
palmoleo	palm'ole'o
palmira	palmir'a
palmiro	palmir'o
palpa	palp'a
palpaj	palp'a'j
palpajn	palp'a'j'n
palpan	palp'a'n
palpas	palp'as
palpe	palp'e
palpi	palp'i
palpis	palp'is
palpu	palp'u
palpadis	palp'ad'is
palpado	palp'ad'o
palpante	palp'ant'e
palpebla	palp'ebl'a
palpeble	palp'ebl'e
palpserĉis	palp'serĉ'is
palpebro	palpebr'o
palpebroj	palpebr'o'j
palpebrojn	palpebr'o'j'n
palpebron	palpebr'o'n
palpebruma	palpebr'um'a
palpebrumas	palpebr'um'as
palpebrumi	palpebr'um'i
palpebrumis	palpebr'um'is
palpebrumo	palpebr'um'o
palpebrumado	palpebr'um'ad'o
palpebrumante	palpebr'um'ant'e
palto	palt'o
paltoj	palt'o'j
paltojn	palt'o'j'n
palton	palt'o'n
pamfleto	pamflet'o
pamfletoj	pamflet'o'j
pamfletojn	pamflet'o'j'n
pampa	pamp'a
pampo	pamp'o
pana	pan'a
pano	pan'o
panoj	pan'o'j
panojn	pan'o'j'n
panon	pan'o'n
panbakisto	pan'bak'ist'o
panbulon	pan'bul'o'n
panejo	pan'ej'o
paneroj	pan'er'o'j
panerojn	pan'er'o'j'n
paneron	pan'er'o'n
panisto	pan'ist'o
panpeco	pan'pec'o
panpecon	pan'pec'o'n
pantranĉaĵoj	pan'tranĉ'aĵ'o'j
pantranĉaĵon	pan'tranĉ'aĵ'o'n
panvendejo	pan'vend'ej'o
panaceo	panace'o
panaceon	panace'o'n
panama	panam'a
panamo	panam'o
pando	pand'o
pandoj	pand'o'j
pandojn	pand'o'j'n
pandon	pand'o'n
pandemio	pandemi'o
pandiono	pandion'o
pandionon	pandion'o'n
pandora	pandor'a
pandoro	pandor'o
panduo	pandu'o
panea	pane'a
paneas	pane'as
panei	pane'i
paneis	pane'is
paneo	pane'o
paneoj	pane'o'j
panegiro	panegir'o
panegiron	panegir'o'n
panelo	panel'o
paneloj	panel'o'j
panelojn	panel'o'j'n
panelon	panel'o'n
panika	panik'a
panikaj	panik'a'j
panikas	panik'as
panike	panik'e
paniki	panik'i
panikis	panik'is
paniko	panik'o
panikon	panik'o'n
panikiĝas	panik'iĝ'as
panikiĝi	panik'iĝ'i
panikiĝis	panik'iĝ'is
panjo	panj'o
panjoj	panj'o'j
panjon	panj'o'n
pankreata	pankreat'a
pankreataj	pankreat'a'j
pankreatan	pankreat'a'n
pankreato	pankreat'o
panonio	panoni'o
panorama	panoram'a
panoraman	panoram'a'n
panoramo	panoram'o
panoramoj	panoram'o'j
panoramojn	panoram'o'j'n
panoramon	panoram'o'n
panoramejo	panoram'ej'o
panslavismo	panslavism'o
pantalono	pantalon'o
pantalonoj	pantalon'o'j
pantalonojn	pantalon'o'j'n
pantalonon	pantalon'o'n
pantaloneto	pantalon'et'o
pantaloneton	pantalon'et'o'n
pantalonfendon	pantalon'fend'o'n
panteismo	panteism'o
panteono	panteon'o
panteonon	panteon'o'n
pantero	panter'o
panteroj	panter'o'j
panteron	panter'o'n
pantoflo	pantofl'o
pantofloj	pantofl'o'j
pantoflojn	pantofl'o'j'n
pantomimo	pantomim'o
papa	pap'a
papaj	pap'a'j
papajn	pap'a'j'n
papan	pap'a'n
papo	pap'o
papoj	pap'o'j
papojn	pap'o'j'n
papon	pap'o'n
papado	pap'ad'o
papeco	pap'ec'o
papofico	pap'ofic'o
papoficon	pap'ofic'o'n
papage	papag'e
papago	papag'o
papagoj	papag'o'j
papagon	papag'o'n
papageto	papag'et'o
papagetoj	papag'et'o'j
papajo	papaj'o
papava	papav'a
papavo	papav'o
papavoj	papav'o'j
papera	paper'a
paperaj	paper'a'j
paperajn	paper'a'j'n
paperan	paper'a'n
papere	paper'e
papero	paper'o
paperoj	paper'o'j
paperojn	paper'o'j'n
paperon	paper'o'n
paperaĵoj	paper'aĵ'o'j
paperaĵojn	paper'aĵ'o'j'n
paperaro	paper'ar'o
paperaroj	paper'ar'o'j
paperarojn	paper'ar'o'j'n
paperaron	paper'ar'o'n
paperbendo	paper'bend'o
papereto	paper'et'o
paperetoj	paper'et'o'j
papereton	paper'et'o'n
paperfabriko	paper'fabrik'o
paperfolio	paper'foli'o
paperfolioj	paper'foli'o'j
paperfoliojn	paper'foli'o'j'n
paperfolion	paper'foli'o'n
paperlaboro	paper'labor'o
papermono	paper'mon'o
paperpeco	paper'pec'o
paperpecon	paper'pec'o'n
paperpoŝte	paper'poŝt'e
paperpoŝto	paper'poŝt'o
paperproduktado	paper'produkt'ad'o
papertondado	paper'tond'ad'o
papertondaĵoj	paper'tond'aĵ'o'j
papertondaĵojn	paper'tond'aĵ'o'j'n
paperujo	paper'uj'o
paperujon	paper'uj'o'n
papiamento	papiament'o
papilia	papili'a
papilio	papili'o
papilioj	papili'o'j
papiliojn	papili'o'j'n
papilion	papili'o'n
papirusaj	papirus'a'j
papiruso	papirus'o
papirusoj	papirus'o'j
papiruson	papirus'o'n
papriko	paprik'o
paprikon	paprik'o'n
papua	papu'a
papuaj	papu'a'j
papuo	papu'o
papuonovgvineo	papu'o'nov'gvine'o
para	par'a
paraj	par'a'j
paran	par'a'n
pare	par'e
paro	par'o
paroj	par'o'j
parojn	par'o'j'n
paron	par'o'n
pareto	par'et'o
paretoj	par'et'o'j
parhufuloj	par'huf'ul'o'j
parigo	par'ig'o
parigado	par'ig'ad'o
parigita	par'ig'it'a
parigitaj	par'ig'it'a'j
parigitajn	par'ig'it'a'j'n
pariĝa	par'iĝ'a
pariĝas	par'iĝ'as
pariĝi	par'iĝ'i
pariĝis	par'iĝ'is
pariĝo	par'iĝ'o
pariĝada	par'iĝ'ad'a
pariĝadaj	par'iĝ'ad'a'j
pariĝado	par'iĝ'ad'o
pariĝintaj	par'iĝ'int'a'j
parulo	par'ul'o
parulino	par'ul'in'o
paramagneta	para'magnet'a
paramagnetaj	para'magnet'a'j
paramilitaj	para'milit'a'j
parapsikologio	para'psik'olog'i'o
parabola	parabol'a
parabolaj	parabol'a'j
parabolan	parabol'a'n
parabolo	parabol'o
paraboloj	parabol'o'j
parabolojn	parabol'o'j'n
parabolon	parabol'o'n
parabolantenoj	parabol'anten'o'j
paraboloido	parabol'oid'o
parada	parad'a
paradaj	parad'a'j
paradas	parad'as
parade	parad'e
paradi	parad'i
paradis	parad'is
parado	parad'o
paradoj	parad'o'j
paradojn	parad'o'j'n
paradon	parad'o'n
paradigma	paradigm'a
paradigmo	paradigm'o
paradigmoj	paradigm'o'j
paradigmojn	paradigm'o'j'n
paradigmon	paradigm'o'n
paradigmata	paradigm'at'a
paradiza	paradiz'a
paradizan	paradiz'a'n
paradizo	paradiz'o
paradizoj	paradiz'o'j
paradizon	paradiz'o'n
paradoksa	paradoks'a
paradoksaj	paradoks'a'j
paradoksan	paradoks'a'n
paradokse	paradoks'e
paradokso	paradoks'o
paradoksoj	paradoks'o'j
paradoksojn	paradoks'o'j'n
paradokson	paradoks'o'n
parafino	parafin'o
parafrazi	parafraz'i
parafrazo	parafraz'o
parafrazoj	parafraz'o'j
parafrazon	parafraz'o'n
paragrafo	paragraf'o
paragrafoj	paragraf'o'j
paragrafojn	paragraf'o'j'n
paragrafon	paragraf'o'n
paragvaja	paragvaj'a
paragvajo	paragvaj'o
paralakso	paralaks'o
paralela	paralel'a
paralelaj	paralel'a'j
paralelajn	paralel'a'j'n
paralelan	paralel'a'n
paralelas	paralel'as
paralele	paralel'e
paralelo	paralel'o
paraleloj	paralel'o'j
paralelojn	paralel'o'j'n
paralelon	paralel'o'n
paraleleco	paralel'ec'o
paralelecon	paralel'ec'o'n
paraleligo	paralel'ig'o
paraleligoj	paralel'ig'o'j
paraleligon	paralel'ig'o'n
paralelismo	paralel'ism'o
paralelogramo	paralelogram'o
paralimpika	paralimpik'a
paralimpikoj	paralimpik'o'j
paralimpikojn	paralimpik'o'j'n
paralizas	paraliz'as
paralizi	paraliz'i
paralizis	paraliz'is
paralizo	paraliz'o
paralizoj	paraliz'o'j
paralizon	paraliz'o'n
paraliziĝis	paraliz'iĝ'is
paralizita	paraliz'it'a
paralizitaj	paraliz'it'a'j
paralogismo	paralogism'o
parametro	parametr'o
parametroj	parametr'o'j
parametrojn	parametr'o'j'n
parametron	parametr'o'n
paranao	parana'o
paranoja	paranoj'a
paranojo	paranoj'o
parapeto	parapet'o
paraŝuto	paraŝut'o
paraŝutoj	paraŝut'o'j
paraŝutojn	paraŝut'o'j'n
paraŝuton	paraŝut'o'n
paraŝutado	paraŝut'ad'o
paraŝutistoj	paraŝut'ist'o'j
paraŝutsoldatoj	paraŝut'soldat'o'j
parazita	parazit'a
parazitaj	parazit'a'j
parazitajn	parazit'a'j'n
parazitas	parazit'as
parazito	parazit'o
parazitoj	parazit'o'j
parazitojn	parazit'o'j'n
paraziton	parazit'o'n
parazitado	parazit'ad'o
parazitismo	parazit'ism'o
parcelo	parcel'o
parceloj	parcel'o'j
parcelojn	parcel'o'j'n
parcelon	parcel'o'n
pardonas	pardon'as
pardoni	pardon'i
pardonis	pardon'is
pardono	pardon'o
pardonon	pardon'o'n
pardonos	pardon'os
pardonu	pardon'u
pardonus	pardon'us
pardonado	pardon'ad'o
pardonante	pardon'ant'e
pardonata	pardon'at'a
pardonebla	pardon'ebl'a
pardonema	pardon'em'a
pardonita	pardon'it'a
pardonitaj	pardon'it'a'j
pardonpeta	pardon'pet'a
pardonpetan	pardon'pet'a'n
pardonpetas	pardon'pet'as
pardonpete	pardon'pet'e
pardonpeti	pardon'pet'i
pardonpetis	pardon'pet'is
pardonpeto	pardon'pet'o
pardonpetoj	pardon'pet'o'j
pardonpetojn	pardon'pet'o'j'n
pardonpeton	pardon'pet'o'n
pardonpetos	pardon'pet'os
pardonpetu	pardon'pet'u
pardonpetismo	pardon'pet'ism'o
parenca	parenc'a
parencaj	parenc'a'j
parencajn	parenc'a'j'n
parencan	parenc'a'n
parencas	parenc'as
parence	parenc'e
parenco	parenc'o
parencoj	parenc'o'j
parencojn	parenc'o'j'n
parencon	parenc'o'n
parencaro	parenc'ar'o
parencaron	parenc'ar'o'n
parenceco	parenc'ec'o
parencecon	parenc'ec'o'n
parenciĝis	parenc'iĝ'is
parencino	parenc'in'o
parenteze	parentez'e
parentezo	parentez'o
parentezoj	parentez'o'j
parfuma	parfum'a
parfumo	parfum'o
parfumoj	parfum'o'j
parfumojn	parfum'o'j'n
parfumon	parfum'o'n
parfumfabrikado	parfum'fabrik'ad'o
parfumita	parfum'it'a
parfumitaj	parfum'it'a'j
pargeto	parget'o
pario	pari'o
parietala	parietal'a
pariso	paris'o
parison	paris'o'n
pariza	pariz'a
parizaj	pariz'a'j
parizan	pariz'a'n
parizo	pariz'o
parizon	pariz'o'n
parizano	pariz'an'o
parizanoj	pariz'an'o'j
parka	park'a
parkaj	park'a'j
parkas	park'as
parki	park'i
parkis	park'is
parko	park'o
parkoj	park'o'j
parkojn	park'o'j'n
parkon	park'o'n
parkado	park'ad'o
parkejo	park'ej'o
parkejoj	park'ej'o'j
parkejon	park'ej'o'n
parketo	park'et'o
parkita	park'it'a
parkitaj	park'it'a'j
parkstrato	park'strat'o
parkumas	park'um'as
parkumi	park'um'i
parkumis	park'um'is
parkumado	park'um'ad'o
parkumadon	park'um'ad'o'n
parkumejo	park'um'ej'o
parkumejoj	park'um'ej'o'j
parkumita	park'um'it'a
parkere	parker'e
parkeri	parker'i
parkeris	parker'is
parkerado	parker'ad'o
parkerigas	parker'ig'as
parkerigi	parker'ig'i
parkerigis	parker'ig'is
parkerigo	parker'ig'o
parkerigu	parker'ig'u
parkerigado	parker'ig'ad'o
parkerigita	parker'ig'it'a
parkerigitaj	parker'ig'it'a'j
parkinsona	parkinson'a
parkinsonmalsano	parkinson'mal'san'o
parlamenta	parlament'a
parlamentaj	parlament'a'j
parlamentajn	parlament'a'j'n
parlamentan	parlament'a'n
parlamento	parlament'o
parlamentoj	parlament'o'j
parlamentojn	parlament'o'j'n
parlamenton	parlament'o'n
parlamentano	parlament'an'o
parlamentanoj	parlament'an'o'j
parlamentanojn	parlament'an'o'j'n
parlamentejo	parlament'ej'o
parlamentestro	parlament'estr'o
parlamentismo	parlament'ism'o
parlamentario	parlamentari'o
parnasa	parnas'a
parnaso	parnas'o
parodia	parodi'a
parodiaj	parodi'a'j
parodian	parodi'a'n
parodias	parodi'as
parodii	parodi'i
parodiis	parodi'is
parodio	parodi'o
parodioj	parodi'o'j
parodion	parodi'o'n
parodiita	parodi'it'a
paroĥa	paroĥ'a
paroĥaj	paroĥ'a'j
paroĥan	paroĥ'a'n
paroĥo	paroĥ'o
paroĥoj	paroĥ'o'j
paroĥojn	paroĥ'o'j'n
paroĥon	paroĥ'o'n
paroĥanoj	paroĥ'an'o'j
paroĥejo	paroĥ'ej'o
paroĥejoj	paroĥ'ej'o'j
paroĥestro	paroĥ'estr'o
paroĥestroj	paroĥ'estr'o'j
paroĥestron	paroĥ'estr'o'n
paroĥestrejo	paroĥ'estr'ej'o
paroka	parok'a
parokaj	parok'a'j
paroko	parok'o
parokoj	parok'o'j
parokanaro	parok'an'ar'o
parokanaroj	parok'an'ar'o'j
parokanarojn	parok'an'ar'o'j'n
parokanaron	parok'an'ar'o'n
parokestro	parok'estr'o
parokestroj	parok'estr'o'j
paroksismo	paroksism'o
parola	parol'a
parolaj	parol'a'j
parolajn	parol'a'j'n
parolan	parol'a'n
parolas	parol'as
parole	parol'e
paroli	parol'i
parolis	parol'is
parolo	parol'o
paroloj	parol'o'j
parolojn	parol'o'j'n
parolon	parol'o'n
parolos	parol'os
parolu	parol'u
parolus	parol'us
paroladaj	parol'ad'a'j
paroladas	parol'ad'as
paroladi	parol'ad'i
paroladis	parol'ad'is
parolado	parol'ad'o
paroladoj	parol'ad'o'j
paroladojn	parol'ad'o'j'n
paroladon	parol'ad'o'n
paroladeraroj	parol'ad'erar'o'j
paroladpercepto	parol'ad'percept'o
paroladproduktado	parol'ad'produkt'ad'o
parolagoj	parol'ag'o'j
parolanta	parol'ant'a
parolantaj	parol'ant'a'j
parolantajn	parol'ant'a'j'n
parolantan	parol'ant'a'n
parolantas	parol'ant'as
parolante	parol'ant'e
parolanto	parol'ant'o
parolantoj	parol'ant'o'j
parolantojn	parol'ant'o'j'n
parolanton	parol'ant'o'n
parolantaro	parol'ant'ar'o
parolata	parol'at'a
parolataj	parol'at'a'j
parolatajn	parol'at'a'j'n
parolatan	parol'at'a'n
parolatas	parol'at'as
parolate	parol'at'e
parolebla	parol'ebl'a
parolema	parol'em'a
parolemaj	parol'em'a'j
paroleman	parol'em'a'n
paroleraro	parol'erar'o
paroleraroj	parol'erar'o'j
paroletas	parol'et'as
parolfiguroj	parol'figur'o'j
paroliga	parol'ig'a
paroligaj	parol'ig'a'j
paroligas	parol'ig'as
paroligi	parol'ig'i
paroliĝas	parol'iĝ'as
parolilo	parol'il'o
parolilon	parol'il'o'n
parolinta	parol'int'a
parolinte	parol'int'e
parolinto	parol'int'o
parolisto	parol'ist'o
parolistoj	parol'ist'o'j
parolita	parol'it'a
parolitaj	parol'it'a'j
parolitajn	parol'it'a'j'n
parolitan	parol'it'a'n
parolite	parol'it'e
parolkapablo	parol'kapabl'o
parolkapablon	parol'kapabl'o'n
parolkomunumo	parol'komun'um'o
parollibereco	parol'liber'ec'o
parollingva	parol'lingv'a
parollingvaj	parol'lingv'a'j
parolmaniero	parol'manier'o
parolmanieroj	parol'manier'o'j
parolmanieron	parol'manier'o'n
parolonta	parol'ont'a
parolorganoj	parol'organ'o'j
parolrajton	parol'rajt'o'n
parolrekono	parol're'kon'o
parolsintezo	parol'sintez'o
parolsonoj	parol'son'o'j
paroltemo	parol'tem'o
paroltemon	parol'tem'o'n
parolturno	parol'turn'o
parolturnoj	parol'turn'o'j
parolturnojn	parol'turn'o'j'n
parolunuo	parol'unu'o
parsekoj	parsek'o'j
parsioj	parsi'o'j
parta	part'a
partaj	part'a'j
partajn	part'a'j'n
partan	part'a'n
parte	part'e
parto	part'o
partoj	part'o'j
partojn	part'o'j'n
parton	part'o'n
partatempa	part'a'temp'a
partatempaj	part'a'temp'a'j
partatempan	part'a'temp'a'n
partatempe	part'a'temp'e
parteto	part'et'o
partetoj	part'et'o'j
parteton	part'et'o'n
partigas	part'ig'as
partigi	part'ig'i
partigo	part'ig'o
partigon	part'ig'o'n
partigita	part'ig'it'a
partopagoj	part'o'pag'o'j
partoprena	part'o'pren'a
partoprenaj	part'o'pren'a'j
partoprenan	part'o'pren'a'n
partoprenas	part'o'pren'as
partopreni	part'o'pren'i
partoprenis	part'o'pren'is
partopreno	part'o'pren'o
partoprenoj	part'o'pren'o'j
partoprenon	part'o'pren'o'n
partoprenos	part'o'pren'os
partoprenu	part'o'pren'u
partoprenus	part'o'pren'us
partoprenadis	part'o'pren'ad'is
partoprenado	part'o'pren'ad'o
partoprenadon	part'o'pren'ad'o'n
partoprenanta	part'o'pren'ant'a
partoprenantaj	part'o'pren'ant'a'j
partoprenantajn	part'o'pren'ant'a'j'n
partoprenante	part'o'pren'ant'e
partoprenanto	part'o'pren'ant'o
partoprenantoj	part'o'pren'ant'o'j
partoprenantojn	part'o'pren'ant'o'j'n
partoprenanton	part'o'pren'ant'o'n
