macojn	mac'o'j'n
malaktivigi	mal'aktiv'ig'i
malaktivigo	mal'aktiv'ig'o
malaktivigita	mal'aktiv'ig'it'a
malaktuala	mal'aktual'a
malaliĝis	mal'al'iĝ'is
malalta	mal'alt'a
malaltaj	mal'alt'a'j
malaltajn	mal'alt'a'j'n
malaltan	mal'alt'a'n
malaltas	mal'alt'as
malalte	mal'alt'e
malalten	mal'alt'e'n
malalto	mal'alt'o
malaltaĵajn	mal'alt'aĵ'a'j'n
malaltaĵo	mal'alt'aĵ'o
malaltaĵoj	mal'alt'aĵ'o'j
malaltdenseca	mal'alt'dens'ec'a
malaltebenaĵaj	mal'alt'eben'aĵ'a'j
malaltebenaĵo	mal'alt'eben'aĵ'o
malaltebenaĵoj	mal'alt'eben'aĵ'o'j
malaltebenaĵon	mal'alt'eben'aĵ'o'n
malaltenergio	mal'alt'energi'o
malaltfrekvenco	mal'alt'frekvenc'o
malaltfrekvencoj	mal'alt'frekvenc'o'j
malaltigas	mal'alt'ig'as
malaltigi	mal'alt'ig'i
malaltigis	mal'alt'ig'is
malaltigo	mal'alt'ig'o
malaltigon	mal'alt'ig'o'n
malaltigos	mal'alt'ig'os
malaltigu	mal'alt'ig'u
malaltigado	mal'alt'ig'ad'o
malaltigante	mal'alt'ig'ant'e
malaltigita	mal'alt'ig'it'a
malaltigitaj	mal'alt'ig'it'a'j
malaltiĝas	mal'alt'iĝ'as
malaltiĝi	mal'alt'iĝ'i
malaltiĝis	mal'alt'iĝ'is
malaltiĝo	mal'alt'iĝ'o
malaltiĝon	mal'alt'iĝ'o'n
malaltiĝos	mal'alt'iĝ'os
malaltkarbona	mal'alt'karbon'a
malaltkosta	mal'alt'kost'a
malaltkostaj	mal'alt'kost'a'j
malaltkostajn	mal'alt'kost'a'j'n
malaltkostan	mal'alt'kost'a'n
malaltkreska	mal'alt'kresk'a
malaltkvalita	mal'alt'kvalit'a
malaltkvalitaj	mal'alt'kvalit'a'j
malaltmotoraj	mal'alt'motor'a'j
malaltnivela	mal'alt'nivel'a
malaltnivelaj	mal'alt'nivel'a'j
malaltprema	mal'alt'prem'a
malaltpremaj	mal'alt'prem'a'j
malaltranga	mal'alt'rang'a
malaltrangaj	mal'alt'rang'a'j
malaltrapideca	mal'alt'rapid'ec'a
malaltrapidecan	mal'alt'rapid'ec'a'n
malaltsalajraj	mal'alt'salajr'a'j
malaltstatura	mal'alt'statur'a
malalttensia	mal'alt'tensi'a
malalttensiaj	mal'alt'tensi'a'j
malama	mal'am'a
malamas	mal'am'as
malame	mal'am'e
malami	mal'am'i
malamis	mal'am'is
malamo	mal'am'o
malamoj	mal'am'o'j
malamojn	mal'am'o'j'n
malamon	mal'am'o'n
malamos	mal'am'os
malamu	mal'am'u
malamus	mal'am'us
malamante	mal'am'ant'e
malamanto	mal'am'ant'o
malamata	mal'am'at'a
malamataj	mal'am'at'a'j
malamatan	mal'am'at'a'n
malamegas	mal'am'eg'as
malamegis	mal'am'eg'is
malamego	mal'am'eg'o
malaminda	mal'am'ind'a
malambigua	mal'ambigu'a
malambiguaj	mal'ambigu'a'j
malambiguan	mal'ambigu'a'n
malambigue	mal'ambigu'e
malambiguigi	mal'ambigu'ig'i
malambiguigo	mal'ambigu'ig'o
malamika	mal'amik'a
malamikaj	mal'amik'a'j
malamikajn	mal'amik'a'j'n
malamikan	mal'amik'a'n
malamikas	mal'amik'as
malamike	mal'amik'e
malamiko	mal'amik'o
malamikoj	mal'amik'o'j
malamikojn	mal'amik'o'j'n
malamikon	mal'amik'o'n
malamikaro	mal'amik'ar'o
malamikaron	mal'amik'ar'o'n
malamikeco	mal'amik'ec'o
malamikecoj	mal'amik'ec'o'j
malamikecojn	mal'amik'ec'o'j'n
malamikecon	mal'amik'ec'o'n
malamikiĝis	mal'amik'iĝ'is
malamikino	mal'amik'in'o
malampleksa	mal'ampleks'a
malantaua	mal'antaŭ'a
malantaŭa	mal'antaŭ'a
malantaŭaj	mal'antaŭ'a'j
malantaŭajn	mal'antaŭ'a'j'n
malantaŭan	mal'antaŭ'a'n
malantaue	mal'antaŭ'e
malantaŭe	mal'antaŭ'e
malantauen	mal'antaŭ'e'n
malantaŭen	mal'antaŭ'e'n
malantaŭo	mal'antaŭ'o
malantaŭon	mal'antaŭ'o'n
malantaŭu	mal'antaŭ'u
malantaŭeniras	mal'antaŭ'e'n'ir'as
malantaŭeniri	mal'antaŭ'e'n'ir'i
malantaŭeniris	mal'antaŭ'e'n'ir'is
malantaŭenirita	mal'antaŭ'e'n'ir'it'a
malantaŭeniritaj	mal'antaŭ'e'n'ir'it'a'j
malaperas	mal'aper'as
malaperi	mal'aper'i
malaperis	mal'aper'is
malapero	mal'aper'o
malaperoj	mal'aper'o'j
malaperon	mal'aper'o'n
malaperos	mal'aper'os
malaperu	mal'aper'u
malaperus	mal'aper'us
malaperadis	mal'aper'ad'is
malaperado	mal'aper'ad'o
malaperanta	mal'aper'ant'a
malaperantaj	mal'aper'ant'a'j
malaperante	mal'aper'ant'e
malaperigas	mal'aper'ig'as
malaperigi	mal'aper'ig'i
malaperigis	mal'aper'ig'is
malaperigo	mal'aper'ig'o
malaperinta	mal'aper'int'a
malaperintaj	mal'aper'int'a'j
malaperintajn	mal'aper'int'a'j'n
malaperintan	mal'aper'int'a'n
malaperintoj	mal'aper'int'o'j
malaperita	mal'aper'it'a
malaperonta	mal'aper'ont'a
malapogi	mal'apog'i
malaprobas	mal'aprob'as
malaprobe	mal'aprob'e
malaprobi	mal'aprob'i
malaprobis	mal'aprob'is
malaprobo	mal'aprob'o
malaproboj	mal'aprob'o'j
malaprobon	mal'aprob'o'n
malaprobus	mal'aprob'us
malaprobado	mal'aprob'ad'o
malaprobante	mal'aprob'ant'e
malaprobinda	mal'aprob'ind'a
malaprobita	mal'aprob'it'a
malaprobitaj	mal'aprob'it'a'j
malarmado	mal'arm'ad'o
malarmadon	mal'arm'ad'o'n
malatenta	mal'atent'a
malatentas	mal'atent'as
malatenti	mal'atent'i
malatentis	mal'atent'is
malatento	mal'atent'o
malatentigas	mal'atent'ig'as
malatentigi	mal'atent'ig'i
malatentigita	mal'atent'ig'it'a
malatentigitaj	mal'atent'ig'it'a'j
malatentoeraro	mal'atent'o'erar'o
malatentoeraron	mal'atent'o'erar'o'n
malatesta	mal'atest'a
malavantaĝa	mal'avantaĝ'a
malavantaĝaj	mal'avantaĝ'a'j
malavantaĝe	mal'avantaĝ'e
malavantaĝo	mal'avantaĝ'o
malavantaĝoj	mal'avantaĝ'o'j
malavantaĝojn	mal'avantaĝ'o'j'n
malavantaĝon	mal'avantaĝ'o'n
malavara	mal'avar'a
malavaraj	mal'avar'a'j
malavarajn	mal'avar'a'j'n
malavaran	mal'avar'a'n
malavaras	mal'avar'as
malavare	mal'avar'e
malavaro	mal'avar'o
malavareco	mal'avar'ec'o
malavarecon	mal'avar'ec'o'n
malbaras	mal'bar'as
malbari	mal'bar'i
malbaris	mal'bar'is
malbarado	mal'bar'ad'o
malbarita	mal'bar'it'a
malbaritaj	mal'bar'it'a'j
malbela	mal'bel'a
malbelaj	mal'bel'a'j
malbelajn	mal'bel'a'j'n
malbelan	mal'bel'a'n
malbelas	mal'bel'as
malbele	mal'bel'e
malbelo	mal'bel'o
malbeleco	mal'bel'ec'o
malbelecon	mal'bel'ec'o'n
malbelega	mal'bel'eg'a
malbelegaj	mal'bel'eg'a'j
malbeligas	mal'bel'ig'as
malbeligis	mal'bel'ig'is
malbelulo	mal'bel'ul'o
malbenas	mal'ben'as
malbeni	mal'ben'i
malbenis	mal'ben'is
malbeno	mal'ben'o
malbenoj	mal'ben'o'j
malbenojn	mal'ben'o'j'n
malbenon	mal'ben'o'n
malbenos	mal'ben'os
malbenu	mal'ben'u
malbenante	mal'ben'ant'e
malbeninda	mal'ben'ind'a
malbenita	mal'ben'it'a
malbenitaj	mal'ben'it'a'j
malbenitan	mal'ben'it'a'n
malbloki	mal'blok'i
malbona	mal'bon'a
malbonaj	mal'bon'a'j
malbonajn	mal'bon'a'j'n
malbonan	mal'bon'a'n
malbonas	mal'bon'as
malbone	mal'bon'e
malbonis	mal'bon'is
malbono	mal'bon'o
malbonoj	mal'bon'o'j
malbonojn	mal'bon'o'j'n
malbonon	mal'bon'o'n
malbonaĵo	mal'bon'aĵ'o
malbonaĵoj	mal'bon'aĵ'o'j
malbonaĵojn	mal'bon'aĵ'o'j'n
malbonaĵon	mal'bon'aĵ'o'n
malbonaŭdaj	mal'bon'aŭd'a'j
malbonaŭgura	mal'bon'aŭgur'a
malbonaŭguraj	mal'bon'aŭgur'a'j
malbonaŭguran	mal'bon'aŭgur'a'n
malboneco	mal'bon'ec'o
malbonecon	mal'bon'ec'o'n
malbonega	mal'bon'eg'a
malbonegaj	mal'bon'eg'a'j
malbonege	mal'bon'eg'e
malbonfama	mal'bon'fam'a
malbonfaroj	mal'bon'far'o'j
malbonfarantoj	mal'bon'far'ant'o'j
malbonfarta	mal'bon'fart'a
malbonfartas	mal'bon'fart'as
malbonfarto	mal'bon'fart'o
malbonfarton	mal'bon'fart'o'n
malbongusta	mal'bon'gust'a
malbonhumora	mal'bon'humor'a
malbonhumore	mal'bon'humor'e
malbonigas	mal'bon'ig'as
malbonigi	mal'bon'ig'i
malbonigis	mal'bon'ig'is
malboniĝas	mal'bon'iĝ'as
malboniĝi	mal'bon'iĝ'i
malboniĝis	mal'bon'iĝ'is
malboniĝo	mal'bon'iĝ'o
malboniĝos	mal'bon'iĝ'os
malboniĝanta	mal'bon'iĝ'ant'a
malbonintenca	mal'bon'intenc'a
malbonkaza	mal'bon'kaz'a
malbonkonduta	mal'bon'kondut'a
malbonkora	mal'bon'kor'a
malbonkvalita	mal'bon'kvalit'a
malbonkvalitaj	mal'bon'kvalit'a'j
malbonkvalitan	mal'bon'kvalit'a'n
malbonodora	mal'bon'odor'a
malbonodoraj	mal'bon'odor'a'j
malbonodoran	mal'bon'odor'a'n
malbonodoras	mal'bon'odor'as
malbonodoris	mal'bon'odor'is
malbonodoro	mal'bon'odor'o
malbonsorta	mal'bon'sort'a
malbonŝanca	mal'bon'ŝanc'a
malbonŝancaj	mal'bon'ŝanc'a'j
malbonŝance	mal'bon'ŝanc'e
malbonŝanco	mal'bon'ŝanc'o
malbonŝancoj	mal'bon'ŝanc'o'j
malbonŝancon	mal'bon'ŝanc'o'n
malbonŝanculo	mal'bon'ŝanc'ul'o
malbonulo	mal'bon'ul'o
malbonuloj	mal'bon'ul'o'j
malbonulojn	mal'bon'ul'o'j'n
malbonulon	mal'bon'ul'o'n
malbonvaro	mal'bon'var'o
malbonvaron	mal'bon'var'o'n
malbonvola	mal'bon'vol'a
malbonvolaj	mal'bon'vol'a'j
malbrila	mal'bril'a
malbrilaj	mal'bril'a'j
malbrile	mal'bril'e
malbutonumis	mal'buton'um'is
malbutonumita	mal'buton'um'it'a
malcedema	mal'ced'em'a
malcentra	mal'centr'a
malcentraj	mal'centr'a'j
malcentrigo	mal'centr'ig'o
malcentrigita	mal'centr'ig'it'a
malcentralizi	mal'centraliz'i
malcentralizo	mal'centraliz'o
malcentralizado	mal'centraliz'ad'o
malcentralizita	mal'centraliz'it'a
malcentralizitaj	mal'centraliz'it'a'j
malcerta	mal'cert'a
malcertaj	mal'cert'a'j
malcertas	mal'cert'as
malcerte	mal'cert'e
malcerteco	mal'cert'ec'o
malcertecon	mal'cert'ec'o'n
malĉasta	mal'ĉast'a
malĉasteco	mal'ĉast'ec'o
malĉeestas	mal'ĉe'est'as
malĉeestis	mal'ĉe'est'is
malĉeesto	mal'ĉe'est'o
malĉefa	mal'ĉef'a
malĉefaj	mal'ĉef'a'j
malĉefan	mal'ĉef'a'n
malĉifri	mal'ĉifr'i
malĉifrilo	mal'ĉifr'il'o
malĉifriloj	mal'ĉifr'il'o'j
maldankemo	mal'dank'em'o
maldaŭrigas	mal'daŭr'ig'as
maldaŭrigi	mal'daŭr'ig'i
maldaŭrigis	mal'daŭr'ig'is
maldaŭrigado	mal'daŭr'ig'ad'o
maldaŭrigante	mal'daŭr'ig'ant'e
maldaŭrigita	mal'daŭr'ig'it'a
maldaŭrigitaj	mal'daŭr'ig'it'a'j
maldeca	mal'dec'a
maldecaj	mal'dec'a'j
maldecajn	mal'dec'a'j'n
maldecan	mal'dec'a'n
maldecas	mal'dec'as
maldece	mal'dec'e
maldeco	mal'dec'o
maldekstra	mal'dekstr'a
maldekstraj	mal'dekstr'a'j
maldekstrajn	mal'dekstr'a'j'n
maldekstran	mal'dekstr'a'n
maldekstre	mal'dekstr'e
maldekstren	mal'dekstr'e'n
maldekstro	mal'dekstr'o
maldekstron	mal'dekstr'o'n
maldekstraflanka	mal'dekstr'a'flank'a
maldekstraflanke	mal'dekstr'a'flank'e
maldekstramana	mal'dekstr'a'man'a
maldekstramanaj	mal'dekstr'a'man'a'j
maldekstramanan	mal'dekstr'a'man'a'n
maldekstrema	mal'dekstr'em'a
maldekstremaj	mal'dekstr'em'a'j
maldekstremajn	mal'dekstr'em'a'j'n
maldekstrisma	mal'dekstr'ism'a
maldekstrismo	mal'dekstr'ism'o
maldekstroplej	mal'dekstr'o'plej
maldekstrula	mal'dekstr'ul'a
maldekstrulo	mal'dekstr'ul'o
maldekstruloj	mal'dekstr'ul'o'j
maldekstrularo	mal'dekstr'ul'ar'o
maldekstrume	mal'dekstr'um'e
maldelikata	mal'delikat'a
maldelikataj	mal'delikat'a'j
maldelikatan	mal'delikat'a'n
maldelikate	mal'delikat'e
maldemokratia	mal'demokrati'a
maldensa	mal'dens'a
maldensaj	mal'dens'a'j
maldensajn	mal'dens'a'j'n
maldensan	mal'dens'a'n
maldense	mal'dens'e
maldensarbaro	mal'dens'arb'ar'o
maldensarbaroj	mal'dens'arb'ar'o'j
maldenseco	mal'dens'ec'o
maldensejo	mal'dens'ej'o
maldensigas	mal'dens'ig'as
maldensigi	mal'dens'ig'i
maldensigo	mal'dens'ig'o
maldiafana	mal'diafan'a
maldiafanaj	mal'diafan'a'j
maldigna	mal'dign'a
maldika	mal'dik'a
maldikaj	mal'dik'a'j
maldikajn	mal'dik'a'j'n
maldikan	mal'dik'a'n
maldikas	mal'dik'as
maldike	mal'dik'e
maldikega	mal'dik'eg'a
maldiketa	mal'dik'et'a
maldikiga	mal'dik'ig'a
maldikigita	mal'dik'ig'it'a
maldikiĝas	mal'dik'iĝ'as
maldikiĝi	mal'dik'iĝ'i
maldikiĝis	mal'dik'iĝ'is
maldikiĝo	mal'dik'iĝ'o
maldikiĝinta	mal'dik'iĝ'int'a
maldiligenta	mal'diligent'a
maldiligentaj	mal'diligent'a'j
maldiligentas	mal'diligent'as
maldiligente	mal'diligent'e
maldiligento	mal'diligent'o
maldiligenteco	mal'diligent'ec'o
maldiligentulo	mal'diligent'ul'o
maldiskreta	mal'diskret'a
maldolĉa	mal'dolĉ'a
maldolĉaj	mal'dolĉ'a'j
maldolĉan	mal'dolĉ'a'n
maldolĉe	mal'dolĉ'e
maldorma	mal'dorm'a
maldormaj	mal'dorm'a'j
maldormas	mal'dorm'as
maldormi	mal'dorm'i
maldormis	mal'dorm'is
maldormo	mal'dorm'o
maldormon	mal'dorm'o'n
maldormigo	mal'dorm'ig'o
maldungas	mal'dung'as
maldungi	mal'dung'i
maldungis	mal'dung'is
maldungo	mal'dung'o
maldungoj	mal'dung'o'j
maldungojn	mal'dung'o'j'n
maldungon	mal'dung'o'n
maldungos	mal'dung'os
maldungu	mal'dung'u
maldungado	mal'dung'ad'o
maldungiĝis	mal'dung'iĝ'is
maldungita	mal'dung'it'a
maldungitaj	mal'dung'it'a'j
malebena	mal'eben'a
malebenaj	mal'eben'a'j
malebla	mal'ebl'a
maleblaj	mal'ebl'a'j
maleblan	mal'ebl'a'n
maleblas	mal'ebl'as
maleble	mal'ebl'e
maleblo	mal'ebl'o
malebleco	mal'ebl'ec'o
maleblecon	mal'ebl'ec'o'n
malebligas	mal'ebl'ig'as
malebligi	mal'ebl'ig'i
malebligis	mal'ebl'ig'is
malebligo	mal'ebl'ig'o
malebligos	mal'ebl'ig'os
malebligu	mal'ebl'ig'u
malebligus	mal'ebl'ig'us
malebligante	mal'ebl'ig'ant'e
malebria	mal'ebri'a
malefika	mal'efik'a
malefikaj	mal'efik'a'j
malefike	mal'efik'e
malegala	mal'egal'a
malegalaj	mal'egal'a'j
malegale	mal'egal'e
malegaleco	mal'egal'ec'o
malegalecoj	mal'egal'ec'o'j
malegalecojn	mal'egal'ec'o'j'n
malegalecon	mal'egal'ec'o'n
malekonomia	mal'ekonomi'a
malekvilibra	mal'ekvilibr'a
malekvilibraj	mal'ekvilibr'a'j
malekvilibro	mal'ekvilibr'o
malekvilibroj	mal'ekvilibr'o'j
malekvilibron	mal'ekvilibr'o'n
malekzisto	mal'ekzist'o
malelasta	mal'elast'a
maleleganta	mal'elegant'a
malema	mal'em'a
malemas	mal'em'as
maleme	mal'em'e
malemo	mal'em'o
malemon	mal'em'o'n
malemigi	mal'em'ig'i
malenua	mal'enu'a
malenuaj	mal'enu'a'j
malespera	mal'esper'a
malesperaj	mal'esper'a'j
malesperan	mal'esper'a'n
malesperas	mal'esper'as
malespere	mal'esper'e
malesperi	mal'esper'i
malesperis	mal'esper'is
malespero	mal'esper'o
malesperon	mal'esper'o'n
malesperu	mal'esper'u
malesperiga	mal'esper'ig'a
malesperigis	mal'esper'ig'is
malestas	mal'est'as
malestis	mal'est'is
malesto	mal'est'o
maleston	mal'est'o'n
malestado	mal'est'ad'o
malestima	mal'estim'a
malestimaj	mal'estim'a'j
malestiman	mal'estim'a'n
malestimas	mal'estim'as
malestime	mal'estim'e
malestimi	mal'estim'i
malestimis	mal'estim'is
malestimo	mal'estim'o
malestimon	mal'estim'o'n
malestimu	mal'estim'u
malestimata	mal'estim'at'a
