oj	o'j
obĵeti	obĵet'i
obĵetis	obĵet'is
obĵeto	obĵet'o
obĵetoj	obĵet'o'j
obĵetojn	obĵet'o'j'n
obĵeton	obĵet'o'n
oble	obl'e
obleco	obl'ec'o
oblato	oblat'o
oblatoj	oblat'o'j
oblaton	oblat'o'n
obligaciaj	obligaci'a'j
obligacio	obligaci'o
obligacioj	obligaci'o'j
obligaciojn	obligaci'o'j'n
obligacion	obligaci'o'n
oblikva	oblikv'a
oblikvaj	oblikv'a'j
oblikvajn	oblikv'a'j'n
oblikvan	oblikv'a'n
oblikve	oblikv'e
oblikvo	oblikv'o
oblikvoj	oblikv'o'j
obscena	obscen'a
obscenaj	obscen'a'j
obsceneco	obscen'ec'o
obseda	obsed'a
obsedas	obsed'as
obsede	obsed'e
obsedis	obsed'is
obsedo	obsed'o
obsedoj	obsed'o'j
obsedon	obsed'o'n
obsedanta	obsed'ant'a
obsedata	obsed'at'a
obsedita	obsed'it'a
obseditaj	obsed'it'a'j
observa	observ'a
observaj	observ'a'j
observajn	observ'a'j'n
observan	observ'a'n
observas	observ'as
observe	observ'e
observi	observ'i
observis	observ'is
observo	observ'o
observoj	observ'o'j
observojn	observ'o'j'n
observon	observ'o'n
observos	observ'os
observu	observ'u
observus	observ'us
observadas	observ'ad'as
observadi	observ'ad'i
observadis	observ'ad'is
observado	observ'ad'o
observadoj	observ'ad'o'j
observadojn	observ'ad'o'j'n
observadon	observ'ad'o'n
observaĵoj	observ'aĵ'o'j
observaĵojn	observ'aĵ'o'j'n
observanta	observ'ant'a
observantaj	observ'ant'a'j
observantajn	observ'ant'a'j'n
observantan	observ'ant'a'n
observante	observ'ant'e
observanto	observ'ant'o
observantoj	observ'ant'o'j
observantojn	observ'ant'o'j'n
observanton	observ'ant'o'n
observata	observ'at'a
observataj	observ'at'a'j
observebla	observ'ebl'a
observeblaj	observ'ebl'a'j
observeblajn	observ'ebl'a'j'n
observeblan	observ'ebl'a'n
observeblas	observ'ebl'as
observejo	observ'ej'o
observejoj	observ'ej'o'j
observema	observ'em'a
observemaj	observ'em'a'j
observigas	observ'ig'as
observigi	observ'ig'i
observita	observ'it'a
observitaj	observ'it'a'j
observitajn	observ'it'a'j'n
observitan	observ'it'a'n
observite	observ'it'e
observatorio	observatori'o
observatorioj	observatori'o'j
observatoriojn	observatori'o'j'n
observatorion	observatori'o'n
obsidiano	obsidian'o
obskura	obskur'a
obskuraj	obskur'a'j
obskurajn	obskur'a'j'n
obskuran	obskur'a'n
obskuras	obskur'as
obskure	obskur'e
obskuri	obskur'i
obskuris	obskur'is
obskuro	obskur'o
obskuron	obskur'o'n
obskurante	obskur'ant'e
obskurantismo	obskur'ant'ism'o
obskureco	obskur'ec'o
obskuriĝo	obskur'iĝ'o
obskurita	obskur'it'a
obskuritaj	obskur'it'a'j
obstaklas	obstakl'as
obstakli	obstakl'i
obstaklis	obstakl'is
obstaklo	obstakl'o
obstakloj	obstakl'o'j
obstaklojn	obstakl'o'j'n
obstaklon	obstakl'o'n
obstina	obstin'a
obstinaj	obstin'a'j
obstinajn	obstin'a'j'n
obstinan	obstin'a'n
obstinas	obstin'as
obstine	obstin'e
obstini	obstin'i
obstinis	obstin'is
obstino	obstin'o
obstinon	obstin'o'n
obstineco	obstin'ec'o
obstinecon	obstin'ec'o'n
obstinulo	obstin'ul'o
obstinuloj	obstin'ul'o'j
obstrukcas	obstrukc'as
obstrukci	obstrukc'i
obstrukcis	obstrukc'is
obstrukco	obstrukc'o
obstrukcoj	obstrukc'o'j
obstrukcojn	obstrukc'o'j'n
obstrukcon	obstrukc'o'n
obstrukciĝo	obstrukc'iĝ'o
obstrukciĝon	obstrukc'iĝ'o'n
obstrukcita	obstrukc'it'a
obtenas	obten'as
obteni	obten'i
obtenis	obten'is
obtenos	obten'os
obtuza	obtuz'a
obtuzaj	obtuz'a'j
obtuzan	obtuz'a'n
obtuze	obtuz'e
obuso	obus'o
obusoj	obus'o'j
obusojn	obus'o'j'n
obuson	obus'o'n
oceana	ocean'a
oceanaj	ocean'a'j
oceanajn	ocean'a'j'n
oceanan	ocean'a'n
oceano	ocean'o
oceanoj	ocean'o'j
oceanojn	ocean'o'j'n
oceanon	ocean'o'n
oceankrusto	ocean'krust'o
oceanografio	ocean'o'graf'i'o
oceansurfaco	ocean'surfac'o
oceania	oceani'a
oceanio	oceani'o
ocela	ocel'a
oceloj	ocel'o'j
oĉjo	oĉj'o
odo	od'o
odesa	odes'a
odeso	odes'o
odiseo	odise'o
odiseon	odise'o'n
odiseado	odise'ad'o
odoakro	odoakr'o
odora	odor'a
odoraj	odor'a'j
odoras	odor'as
odori	odor'i
odoris	odor'is
odoro	odor'o
odoroj	odor'o'j
odorojn	odor'o'j'n
odoron	odor'o'n
odoraĉas	odor'aĉ'as
odoraĉis	odor'aĉ'is
odoraĉo	odor'aĉ'o
odoranta	odor'ant'a
odorantaj	odor'ant'a'j
odorigagento	odor'ig'agent'o
odorigilo	odor'ig'il'o
odro	odr'o
oestro	oestr'o
oestradiolo	oestradiol'o
oestrogeno	oestrogen'o
oestrogenoj	oestrogen'o'j
ofenda	ofend'a
ofendaj	ofend'a'j
ofendajn	ofend'a'j'n
ofendan	ofend'a'n
ofendas	ofend'as
ofende	ofend'e
ofendi	ofend'i
ofendis	ofend'is
ofendo	ofend'o
ofendoj	ofend'o'j
ofendojn	ofend'o'j'n
ofendon	ofend'o'n
ofendos	ofend'os
ofendu	ofend'u
ofendus	ofend'us
ofendado	ofend'ad'o
ofendata	ofend'at'a
ofendiĝas	ofend'iĝ'as
ofendiĝi	ofend'iĝ'i
ofendiĝis	ofend'iĝ'is
ofendiĝo	ofend'iĝ'o
ofendiĝos	ofend'iĝ'os
ofendiĝu	ofend'iĝ'u
ofendiĝus	ofend'iĝ'us
ofendiĝema	ofend'iĝ'em'a
ofendita	ofend'it'a
ofenditaj	ofend'it'a'j
ofendite	ofend'it'e
ofensiva	ofensiv'a
ofensivaj	ofensiv'a'j
ofensivan	ofensiv'a'n
ofensive	ofensiv'e
ofensivo	ofensiv'o
ofensivoj	ofensiv'o'j
ofensivon	ofensiv'o'n
ofera	ofer'a
oferas	ofer'as
oferi	ofer'i
oferis	ofer'is
ofero	ofer'o
oferoj	ofer'o'j
oferojn	ofer'o'j'n
oferon	ofer'o'n
oferos	ofer'os
oferu	ofer'u
oferus	ofer'us
oferado	ofer'ad'o
oferadon	ofer'ad'o'n
oferaĵo	ofer'aĵ'o
oferaĵoj	ofer'aĵ'o'j
oferaĵojn	ofer'aĵ'o'j'n
oferaĵon	ofer'aĵ'o'n
oferante	ofer'ant'e
oferata	ofer'at'a
oferdoni	ofer'don'i
oferema	ofer'em'a
oferemaj	ofer'em'a'j
ofereme	ofer'em'e
oferemo	ofer'em'o
oferita	ofer'it'a
oferitaj	ofer'it'a'j
oferta	ofert'a
ofertaj	ofert'a'j
ofertas	ofert'as
oferti	ofert'i
ofertis	ofert'is
oferto	ofert'o
ofertoj	ofert'o'j
ofertojn	ofert'o'j'n
oferton	ofert'o'n
ofertos	ofert'os
ofertu	ofert'u
ofertus	ofert'us
ofertado	ofert'ad'o
ofertadon	ofert'ad'o'n
ofertanta	ofert'ant'a
ofertantaj	ofert'ant'a'j
ofertante	ofert'ant'e
ofertata	ofert'at'a
ofertataj	ofert'at'a'j
ofertatas	ofert'at'as
ofertita	ofert'it'a
ofertitaj	ofert'it'a'j
ofertitajn	ofert'it'a'j'n
ofertitan	ofert'it'a'n
ofertite	ofert'it'e
ofica	ofic'a
oficaj	ofic'a'j
ofican	ofic'a'n
oficas	ofic'as
ofice	ofic'e
ofici	ofic'i
oficis	ofic'is
ofico	ofic'o
oficoj	ofic'o'j
oficojn	ofic'o'j'n
oficon	ofic'o'n
oficado	ofic'ad'o
oficanto	ofic'ant'o
oficantoj	ofic'ant'o'j
oficeja	ofic'ej'a
oficejaj	ofic'ej'a'j
oficejajn	ofic'ej'a'j'n
oficejan	ofic'ej'a'n
oficejo	ofic'ej'o
oficejoj	ofic'ej'o'j
oficejojn	ofic'ej'o'j'n
oficejon	ofic'ej'o'n
oficejspaco	ofic'ej'spac'o
oficina	ofic'in'a
oficista	ofic'ist'a
oficisto	ofic'ist'o
oficistoj	ofic'ist'o'j
oficistojn	ofic'ist'o'j'n
oficiston	ofic'ist'o'n
oficistaro	ofic'ist'ar'o
oficistino	ofic'ist'in'o
oficperiodo	ofic'period'o
oficperiodoj	ofic'period'o'j
oficperiodon	ofic'period'o'n
oficulo	ofic'ul'o
oficuloj	ofic'ul'o'j
oficulon	ofic'ul'o'n
oficuloestraro	ofic'ul'o'estr'ar'o
oficulokonsilio	ofic'ul'o'konsili'o
oficiala	oficial'a
oficialaj	oficial'a'j
oficialajn	oficial'a'j'n
oficialan	oficial'a'n
oficiale	oficial'e
oficialo	oficial'o
oficialeco	oficial'ec'o
oficialigi	oficial'ig'i
oficialigis	oficial'ig'is
oficialigo	oficial'ig'o
oficialigon	oficial'ig'o'n
oficialigita	oficial'ig'it'a
oficialigitaj	oficial'ig'it'a'j
oficialulo	oficial'ul'o
oficialuloj	oficial'ul'o'j
oficialulojn	oficial'ul'o'j'n
oficialulon	oficial'ul'o'n
oficialuldokumentoj	oficial'ul'dokument'o'j
oficira	oficir'a
oficiran	oficir'a'n
oficiro	oficir'o
oficiroj	oficir'o'j
oficirojn	oficir'o'j'n
oficiron	oficir'o'n
oficirgildoj	oficir'gild'o'j
ofta	oft'a
oftaj	oft'a'j
oftajn	oft'a'j'n
oftan	oft'a'n
oftas	oft'as
ofte	oft'e
oftis	oft'is
ofteco	oft'ec'o
oftecoj	oft'ec'o'j
oftecon	oft'ec'o'n
oftege	oft'eg'e
oftfoje	oft'foj'e
oftiĝas	oft'iĝ'as
oftiĝis	oft'iĝ'is
oftalmologio	oftalm'olog'i'o
ogivo	ogiv'o
oho	oho
ojo	oj'o
ojon	oj'o'n
ojstro	ojstr'o
ojstron	ojstr'o'n
ok	ok
oka	ok'a
okaj	ok'a'j
okan	ok'a'n
okcent	ok'cent
okdek	ok'dek
oko	ok'o
okangula	ok'angul'a
okangulaj	ok'angul'a'j
okdekaj	ok'dek'a'j
okdeko	ok'dek'o
okdekjara	ok'dek'jar'a
okedro	ok'edr'o
okfoje	ok'foj'e
okhora	ok'hor'a
okjara	ok'jar'a
oklatera	ok'later'a
oklateraj	ok'later'a'j
oklatero	ok'later'o
okobla	ok'obl'a
okono	ok'on'o
okonoj	ok'on'o'j
okamoto	okamot'o
okaza	okaz'a
okazaj	okaz'a'j
okazajn	okaz'a'j'n
okazas	okaz'as
okaze	okaz'e
okazi	okaz'i
okazis	okaz'is
okazo	okaz'o
okazoj	okaz'o'j
okazojn	okaz'o'j'n
okazon	okaz'o'n
okazos	okaz'os
okazu	okaz'u
okazus	okaz'us
okazadas	okaz'ad'as
okazadis	okaz'ad'is
okazado	okaz'ad'o
okazadon	okaz'ad'o'n
okazaĵa	okaz'aĵ'a
okazaĵaj	okaz'aĵ'a'j
okazajho	okaz'aĵ'o
okazaĵo	okaz'aĵ'o
okazaĵoj	okaz'aĵ'o'j
okazaĵojn	okaz'aĵ'o'j'n
okazaĵon	okaz'aĵ'o'n
okazanta	okaz'ant'a
okazantaj	okaz'ant'a'j
okazantajn	okaz'ant'a'j'n
okazantan	okaz'ant'a'n
okazante	okaz'ant'e
okazantaĵo	okaz'ant'aĵ'o
okazego	okaz'eg'o
okazegoj	okaz'eg'o'j
okazejo	okaz'ej'o
okazigas	okaz'ig'as
okazigi	okaz'ig'i
okazigis	okaz'ig'is
okazigo	okaz'ig'o
okazigon	okaz'ig'o'n
okazigos	okaz'ig'os
okazigu	okaz'ig'u
okazigus	okaz'ig'us
okazigante	okaz'ig'ant'e
okazigata	okaz'ig'at'a
okazigataj	okaz'ig'at'a'j
okazigita	okaz'ig'it'a
okazigitaj	okaz'ig'it'a'j
okazigitajn	okaz'ig'it'a'j'n
okazinta	okaz'int'a
okazintaj	okaz'int'a'j
okazintajn	okaz'int'a'j'n
okazintan	okaz'int'a'n
okazintus	okaz'int'us
okazintaĵo	okaz'int'aĵ'o
okazintaĵoj	okaz'int'aĵ'o'j
okazintaĵojn	okaz'int'aĵ'o'j'n
okazintaĵon	okaz'int'aĵ'o'n
okazita	okaz'it'a
okazitaj	okaz'it'a'j
okazite	okaz'it'e
okazonta	okaz'ont'a
okazontaj	okaz'ont'a'j
okazontan	okaz'ont'a'n
okcidenta	okcident'a
okcidentaj	okcident'a'j
okcidentajn	okcident'a'j'n
okcidentan	okcident'a'n
okcidente	okcident'e
okcidenten	okcident'e'n
okcidento	okcident'o
okcidenton	okcident'o'n
okcidentafrika	okcident'afrik'a
okcidentafrikaj	okcident'afrik'a'j
okcidentafriko	okcident'afrik'o
okcidentano	okcident'an'o
okcidentanoj	okcident'an'o'j
okcidentanojn	okcident'an'o'j'n
okcidentaziaj	okcident'azi'a'j
okcidentbengalio	okcident'bengal'i'o
okcidenteŭropa	okcident'eŭrop'a
okcidenteŭropaj	okcident'eŭrop'a'j
okcidenteŭropo	okcident'eŭrop'o
okcidenteŭropon	okcident'eŭrop'o'n
okcidenteŭropanoj	okcident'eŭrop'an'o'j
okcidentgermana	okcident'german'a
okcidentgermanaj	okcident'german'a'j
okcidentgotoj	okcident'got'o'j
okcidentigo	okcident'ig'o
okcidentigita	okcident'ig'it'a
okcidentmarborda	okcident'mar'bord'a
okcidentromia	okcident'romi'a
okcidentsiberia	okcident'siberi'a
okcidentstila	okcident'stil'a
okcidentstilaj	okcident'stil'a'j
okcidentstilan	okcident'stil'a'n
okcidentuloj	okcident'ul'o'j
okcidentalo	okcidental'o
okcipitala	okcipital'a
okcitana	okcitan'a
okcitanaj	okcitan'a'j
okcitanan	okcitan'a'n
okcitane	okcitan'e
okcitano	okcitan'o
okcitanio	okcitan'i'o
okemo	okem'o
okinava	okinav'a
okinavo	okinav'o
okra	okr'a
okro	okr'o
oksalato	oksalat'o
oksido	oksid'o
oksidoj	oksid'o'j
oksidojn	oksid'o'j'n
oksidon	oksid'o'n
oksidado	oksid'ad'o
oksidanto	oksid'ant'o
oksidantoj	oksid'ant'o'j
oksidiga	oksid'ig'a
oksidigaj	oksid'ig'a'j
oksidigo	oksid'ig'o
oksidigagento	oksid'ig'agent'o
oksidigagentoj	oksid'ig'agent'o'j
oksidiganto	oksid'ig'ant'o
oksidiĝa	oksid'iĝ'a
oksidiĝaj	oksid'iĝ'a'j
oksidiĝas	oksid'iĝ'as
oksidiĝo	oksid'iĝ'o
oksidotavolo	oksid'o'tavol'o
oksidativa	oksidativ'a
oksidativan	oksidativ'a'n
oksigena	oksigen'a
oksigenaj	oksigen'a'j
oksigenas	oksigen'as
oksigeni	oksigen'i
oksigeno	oksigen'o
oksigenon	oksigen'o'n
oksigenado	oksigen'ad'o
oksigenadon	oksigen'ad'o'n
oksigenanto	oksigen'ant'o
oksigenatomo	oksigen'atom'o
oksigenatomoj	oksigen'atom'o'j
oksigenita	oksigen'it'a
oksigenitaj	oksigen'it'a'j
oksigenitan	oksigen'it'a'n
oksigenmanko	oksigen'mank'o
oksigenniveloj	oksigen'nivel'o'j
oksigenriĉa	oksigen'riĉ'a
oksigenspecioj	oksigen'speci'o'j
oksimoro	oksimor'o
okto	okt'o
oktana	oktan'a
oktavo	oktav'o
oktavoj	oktav'o'j
oktavojn	oktav'o'j'n
oktavon	oktav'o'n
oktavio	oktavi'o
oktaviano	oktavian'o
oktobra	oktobr'a
oktobre	oktobr'e
oktobro	oktobr'o
oktobron	oktobr'o'n
okula	okul'a
okulaj	okul'a'j
okulan	okul'a'n
okule	okul'e
okulo	okul'o
okuloj	okul'o'j
okulojn	okul'o'j'n
okulon	okul'o'n
okuletoj	okul'et'o'j
okuletojn	okul'et'o'j'n
okulfrapa	okul'frap'a
okulfrapaj	okul'frap'a'j
okulfrapajn	okul'frap'a'j'n
okulfrapan	okul'frap'a'n
okulfrapas	okul'frap'as
okulfrape	okul'frap'e
okulfrapis	okul'frap'is
okulgloboj	okul'glob'o'j
okulharoj	okul'har'o'j
okulharojn	okul'har'o'j'n
okulisto	okul'ist'o
okulistoj	okul'ist'o'j
okulkavo	okul'kav'o
okulkavoj	okul'kav'o'j
okulkavon	okul'kav'o'n
okulkoloro	okul'kolor'o
okulkuracisto	okul'kurac'ist'o
okulmalsano	okul'mal'san'o
okulmovo	okul'mov'o
okulmovoj	okul'mov'o'j
okulpunktoj	okul'punkt'o'j
okulringo	okul'ring'o
okulringoj	okul'ring'o'j
okulringon	okul'ring'o'n
okulstrio	okul'stri'o
okulumas	okul'um'as
okulumis	okul'um'is
okulvitro	okul'vitr'o
okulvitroj	okul'vitr'o'j
okulvitrojn	okul'vitr'o'j'n
okulvitron	okul'vitr'o'n
okulario	okulari'o
okulta	okult'a
okultaj	okult'a'j
okultismo	okult'ism'o
okupa	okup'a
okupaj	okup'a'j
okupas	okup'as
okupi	okup'i
okupis	okup'is
okupo	okup'o
okupoj	okup'o'j
okupojn	okup'o'j'n
okupon	okup'o'n
okupos	okup'os
okupu	okup'u
okupus	okup'us
okupadas	okup'ad'as
okupadis	okup'ad'is
okupado	okup'ad'o
okupadoj	okup'ad'o'j
okupadon	okup'ad'o'n
okupanta	okup'ant'a
okupantaj	okup'ant'a'j
okupante	okup'ant'e
okupanto	okup'ant'o
okupantoj	okup'ant'o'j
okupata	okup'at'a
okupataj	okup'at'a'j
okupatan	okup'at'a'n
okupatas	okup'at'as
okupate	okup'at'e
okupiga	okup'ig'a
okupigas	okup'ig'as
okupigistoj	okup'ig'ist'o'j
okupiĝas	okup'iĝ'as
okupiĝi	okup'iĝ'i
okupiĝis	okup'iĝ'is
okupiĝo	okup'iĝ'o
okupiĝoj	okup'iĝ'o'j
okupiĝon	okup'iĝ'o'n
okupiĝos	okup'iĝ'os
okupiĝu	okup'iĝ'u
okupiĝus	okup'iĝ'us
okupiĝado	okup'iĝ'ad'o
okupiĝanta	okup'iĝ'ant'a
okupiĝantaj	okup'iĝ'ant'a'j
okupiĝante	okup'iĝ'ant'e
okupiĝita	okup'iĝ'it'a
okupinta	okup'int'a
okupintaj	okup'int'a'j
okupita	okup'it'a
okupitaj	okup'it'a'j
okupitajn	okup'it'a'j'n
okupitan	okup'it'a'n
okupite	okup'it'e
okupiteco	okup'it'ec'o
okupacia	okupaci'a
okupaciaj	okupaci'a'j
okupacio	okupaci'o
okupacion	okupaci'o'n
okupaciitaj	okupaci'it'a'j
okzalata	okzal'at'a
okzalato	okzal'at'o
ol	ol
olavo	olav'o
olda	old'a
oldaj	old'a'j
oldan	old'a'n
oldangla	old'angl'a
oldanglaj	old'angl'a'j
oldfranca	old'franc'a
oldulo	old'ul'o
olduloj	old'ul'o'j
oldulon	old'ul'o'n
olduleto	old'ul'et'o
oldulino	old'ul'in'o
oldulinoj	old'ul'in'o'j
oldulinon	old'ul'in'o'n
olea	ole'a
oleaj	ole'a'j
olean	ole'a'n
olei	ole'i
oleo	ole'o
oleoj	ole'o'j
oleojn	ole'o'j'n
oleon	ole'o'n
oleeca	ole'ec'a
oleita	ole'it'a
oleitaj	ole'it'a'j
olelampo	ole'lamp'o
olelampoj	ole'lamp'o'j
oleoardezo	ole'o'ardez'o
olepentraĵo	ole'pentr'aĵ'o
olepentraĵoj	ole'pentr'aĵ'o'j
olibano	oliban'o
oligarkoj	oligark'o'j
oligarkia	oligarki'a
oligarkio	oligarki'o
oligarkioj	oligarki'o'j
oligoceno	oligocen'o
oligopolo	oligopol'o
olimpa	olimp'a
olimpaj	olimp'a'j
olimpo	olimp'o
olimpon	olimp'o'n
olimpia	olimpi'a
olimpiaj	olimpi'a'j
olimpiajn	olimpi'a'j'n
olimpian	olimpi'a'n
olimpio	olimpi'o
olimpika	olimpik'a
olimpikaj	olimpik'a'j
olimpikajn	olimpik'a'j'n
olimpikan	olimpik'a'n
olimpiko	olimpik'o
olimpikoj	olimpik'o'j
olimpikojn	olimpik'o'j'n
olimpikuloj	olimpik'ul'o'j
oliva	oliv'a
olivo	oliv'o
olivoj	oliv'o'j
olivojn	oliv'o'j'n
olivarba	oliv'arb'a
olivarbo	oliv'arb'o
olivarboj	oliv'arb'o'j
olivarbaro	oliv'arb'ar'o
olivarbaroj	oliv'arb'ar'o'j
oliveca	oliv'ec'a
olivecaj	oliv'ec'a'j
olivmuelejoj	oliv'muel'ej'o'j
olivoleo	oliv'ole'o
olivoleon	oliv'ole'o'n
olivujo	oliv'uj'o
olivujoj	oliv'uj'o'j
olivero	oliver'o
olivino	olivin'o
omaĝas	omaĝ'as
omaĝe	omaĝ'e
omaĝi	omaĝ'i
omaĝis	omaĝ'is
omaĝo	omaĝ'o
omaĝoj	omaĝ'o'j
omaĝon	omaĝ'o'n
omana	oman'a
omano	oman'o
omaro	omar'o
omaroj	omar'o'j
omaron	omar'o'n
ombra	ombr'a
ombraj	ombr'a'j
ombrajn	ombr'a'j'n
ombran	ombr'a'n
ombras	ombr'as
ombre	ombr'e
ombri	ombr'i
ombris	ombr'is
ombro	ombr'o
ombroj	ombr'o'j
ombrojn	ombr'o'j'n
ombron	ombr'o'n
ombrata	ombr'at'a
ombrita	ombr'it'a
ombritaj	ombr'it'a'j
ombroriĉaj	ombr'o'riĉ'a'j
ombroteatro	ombr'o'teatr'o
ombrela	ombrel'a
ombrelo	ombrel'o
ombreloj	ombrel'o'j
ombrelojn	ombrel'o'j'n
ombrelon	ombrel'o'n
ombrelplano	ombrel'plan'o
omenlando	omen'land'o
omleto	omlet'o
omleton	omlet'o'n
omnibuso	omnibus'o
onĉjo	onĉj'o
onĉjon	onĉj'o'n
onda	ond'a
ondaj	ond'a'j
ondan	ond'a'n
ondas	ond'as
onde	ond'e
ondis	ond'is
ondo	ond'o
ondoj	ond'o'j
ondojn	ond'o'j'n
ondon	ond'o'n
ondado	ond'ad'o
ondanta	ond'ant'a
ondeca	ond'ec'a
ondego	ond'eg'o
ondegoj	ond'eg'o'j
ondegojn	ond'eg'o'j'n
ondeto	ond'et'o
ondetoj	ond'et'o'j
ondetojn	ond'et'o'j'n
ondformo	ond'form'o
ondformoj	ond'form'o'j
ondformojn	ond'form'o'j'n
ondformon	ond'form'o'n
ondfunkcio	ond'funkci'o
ondgvidisto	ond'gvid'ist'o
ondgvidistoj	ond'gvid'ist'o'j
ondiĝas	ond'iĝ'as
ondofronto	ond'o'front'o
ondokonduktilo	ond'o'kondukt'il'o
ondolongo	ond'o'long'o
ondolongoj	ond'o'long'o'j
ondolongojn	ond'o'long'o'j'n
ondolongon	ond'o'long'o'n
ondorajdado	ond'o'rajd'ad'o
ondosimilaĵa	ond'o'simil'aĵ'a
ondpakaĵeto	ond'pak'aĵ'et'o
ondumaĵo	ond'um'aĵ'o
ondumita	ond'um'it'a
oni	oni
onia	oni'a
oniaj	oni'a'j
oniajn	oni'a'j'n
onian	oni'a'n
onidira	oni'dir'a
onidire	oni'dir'e
onidiro	oni'dir'o
onidiroj	oni'dir'o'j
onidirojn	oni'dir'o'j'n
onidiron	oni'dir'o'n
onies	onies
onjo	onj'o
onkla	onkl'a
onklo	onkl'o
onkloj	onkl'o'j
onklojn	onkl'o'j'n
onklon	onkl'o'n
onklino	onkl'in'o
onklinoj	onkl'in'o'j
onklinon	onkl'in'o'n
onomatopeo	onomatope'o
onta	ont'a
ontaj	ont'a'j
ontajn	ont'a'j'n
ontan	ont'a'n
ontgeneracioj	ont'generaci'o'j
ontokazojn	ont'okaz'o'j'n
ontario	ontari'o
ontogenezo	ontogenez'o
ontologia	ontologi'a
ontologiaj	ontologi'a'j
ontologian	ontologi'a'n
ontologie	ontologi'e
ontologio	ontologi'o
ontologioj	ontologi'o'j
ontologion	ontologi'o'n
onubo	onub'o
oomoto	oomot'o
opo	op'o
opaka	opak'a
opala	opal'a
opalo	opal'o
opcio	opci'o
opcioj	opci'o'j
opciojn	opci'o'j'n
opcion	opci'o'n
opera	oper'a
operaj	oper'a'j
operan	oper'a'n
opero	oper'o
operoj	oper'o'j
operojn	oper'o'j'n
operon	oper'o'n
opereca	oper'ec'a
operejo	oper'ej'o
operejoj	oper'ej'o'j
opereto	oper'et'o
operetoj	oper'et'o'j
operkantisto	oper'kant'ist'o
operacia	operaci'a
operaciaj	operaci'a'j
operaciajn	operaci'a'j'n
operacian	operaci'a'n
operacias	operaci'as
operacie	operaci'e
operacii	operaci'i
operaciis	operaci'is
operacio	operaci'o
operacioj	operaci'o'j
operaciojn	operaci'o'j'n
operacion	operaci'o'n
operaciado	operaci'ad'o
operacianta	operaci'ant'a
operaciantaj	operaci'ant'a'j
operacianto	operaci'ant'o
operaciantoj	operaci'ant'o'j
operaciejo	operaci'ej'o
operaciita	operaci'it'a
operaciitaj	operaci'it'a'j
operaciuma	operaci'um'a
operaciumo	operaci'um'o
operaciumoj	operaci'um'o'j
operaciumojn	operaci'um'o'j'n
operaciumon	operaci'um'o'n
operandoj	operand'o'j
operatoro	operator'o
operatoroj	operator'o'j
opia	opi'a
opio	opi'o
opion	opi'o'n
opidumo	opidum'o
opinias	opini'as
opinii	opini'i
opiniis	opini'is
opinio	opini'o
opinioj	opini'o'j
opiniojn	opini'o'j'n
opinion	opini'o'n
opinios	opini'os
opiniu	opini'u
opinius	opini'us
opiniado	opini'ad'o
opiniantaj	opini'ant'a'j
opiniante	opini'ant'e
opiniantoj	opini'ant'o'j
opiniata	opini'at'a
opiniataj	opini'at'a'j
opiniesprimo	opini'esprim'o
opiniita	opini'it'a
opiniitaj	opini'it'a'j
opiniite	opini'it'e
opinioŝanĝo	opini'o'ŝanĝ'o
opiniosondadoj	opini'o'sond'ad'o'j
opinisondoj	opini'sond'o'j
opinisondado	opini'sond'ad'o
opinisondadoj	opini'sond'ad'o'j
oponas	opon'as
