habelo	habel'o
handikapitajn	handikap'it'a'j'n
handikapitoj	handikap'it'o'j
handikapula	handikap'ul'a
handikapulaj	handikap'ul'a'j
handikapulo	handikap'ul'o
handikapuloj	handikap'ul'o'j
handikapulojn	handikap'ul'o'j'n
hangaro	hangar'o
hangaroj	hangar'o'j
hanibalo	hanibal'o
hanibalon	hanibal'o'n
hansa	hans'a
hanson	hans'o'n
hara	har'a
haraj	har'a'j
hare	har'e
haro	har'o
haroj	har'o'j
harojn	har'o'j'n
haron	har'o'n
hararo	har'ar'o
hararoj	har'ar'o'j
hararon	har'ar'o'n
hararĉeloj	har'ar'ĉel'o'j
hararanĝo	har'aranĝ'o
hararanĝon	har'aranĝ'o'n
harbuklo	har'bukl'o
haregoj	har'eg'o'j
haregojn	har'eg'o'j'n
hareto	har'et'o
haretoj	har'et'o'j
harfendado	har'fend'ad'o
harkoloro	har'kolor'o
harkovrita	har'kovr'it'a
harkovritaj	har'kovr'it'a'j
harligoj	har'lig'o'j
harligojn	har'lig'o'j'n
harplektaĵoj	har'plekt'aĵ'o'j
harplena	har'plen'a
harplenaj	har'plen'a'j
harpomado	har'pomad'o
harsekigilon	har'sek'ig'il'o'n
harstariga	har'star'ig'a
hartufo	har'tuf'o
hardas	hard'as
hardi	hard'i
hardis	hard'is
hardado	hard'ad'o
hardita	hard'it'a
harditaj	hard'it'a'j
harditan	hard'it'a'n
hardvara	hardvar'a
hardvaraj	hardvar'a'j
hardvaro	hardvar'o
hardvaron	hardvar'o'n
haremo	harem'o
haremoj	harem'o'j
haremojn	harem'o'j'n
haremon	harem'o'n
haringo	haring'o
haringoj	haring'o'j
haringon	haring'o'n
harlemo	harlem'o
harmona	harmon'a
harmono	harmon'o
harmonoj	harmon'o'j
harmonojn	harmon'o'j'n
harmonia	harmoni'a
harmoniaj	harmoni'a'j
harmoniajn	harmoni'a'j'n
harmonian	harmoni'a'n
harmonias	harmoni'as
harmonie	harmoni'e
harmonii	harmoni'i
harmoniis	harmoni'is
harmonio	harmoni'o
harmonioj	harmoni'o'j
harmoniojn	harmoni'o'j'n
harmonion	harmoni'o'n
harmonios	harmoni'os
harmoniado	harmoni'ad'o
harmoniante	harmoni'ant'e
harmoniigas	harmoni'ig'as
harmoniigi	harmoni'ig'i
harmoniigis	harmoni'ig'is
harmoniigo	harmoni'ig'o
harmoniigon	harmoni'ig'o'n
harmoniigita	harmoni'ig'it'a
harmoniigitaj	harmoni'ig'it'a'j
harmoniscienco	harmoni'scienc'o
harmoniko	harmonik'o
harpo	harp'o
harpoj	harp'o'j
harpon	harp'o'n
harpio	harpi'o
harpioj	harpi'o'j
harpuno	harpun'o
harpunoj	harpun'o'j
hasta	hast'a
hastaj	hast'a'j
hastan	hast'a'n
hastas	hast'as
haste	hast'e
hasti	hast'i
hastis	hast'is
hasto	hast'o
hastoj	hast'o'j
hastu	hast'u
hastado	hast'ad'o
hastante	hast'ant'e
hasteco	hast'ec'o
hastema	hast'em'a
hasthoro	hast'hor'o
haŝio	haŝi'o
haŝiŝo	haŝiŝ'o
haŝiŝon	haŝiŝ'o'n
haŭsoj	haŭs'o'j
haŭta	haŭt'a
haŭtaj	haŭt'a'j
haŭtan	haŭt'a'n
haŭto	haŭt'o
haŭtoj	haŭt'o'j
haŭtojn	haŭt'o'j'n
haŭton	haŭt'o'n
haŭtaĵo	haŭt'aĵ'o
haŭtaĵoj	haŭt'aĵ'o'j
haŭtaĵon	haŭt'aĵ'o'n
haŭtkoloro	haŭt'kolor'o
haŭtkoloroj	haŭt'kolor'o'j
haŭtkoloron	haŭt'kolor'o'n
haŭtmakulo	haŭt'makul'o
haŭtokoloro	haŭt'o'kolor'o
haŭtokontakto	haŭt'o'kontakt'o
hava	hav'a
havas	hav'as
have	hav'e
havi	hav'i
havis	hav'is
havo	hav'o
havon	hav'o'n
havos	hav'os
havu	hav'u
havus	hav'us
havado	hav'ad'o
havajho	hav'aĵ'o
havaĵo	hav'aĵ'o
havaĵoj	hav'aĵ'o'j
havaĵojn	hav'aĵ'o'j'n
havaĵon	hav'aĵ'o'n
havanta	hav'ant'a
havantaj	hav'ant'a'j
havantajn	hav'ant'a'j'n
havantan	hav'ant'a'n
havante	hav'ant'e
havantoj	hav'ant'o'j
havata	hav'at'a
havebla	hav'ebl'a
haveblaj	hav'ebl'a'j
haveblajn	hav'ebl'a'j'n
haveblan	hav'ebl'a'n
haveblas	hav'ebl'as
haveble	hav'ebl'e
haveblis	hav'ebl'is
haveblos	hav'ebl'os
havebleco	hav'ebl'ec'o
haveblecon	hav'ebl'ec'o'n
havenda	hav'end'a
havendaj	hav'end'a'j
havendaĵo	hav'end'aĵ'o
havendaĵoj	hav'end'aĵ'o'j
havigas	hav'ig'as
havigi	hav'ig'i
havigis	hav'ig'is
havigo	hav'ig'o
havigon	hav'ig'o'n
havigos	hav'ig'os
havigu	hav'ig'u
havigus	hav'ig'us
havigado	hav'ig'ad'o
havigante	hav'ig'ant'e
havigita	hav'ig'it'a
havigitaj	hav'ig'it'a'j
havinda	hav'ind'a
havinta	hav'int'a
havintaj	hav'int'a'j
havinte	hav'int'e
havintus	hav'int'us
havita	hav'it'a
havitaj	hav'it'a'j
havaja	havaj'a
havajaj	havaj'a'j
havajan	havaj'a'n
havajo	havaj'o
havajon	havaj'o'n
havajano	havaj'an'o
havajanoj	havaj'an'o'j
havana	havan'a
havano	havan'o
havena	haven'a
havenaj	haven'a'j
havenan	haven'a'n
haveno	haven'o
havenoj	haven'o'j
havenojn	haven'o'j'n
havenon	haven'o'n
haveneto	haven'et'o
havenurbo	haven'urb'o
havenurboj	haven'urb'o'j
havenurbojn	haven'urb'o'j'n
havenurbon	haven'urb'o'n
hazarda	hazard'a
hazardaj	hazard'a'j
hazardajn	hazard'a'j'n
hazardan	hazard'a'n
hazarde	hazard'e
hazardo	hazard'o
hazardoj	hazard'o'j
hazardon	hazard'o'n
hazardeco	hazard'ec'o
hazardigo	hazard'ig'o
hazardludo	hazard'lud'o
hazardludoj	hazard'lud'o'j
hazardludon	hazard'lud'o'n
hazardludanto	hazard'lud'ant'o
hebrea	hebre'a
hebreaj	hebre'a'j
hebreajn	hebre'a'j'n
hebrean	hebre'a'n
hebree	hebre'e
hebreo	hebre'o
hebreoj	hebre'o'j
hebreojn	hebre'o'j'n
hebreon	hebre'o'n
hebreismo	hebre'ism'o
hebridoj	hebrid'o'j
hedera	heder'a
hedero	heder'o
hedonismo	hedonism'o
hedonisto	hedonist'o
hefesto	hefest'o
hegemonia	hegemoni'a
hegemoniaj	hegemoni'a'j
hegemonian	hegemoni'a'n
hegemonias	hegemoni'as
hegemonie	hegemoni'e
hegemoniis	hegemoni'is
hegemonio	hegemoni'o
hegemonion	hegemoni'o'n
heĝo	heĝ'o
heĝoj	heĝ'o'j
heĝon	heĝ'o'n
heĝfondusoj	heĝ'fondus'o'j
hejma	hejm'a
hejmaj	hejm'a'j
hejmajn	hejm'a'j'n
hejman	hejm'a'n
hejmas	hejm'as
hejme	hejm'e
hejmen	hejm'e'n
hejmo	hejm'o
hejmoj	hejm'o'j
hejmojn	hejm'o'j'n
hejmon	hejm'o'n
hejmanoj	hejm'an'o'j
hejmanto	hejm'ant'o
hejmantoj	hejm'ant'o'j
hejmaparatoj	hejm'aparat'o'j
hejmaresto	hejm'arest'o
hejmareston	hejm'arest'o'n
hejmbestoj	hejm'best'o'j
hejmeniras	hejm'e'n'ir'as
hejmeniri	hejm'e'n'ir'i
hejmeniris	hejm'e'n'ir'is
hejmeniro	hejm'e'n'ir'o
hejmeniros	hejm'e'n'ir'os
hejmeniru	hejm'e'n'ir'u
hejmenirante	hejm'e'n'ir'ant'e
hejmenvenis	hejm'e'n'ven'is
hejmenveninta	hejm'e'n'ven'int'a
hejmeca	hejm'ec'a
hejmece	hejm'ec'e
hejmfaritaj	hejm'far'it'a'j
hejmfronto	hejm'front'o
hejmigitaj	hejm'ig'it'a'j
hejmiĝas	hejm'iĝ'as
hejmiĝi	hejm'iĝ'i
hejmiĝis	hejm'iĝ'is
hejmkomunumo	hejm'komun'um'o
hejmkomunumoj	hejm'komun'um'o'j
hejmkomunumojn	hejm'komun'um'o'j'n
hejmlaboro	hejm'labor'o
hejmlanda	hejm'land'a
hejmlanden	hejm'land'e'n
hejmlando	hejm'land'o
hejmlandoj	hejm'land'o'j
hejmlandon	hejm'land'o'n
hejmloko	hejm'lok'o
hejmlokoj	hejm'lok'o'j
hejmlokon	hejm'lok'o'n
hejmmatĉojn	hejm'matĉ'o'j'n
hejmmondo	hejm'mond'o
hejmoloko	hejm'o'lok'o
hejmpaĝa	hejm'paĝ'a
hejmpagho	hejm'paĝ'o
hejmpaĝo	hejm'paĝ'o
hejmpaĝoj	hejm'paĝ'o'j
hejmpaĝon	hejm'paĝ'o'n
hejmplanedo	hejm'planed'o
hejmregiono	hejm'region'o
hejmsopiras	hejm'sopir'as
hejmsopiro	hejm'sopir'o
hejmsopiron	hejm'sopir'o'n
hejmŝtato	hejm'ŝtat'o
hejmtasko	hejm'task'o
hejmtaskoj	hejm'task'o'j
hejmtaskojn	hejm'task'o'j'n
hejmtaskon	hejm'task'o'n
hejmteritorio	hejm'teritori'o
hejmteritorioj	hejm'teritori'o'j
hejmurbo	hejm'urb'o
hejmurbon	hejm'urb'o'n
hejmuzo	hejm'uz'o
hejmuzantoj	hejm'uz'ant'o'j
hejmvilaĝo	hejm'vilaĝ'o
hejmvojo	hejm'voj'o
hejtas	hejt'as
hejti	hejt'i
hejtis	hejt'is
hejto	hejt'o
hejtado	hejt'ad'o
hejtadon	hejt'ad'o'n
hejtaĵoj	hejt'aĵ'o'j
hejtaĵon	hejt'aĵ'o'n
hejtata	hejt'at'a
hejtilo	hejt'il'o
hejtiloj	hejt'il'o'j
hejtilon	hejt'il'o'n
hejtisto	hejt'ist'o
hejtistoj	hejt'ist'o'j
hekato	hekat'o
heksametro	heksametr'o
heksametroj	heksametr'o'j
hektaro	hektar'o
hektaroj	hektar'o'j
hektarojn	hektar'o'j'n
hektoro	hektor'o
hektoron	hektor'o'n
hela	hel'a
helaj	hel'a'j
helajn	hel'a'j'n
helan	hel'a'n
helas	hel'as
hele	hel'e
helo	hel'o
helada	hel'ad'a
helblua	hel'blu'a
helbluaj	hel'blu'a'j
helbluan	hel'blu'a'n
helbruna	hel'brun'a
helbrunaj	hel'brun'a'j
helbrunajn	hel'brun'a'j'n
helbrunan	hel'brun'a'n
heleco	hel'ec'o
helecon	hel'ec'o'n
helflava	hel'flav'a
helflavaj	hel'flav'a'j
helgriza	hel'griz'a
helgrizaj	hel'griz'a'j
helgrizajn	hel'griz'a'j'n
helgrizan	hel'griz'a'n
heligas	hel'ig'as
heligis	hel'ig'is
heliĝas	hel'iĝ'as
heliĝis	hel'iĝ'is
heliĝos	hel'iĝ'os
helkolora	hel'kolor'a
helkoloraj	hel'kolor'a'j
helkoloroj	hel'kolor'o'j
helokula	hel'okul'a
helotoj	hel'ot'o'j
helruĝa	hel'ruĝ'a
helverda	hel'verd'a
helverdaj	hel'verd'a'j
helena	helen'a
helenaj	helen'a'j
helenajn	helen'a'j'n
helenan	helen'a'n
helene	helen'e
heleno	helen'o
helenoj	helen'o'j
helenojn	helen'o'j'n
helenon	helen'o'n
helenisma	helen'ism'a
helenismaj	helen'ism'a'j
helenisman	helen'ism'a'n
helenismo	helen'ism'o
helenujo	helen'uj'o
helica	helic'a
helico	helic'o
helicoj	helic'o'j
helicojn	helic'o'j'n
helicon	helic'o'n
helika	helik'a
heliko	helik'o
helikoj	helik'o'j
helikojn	helik'o'j'n
helikon	helik'o'n
helikforma	helik'form'a
helikformaj	helik'form'a'j
helikformajn	helik'form'a'j'n
helikforman	helik'form'a'n
helikoptero	helikopter'o
helikopteroj	helikopter'o'j
helikopterojn	helikopter'o'j'n
helikopteron	helikopter'o'n
heliopolo	heliopol'o
heliumo	helium'o
heliumon	helium'o'n
helmo	helm'o
helmon	helm'o'n
helpa	help'a
helpaj	help'a'j
helpajn	help'a'j'n
helpan	help'a'n
helpas	help'as
helpe	help'e
helpi	help'i
helpis	help'is
helpo	help'o
helpoj	help'o'j
helpojn	help'o'j'n
helpon	help'o'n
helpos	help'os
helpu	help'u
helpus	help'us
helpadi	help'ad'i
helpadis	help'ad'is
helpado	help'ad'o
helpadon	help'ad'o'n
helpanta	help'ant'a
helpantaj	help'ant'a'j
helpantajn	help'ant'a'j'n
helpantan	help'ant'a'n
helpante	help'ant'e
helpanto	help'ant'o
helpantoj	help'ant'o'j
helpantojn	help'ant'o'j'n
helpanton	help'ant'o'n
helpantino	help'ant'in'o
helpantinon	help'ant'in'o'n
helpata	help'at'a
helpataj	help'at'a'j
helpate	help'at'e
helpdeĵorantaro	help'deĵor'ant'ar'o
helpdona	help'don'a
helpdonaj	help'don'a'j
helpema	help'em'a
helpemaj	help'em'a'j
helpemajn	help'em'a'j'n
helpeman	help'em'a'n
helpeme	help'em'e
helpemo	help'em'o
helpemon	help'em'o'n
helpepiskopo	help'episkop'o
helpeti	help'et'i
helpilo	help'il'o
helpiloj	help'il'o'j
helpilojn	help'il'o'j'n
helpilon	help'il'o'n
helpinta	help'int'a
helpintaj	help'int'a'j
helpintus	help'int'us
helpisto	help'ist'o
helpistoj	help'ist'o'j
helpita	help'it'a
helpitaj	help'it'a'j
helpite	help'it'e
helplingvo	help'lingv'o
helplingvoj	help'lingv'o'j
helplingvon	help'lingv'o'n
helpobezona	help'o'bezon'a
helpobezonaj	help'o'bezon'a'j
helpopeton	help'o'pet'o'n
helposignoj	help'o'sign'o'j
helppaĝon	help'paĝ'o'n
helpservoj	help'serv'o'j
helpservojn	help'serv'o'j'n
helpsistemo	help'sistem'o
helpsistemoj	help'sistem'o'j
helpverbo	help'verb'o
helpverboj	help'verb'o'j
helpverbon	help'verb'o'n
helsinka	helsink'a
helsinki	helsink'i
helsinko	helsink'o
helveta	helvet'a
hematio	hemati'o
hematito	hematit'o
hemianopsio	hemi'anopsi'o
hemisfero	hemi'sfer'o
hemisferoj	hemi'sfer'o'j
hemisferojn	hemi'sfer'o'j'n
hemisferon	hemi'sfer'o'n
hemikranio	hemikrani'o
hemoglobino	hemoglobin'o
hemoglobinon	hemoglobin'o'n
hemoragia	hemoragi'a
hemoragio	hemoragi'o
hemoroidoj	hemoroid'o'j
hemoroidojn	hemoroid'o'j'n
henan	hen'a'n
henas	hen'as
henis	hen'is
henano	henan'o
henanprovinco	henan'provinc'o
henriko	henrik'o
henrikon	henrik'o'n
hentajo	hentaj'o
hepata	hepat'a
hepataj	hepat'a'j
hepatan	hepat'a'n
hepato	hepat'o
hepatoj	hepat'o'j
hepaton	hepat'o'n
hepatitis	hepat'it'is
hepatito	hepat'it'o
hepatmalsano	hepat'mal'san'o
hepatocitoj	hepat'o'cit'o'j
herakla	herakl'a
heraklo	herakl'o
heraklon	herakl'o'n
heraklidoj	herakl'id'o'j
heraklito	heraklit'o
heraldika	heraldik'a
heraldikaj	heraldik'a'j
heraldike	heraldik'e
heraldiko	heraldik'o
herba	herb'a
herbaj	herb'a'j
herbajn	herb'a'j'n
herban	herb'a'n
herbo	herb'o
herboj	herb'o'j
herbojn	herb'o'j'n
herbon	herb'o'n
herbaĉo	herb'aĉ'o
herbaĉoj	herb'aĉ'o'j
herbaĵo	herb'aĵ'o
herbaro	herb'ar'o
herbaron	herb'ar'o'n
herbeca	herb'ec'a
herbecaj	herb'ec'a'j
herbeja	herb'ej'a
herbejaj	herb'ej'a'j
herbejo	herb'ej'o
herbejoj	herb'ej'o'j
herbejojn	herb'ej'o'j'n
herbejon	herb'ej'o'n
herberoj	herb'er'o'j
herbeto	herb'et'o
herbokovrita	herb'o'kovr'it'a
herboradikoj	herb'o'radik'o'j
herbotapiŝo	herb'o'tapiŝ'o
herbotapiŝon	herb'o'tapiŝ'o'n
herbovoraj	herb'o'vor'a'j
herbovoruloj	herb'o'vor'ul'o'j
herbicido	herbicid'o
herbicidoj	herbicid'o'j
herbicidojn	herbicid'o'j'n
hercegovino	hercegovin'o
hereda	hered'a
heredaj	hered'a'j
heredajn	hered'a'j'n
heredan	hered'a'n
heredas	hered'as
herede	hered'e
heredi	hered'i
heredis	hered'is
heredo	hered'o
heredoj	hered'o'j
heredon	hered'o'n
heredos	hered'os
heredu	hered'u
heredus	hered'us
heredado	hered'ad'o
heredadon	hered'ad'o'n
heredaĵa	hered'aĵ'a
heredaĵaj	hered'aĵ'a'j
heredajho	hered'aĵ'o
heredaĵo	hered'aĵ'o
heredaĵoj	hered'aĵ'o'j
heredaĵojn	hered'aĵ'o'j'n
heredaĵon	hered'aĵ'o'n
heredaĵbiblioteko	hered'aĵ'bibliotek'o
heredante	hered'ant'e
heredanto	hered'ant'o
heredantoj	hered'ant'o'j
heredantojn	hered'ant'o'j'n
heredanton	hered'ant'o'n
heredantino	hered'ant'in'o
heredata	hered'at'a
heredataj	hered'at'a'j
heredeco	hered'ec'o
heredecon	hered'ec'o'n
heredigas	hered'ig'as
heredigi	hered'ig'i
heredigis	hered'ig'is
heredigante	hered'ig'ant'e
heredigita	hered'ig'it'a
herediĝas	hered'iĝ'as
heredinta	hered'int'a
heredinto	hered'int'o
heredintoj	hered'int'o'j
heredita	hered'it'a
hereditaj	hered'it'a'j
hereditajn	hered'it'a'j'n
hereditan	hered'it'a'n
heredonto	hered'ont'o
heredontoj	hered'ont'o'j
heredonton	hered'ont'o'n
hereza	herez'a
herezaj	herez'a'j
herezan	herez'a'n
herezo	herez'o
herezoj	herez'o'j
herezojn	herez'o'j'n
herezon	herez'o'n
herezulo	herez'ul'o
herezuloj	herez'ul'o'j
herezulojn	herez'ul'o'j'n
herkulo	herkul'o
hermafroditaj	hermafrodit'a'j
hermafrodito	hermafrodit'o
hermafroditoj	hermafrodit'o'j
hermana	herman'a
hermano	herman'o
hermeneŭtika	hermeneŭtik'a
hermeneŭtiko	hermeneŭtik'o
hermeso	hermes'o
hermetika	hermetik'a
hermetikaj	hermetik'a'j
hermetikan	hermetik'a'n
hermetike	hermetik'e
hernio	herni'o
herniobandaĝo	herni'o'bandaĝ'o
herniobandaĝoj	herni'o'bandaĝ'o'j
heroa	hero'a
heroaj	hero'a'j
heroajn	hero'a'j'n
heroan	hero'a'n
heroe	hero'e
heroo	hero'o
herooj	hero'o'j
heroojn	hero'o'j'n
heroon	hero'o'n
heroaĵo	hero'aĵ'o
heroaĵoj	hero'aĵ'o'j
heroaĵojn	hero'aĵ'o'j'n
heroaĵon	hero'aĵ'o'n
heroeca	hero'ec'a
heroeco	hero'ec'o
heroecon	hero'ec'o'n
heroismo	hero'ism'o
herodo	herod'o
herodoto	herodot'o
heroino	heroin'o
heroinoj	heroin'o'j
heroinojn	heroin'o'j'n
heroinon	heroin'o'n
heroldas	herold'as
heroldo	herold'o
heroldoj	herold'o'j
heroldon	herold'o'n
herpeto	herpet'o
hesio	hes'i'o
heslando	hes'land'o
hetajro	hetajr'o
hetajroj	hetajr'o'j
hetajron	hetajr'o'n
heteroatomoj	hetero'atom'o'j
heterocikla	heterocikl'a
heterogena	heterogen'a
heterogenaj	heterogen'a'j
heterogenan	heterogen'a'n
hetmano	hetman'o
heziodo	heziod'o
hezita	hezit'a
hezitas	hezit'as
hezite	hezit'e
heziti	hezit'i
hezitis	hezit'is
hezito	hezit'o
hezitoj	hezit'o'j
hezitojn	hezit'o'j'n
heziton	hezit'o'n
hezitos	hezit'os
hezitu	hezit'u
hezitus	hezit'us
hezitado	hezit'ad'o
hezitante	hezit'ant'e
hezitema	hezit'em'a
hezitemaj	hezit'em'a'j
heziteme	hezit'em'e
hezitemo	hezit'em'o
hiacinto	hiacint'o
hiato	hiat'o
hibrida	hibrid'a
hibridaj	hibrid'a'j
hibridajn	hibrid'a'j'n
hibridan	hibrid'a'n
hibrido	hibrid'o
hibridoj	hibrid'o'j
hibridojn	hibrid'o'j'n
hibridon	hibrid'o'n
hibridigo	hibrid'ig'o
hibridiĝas	hibrid'iĝ'as
hibridiĝo	hibrid'iĝ'o
hida	hid'a
hidaj	hid'a'j
hidan	hid'a'n
hidrosovebla	hid'ros'ov'ebl'a
hidrosoveblaj	hid'ros'ov'ebl'a'j
hidalgo	hidalg'o
hidro	hidr'o
hidrdinamika	hidr'dinamik'a
hidrelektra	hidr'elektr'a
hidrelektraj	hidr'elektr'a'j
hidrido	hidr'id'o
hidridoj	hidr'id'o'j
hidroelektra	hidr'o'elektr'a
hidroelektraj	hidr'o'elektr'a'j
hidrofobia	hidr'o'fobi'a
hidrofobiaj	hidr'o'fobi'a'j
hidrokarbido	hidr'o'karb'id'o
hidrokarbidoj	hidr'o'karb'id'o'j
hidrokarbidojn	hidr'o'karb'id'o'j'n
hidrokarbona	hidr'o'karbon'a
hidrokarbonaj	hidr'o'karbon'a'j
hidrokarbonoj	hidr'o'karbon'o'j
hidrokarbonido	hidr'o'karbon'id'o
hidrokarbonidoj	hidr'o'karbon'id'o'j
hidrokulturo	hidr'o'kultur'o
hidrostatika	hidr'o'statik'a
hidrotermikaj	hidr'o'termik'a'j
hidroksido	hidr'oksid'o
hidroksidon	hidr'oksid'o'n
hidrarga	hidrarg'a
hidrargo	hidrarg'o
hidrargon	hidrarg'o'n
hidrataj	hidrat'a'j
hidratoj	hidrat'o'j
hidratigo	hidrat'ig'o
hidratigita	hidrat'ig'it'a
hidratigitaj	hidrat'ig'it'a'j
hidraŭlika	hidraŭlik'a
hidraŭlikaj	hidraŭlik'a'j
hidraŭlikajn	hidraŭlik'a'j'n
hidraŭlikan	hidraŭlik'a'n
hidraŭlike	hidraŭlik'e
hidraŭliko	hidraŭlik'o
hidrofila	hidrofil'a
hidrofilaj	hidrofil'a'j
hidrofoba	hidrofob'a
hidrofobaj	hidrofob'a'j
hidrogena	hidrogen'a
hidrogenaj	hidrogen'a'j
hidrogenajn	hidrogen'a'j'n
hidrogenan	hidrogen'a'n
hidrogeno	hidrogen'o
hidrogenoj	hidrogen'o'j
hidrogenon	hidrogen'o'n
hidrogenatomo	hidrogen'atom'o
hidrogenatomoj	hidrogen'atom'o'j
hidrogenbombo	hidrogen'bomb'o
hidrogenbomboj	hidrogen'bomb'o'j
hidrogenfuelo	hidrogen'fuel'o
hidrogengaso	hidrogen'gas'o
hidrogengason	hidrogen'gas'o'n
hidrogenjonoj	hidrogen'jon'o'j
hidrogenproduktado	hidrogen'produkt'ad'o
hidrogenstokado	hidrogen'stok'ad'o
hidrografia	hidrografi'a
hidroksila	hidroksil'a
hidrologia	hidrolog'i'a
hidrologiaj	hidrolog'i'a'j
hidrologio	hidrolog'i'o
hidroplano	hidroplan'o
hieno	hien'o
hienoj	hien'o'j
hienojn	hien'o'j'n
hierarĥio	hierarĥi'o
hierarkia	hierarki'a
hierarkiaj	hierarki'a'j
hierarkiajn	hierarki'a'j'n
hierarkian	hierarki'a'n
hierarkie	hierarki'e
hierarkio	hierarki'o
hierarkioj	hierarki'o'j
hierarkiojn	hierarki'o'j'n
hierarkion	hierarki'o'n
hieraŭ	hieraŭ
hieraŭa	hieraŭ'a
hieraŭaj	hieraŭ'a'j
hieraŭan	hieraŭ'a'n
hieraŭo	hieraŭ'o
hieroglifa	hieroglif'a
hieroglifaj	hieroglif'a'j
hieroglifo	hieroglif'o
hieroglifoj	hieroglif'o'j
hieroglifojn	hieroglif'o'j'n
hieronimo	hieronim'o
higiena	higien'a
higienaj	higien'a'j
higienajn	higien'a'j'n
higienan	higien'a'n
higieno	higien'o
higienon	higien'o'n
higroskopa	higroskop'a
hilberta	hilbert'a
hilbertaj	hilbert'a'j
himalaja	himalaj'a
himalajaj	himalaj'a'j
himalajo	himalaj'o
himalajoj	himalaj'o'j
himeno	himen'o
himenopteroj	himenopter'o'j
himno	himn'o
himnoj	himn'o'j
himnojn	himn'o'j'n
himnon	himn'o'n
himnaro	himn'ar'o
hino	hin'o
hinoj	hin'o'j
hinda	hind'a
hindaj	hind'a'j
hindajn	hind'a'j'n
hindan	hind'a'n
hindo	hind'o
hindoj	hind'o'j
hindon	hind'o'n
hindeŭropa	hind'eŭrop'a
hindeŭropaj	hind'eŭrop'a'j
hindia	hind'i'a
hindiaj	hind'i'a'j
hindian	hind'i'a'n
hindio	hind'i'o
hindion	hind'i'o'n
hindirana	hind'iran'a
hindoĉina	hind'o'ĉin'a
hindoĉinio	hind'o'ĉin'i'o
hindoeŭropa	hind'o'eŭrop'a
hindoeŭropaj	hind'o'eŭrop'a'j
hindoeŭropajn	hind'o'eŭrop'a'j'n
hindoeŭropan	hind'o'eŭrop'a'n
